Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01,165.0,165.0,145.0,145.0,0,0,0
2002-07-02,165.0,165.0,125.0,125.0,0,0,0
2002-07-03,165.0,165.0,165.0,165.0,2500,0,0
2002-07-04,165.0,165.0,165.0,165.0,0,0,0
2002-07-05,165.0,165.0,165.0,165.0,0,0,0
2002-07-08,165.0,165.0,165.0,165.0,0,0,0
2002-07-09,165.0,165.0,165.0,165.0,0,0,0
2002-07-10,130.0,150.0,130.0,150.0,5500,0,0
2002-07-11,130.0,135.0,130.0,135.0,10000,0,0
2002-07-12,135.0,135.0,135.0,135.0,0,0,0
2002-07-15,125.0,130.0,125.0,130.0,95500,0,0
2002-07-16,120.0,120.0,120.0,120.0,27500,0,0
2002-07-17,120.0,120.0,120.0,120.0,95000,0,0
2002-07-18,120.0,125.0,120.0,125.0,31000,0,0
2002-07-19,130.0,130.0,125.0,130.0,264000,0,0
2002-07-22,130.0,130.0,130.0,130.0,0,0,0
2002-07-23,130.0,130.0,130.0,130.0,0,0,0
2002-07-24,105.0,105.0,105.0,105.0,185000,0,0
2002-07-25,105.0,120.0,105.0,120.0,11000,0,0
2002-07-26,100.0,115.0,100.0,115.0,9500,0,0
2002-07-29,115.0,115.0,115.0,115.0,0,0,0
2002-07-30,115.0,115.0,115.0,115.0,0,0,0
2002-07-31,105.0,110.0,105.0,110.0,113000,0,0
2002-08-01,105.0,110.0,105.0,110.0,30500,0,0
2002-08-02,110.0,110.0,110.0,110.0,0,0,0
2002-08-05,95.0,95.0,95.0,95.0,50000,0,0
2002-08-06,110.0,110.0,110.0,110.0,500,0,0
2002-08-07,105.0,110.0,105.0,110.0,10500,0,0
2002-08-08,100.0,105.0,100.0,105.0,101000,0,0
2002-08-09,95.0,95.0,95.0,95.0,5000,0,0
2002-08-12,95.0,95.0,95.0,95.0,25500,0,0
2002-08-13,110.0,110.0,110.0,110.0,500,0,0
2002-08-14,100.0,100.0,100.0,100.0,60500,0,0
2002-08-15,95.0,95.0,95.0,95.0,500,0,0
2002-08-16,105.0,110.0,105.0,110.0,2000,0,0
2002-08-19,125.0,125.0,115.0,115.0,1500,0,0
2002-08-20,115.0,115.0,115.0,115.0,0,0,0
2002-08-21,115.0,115.0,115.0,115.0,0,0,0
2002-08-22,100.0,100.0,100.0,100.0,52500,0,0
2002-08-23,100.0,100.0,100.0,100.0,0,0,0
2002-08-26,100.0,105.0,100.0,105.0,35000,0,0
2002-08-27,100.0,100.0,100.0,100.0,50000,0,0
2002-08-28,95.0,100.0,95.0,100.0,100500,0,0
2002-08-29,100.0,100.0,100.0,100.0,0,0,0
2002-08-30,100.0,100.0,95.0,95.0,1100000,0,0
2002-09-02,100.0,100.0,100.0,100.0,500,0,0
2002-09-03,95.0,100.0,95.0,100.0,79500,0,0
2002-09-04,95.0,100.0,95.0,100.0,82500,0,0
2002-09-05,100.0,100.0,100.0,100.0,0,0,0
2002-09-06,95.0,100.0,95.0,100.0,589000,0,0
2002-09-09,100.0,100.0,100.0,100.0,0,0,0
2002-09-10,100.0,100.0,100.0,100.0,500000,0,0
2002-09-11,100.0,100.0,100.0,100.0,0,0,0
2002-09-12,90.0,90.0,90.0,90.0,25000,0,0
2002-09-13,95.0,95.0,95.0,95.0,500,0,0
2002-09-16,95.0,95.0,95.0,95.0,0,0,0
2002-09-17,85.0,100.0,85.0,100.0,6000,0,0
2002-09-18,85.0,95.0,85.0,95.0,50000,0,0
2002-09-19,95.0,95.0,95.0,95.0,0,0,0
2002-09-20,95.0,95.0,95.0,95.0,0,0,0
2002-09-23,95.0,95.0,95.0,95.0,0,0,0
2002-09-24,95.0,95.0,95.0,95.0,0,0,0
2002-09-25,90.0,90.0,85.0,90.0,150500,0,0
2002-09-26,90.0,90.0,90.0,90.0,89000,0,0
2002-09-27,95.0,95.0,95.0,95.0,500,0,0
2002-09-30,80.0,95.0,80.0,95.0,60500,0,0
2002-10-01,95.0,95.0,95.0,95.0,0,0,0
2002-10-02,95.0,95.0,95.0,95.0,0,0,0
2002-10-03,95.0,95.0,95.0,95.0,0,0,0
2002-10-04,95.0,95.0,95.0,95.0,0,0,0
2002-10-07,95.0,95.0,95.0,95.0,0,0,0
2002-10-08,95.0,95.0,95.0,95.0,0,0,0
2002-10-09,95.0,95.0,95.0,95.0,0,0,0
2002-10-10,95.0,95.0,95.0,95.0,0,0,0
2002-10-11,95.0,95.0,95.0,95.0,0,0,0
2002-10-14,50.0,50.0,50.0,50.0,15000,0,0
2002-10-15,60.0,60.0,60.0,60.0,10000,0,0
2002-10-16,55.0,75.0,55.0,75.0,25500,0,0
2002-10-17,65.0,65.0,65.0,65.0,139500,0,0
2002-10-18,75.0,95.0,75.0,95.0,87500,0,0
2002-10-21,95.0,95.0,95.0,95.0,0,0,0
2002-10-22,95.0,95.0,95.0,95.0,0,0,0
2002-10-23,95.0,95.0,95.0,95.0,0,0,0
2002-10-24,95.0,95.0,95.0,95.0,0,0,0
2002-10-25,95.0,95.0,95.0,95.0,0,0,0
2002-10-28,50.0,60.0,50.0,60.0,5000,0,0
2002-10-29,90.0,90.0,90.0,90.0,500,0,0
2002-10-30,95.0,100.0,95.0,100.0,2500,0,0
2002-10-31,90.0,105.0,90.0,105.0,65500,0,0
2002-11-01,105.0,105.0,105.0,105.0,0,0,0
2002-11-04,105.0,105.0,105.0,105.0,0,0,0
2002-11-05,105.0,105.0,105.0,105.0,0,0,0
2002-11-06,105.0,105.0,105.0,105.0,0,0,0
2002-11-07,105.0,105.0,105.0,105.0,0,0,0
2002-11-08,105.0,105.0,105.0,105.0,0,0,0
2002-11-11,105.0,105.0,105.0,105.0,0,0,0
2002-11-12,105.0,105.0,105.0,105.0,0,0,0
2002-11-13,105.0,105.0,105.0,105.0,0,0,0
2002-11-14,70.0,100.0,70.0,100.0,40500,0,0
2002-11-15,100.0,100.0,100.0,100.0,0,0,0
2002-11-18,100.0,100.0,100.0,100.0,0,0,0
2002-11-19,100.0,100.0,100.0,100.0,0,0,0
2002-11-20,100.0,100.0,100.0,100.0,0,0,0
2002-11-21,75.0,75.0,75.0,75.0,15000,0,0
2002-11-22,95.0,95.0,95.0,95.0,500,0,0
2002-11-25,100.0,100.0,100.0,100.0,500,0,0
2002-11-26,100.0,100.0,100.0,100.0,0,0,0
2002-11-27,100.0,100.0,100.0,100.0,0,0,0
2002-11-28,100.0,100.0,100.0,100.0,1000,0,0
2002-11-29,100.0,100.0,100.0,100.0,0,0,0
2002-12-02,100.0,100.0,100.0,100.0,0,0,0
2002-12-03,100.0,100.0,100.0,100.0,0,0,0
2002-12-04,100.0,100.0,100.0,100.0,0,0,0
2002-12-05,100.0,100.0,100.0,100.0,0,0,0
2002-12-06,100.0,100.0,100.0,100.0,0,0,0
2002-12-09,100.0,100.0,100.0,100.0,0,0,0
2002-12-10,100.0,100.0,100.0,100.0,0,0,0
2002-12-11,75.0,95.0,75.0,95.0,10500,0,0
2002-12-12,95.0,95.0,95.0,95.0,0,0,0
2002-12-13,95.0,95.0,95.0,95.0,0,0,0
2002-12-16,95.0,95.0,95.0,95.0,0,0,0
2002-12-17,95.0,95.0,95.0,95.0,0,0,0
2002-12-18,60.0,95.0,60.0,95.0,10500,0,0
2002-12-19,95.0,100.0,95.0,100.0,604500,0,0
2002-12-20,100.0,105.0,100.0,105.0,170500,0,0
2002-12-23,100.0,100.0,100.0,100.0,100000,0,0
2002-12-24,100.0,100.0,100.0,100.0,0,0,0
2002-12-25,100.0,100.0,100.0,100.0,0,0,0
2002-12-26,100.0,100.0,100.0,100.0,0,0,0
2002-12-27,95.0,110.0,65.0,110.0,215000,0,0
2002-12-30,110.0,110.0,110.0,110.0,0,0,0
2002-12-31,110.0,110.0,110.0,110.0,0,0,0
2003-01-01,110.0,110.0,110.0,110.0,0,0,0
2003-01-02,90.0,90.0,90.0,90.0,50000,0,0
2003-01-03,85.0,90.0,85.0,90.0,51000,0,0
2003-01-06,90.0,90.0,90.0,90.0,0,0,0
