Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-07-10,302.3438720703125,302.3438720703125,249.55368041992188,302.3438720703125,12180906,0,0
2012-07-11,359.9331970214844,369.5314025878906,316.7412109375,359.9331970214844,29452861,0,0
2012-07-12,359.9331970214844,369.5314025878906,287.9465637207031,359.9331970214844,26751318,0,0
2012-07-13,359.9331970214844,383.9287414550781,350.3349914550781,359.9331970214844,7460238,0,0
2012-07-16,364.7322998046875,383.9287414550781,359.9331970214844,364.7322998046875,1280966,0,0
2012-07-17,379.129638671875,393.5269470214844,359.9331970214844,379.129638671875,5681262,0,0
2012-07-18,379.129638671875,393.5269470214844,374.3305358886719,379.129638671875,1920668,0,0
2012-07-19,374.3305358886719,388.72784423828125,364.7322998046875,374.3305358886719,896520,0,0
2012-07-20,369.5314025878906,374.3305358886719,364.7322998046875,369.5314025878906,1166362,0,0
2012-07-23,364.7322998046875,364.7322998046875,355.13409423828125,364.7322998046875,812650,0,0
2012-07-24,359.9331970214844,364.7322998046875,359.9331970214844,359.9331970214844,704818,0,0
2012-07-25,355.13409423828125,359.9331970214844,355.13409423828125,355.13409423828125,788167,0,0
2012-07-26,359.9331970214844,369.5314025878906,359.9331970214844,359.9331970214844,529785,0,0
2012-07-27,364.7322998046875,369.5314025878906,359.9331970214844,364.7322998046875,498530,0,0
2012-07-30,359.9331970214844,369.5314025878906,359.9331970214844,359.9331970214844,100539,0,0
2012-07-31,359.9331970214844,364.7322998046875,355.13409423828125,359.9331970214844,334437,0,0
2012-08-01,359.9331970214844,359.9331970214844,355.13409423828125,359.9331970214844,233897,0,0
2012-08-02,359.9331970214844,359.9331970214844,350.3349914550781,359.9331970214844,354232,0,0
2012-08-03,412.723388671875,431.9198303222656,359.9331970214844,412.723388671875,13932793,0,0
2012-08-06,383.9287414550781,431.9198303222656,374.3305358886719,383.9287414550781,5975067,0,0
2012-08-07,355.13409423828125,388.72784423828125,335.9376525878906,355.13409423828125,2831775,0,0
2012-08-08,374.3305358886719,374.3305358886719,359.9331970214844,374.3305358886719,947050,0,0
2012-08-09,364.7322998046875,374.3305358886719,364.7322998046875,364.7322998046875,429246,0,0
2012-08-10,379.129638671875,388.72784423828125,369.5314025878906,379.129638671875,857971,0,0
2012-08-13,369.5314025878906,379.129638671875,359.9331970214844,369.5314025878906,228688,0,0
2012-08-14,364.7322998046875,379.129638671875,359.9331970214844,364.7322998046875,1852427,0,0
2012-08-15,355.13409423828125,369.5314025878906,350.3349914550781,355.13409423828125,418827,0,0
2012-08-16,345.5358581542969,359.9331970214844,345.5358581542969,345.5358581542969,652204,0,0
2012-08-23,340.73675537109375,359.9331970214844,302.3438720703125,340.73675537109375,3060984,0,0
2012-08-24,340.73675537109375,364.7322998046875,321.5403137207031,340.73675537109375,660539,0,0
2012-08-27,340.73675537109375,355.13409423828125,335.9376525878906,340.73675537109375,111999,0,0
2012-08-28,340.73675537109375,340.73675537109375,331.1385498046875,340.73675537109375,1010083,0,0
2012-08-29,340.73675537109375,359.9331970214844,331.1385498046875,340.73675537109375,744929,0,0
2012-08-30,335.9376525878906,340.73675537109375,326.33941650390625,335.9376525878906,374548,0,0
