Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-20,84.80000305175781,84.80000305175781,84.80000305175781,84.80000305175781,10500,0,0.0
2018-08-21,106.0,106.0,103.0,106.0,75378000,0,0.0
2018-08-22,106.0,106.0,106.0,106.0,0,0,0.0
2018-08-23,132.0,132.0,131.0,132.0,86726000,0,0.0
2018-08-24,162.0,165.0,150.0,165.0,309513000,0,0.0
2018-08-27,170.0,194.0,128.0,146.0,383168500,0,0.0
2018-08-28,148.0,159.0,147.0,154.0,92434000,0,0.0
2018-08-29,156.0,170.0,155.0,167.0,100727000,0,0.0
2018-08-30,170.0,172.0,165.0,167.0,71964000,0,0.0
2018-08-31,160.0,169.0,128.0,158.0,37192500,0,0.0
2018-09-03,162.0,162.0,138.0,158.0,13195000,0,0.0
2018-09-04,160.0,163.0,158.0,160.0,17276500,0,0.0
2018-09-05,160.0,161.0,142.0,156.0,12409000,0,0.0
2018-09-06,155.0,179.0,150.0,170.0,57460500,0,0.0
2018-09-07,174.0,175.0,160.0,171.0,9336000,0,0.0
2018-09-10,170.0,209.0,168.0,202.0,85321500,0,0.0
2018-09-11,202.0,202.0,202.0,202.0,0,0,0.0
2018-09-12,204.0,252.0,203.0,245.0,95145500,0,0.0
2018-09-13,247.0,299.0,235.0,294.0,137330000,0,0.0
2018-09-14,294.0,294.0,294.0,294.0,0,0,0.0
2018-09-17,288.0,316.0,240.0,292.0,74082000,0,0.0
2018-09-18,294.0,336.0,277.0,282.0,106314500,0,0.0
2018-09-19,284.0,310.0,274.0,300.0,39686500,0,0.0
2018-09-20,312.0,328.0,307.0,321.0,42339000,0,0.0
2018-09-21,322.0,342.0,322.0,333.0,41136500,0,0.0
2018-09-24,334.0,356.0,302.0,330.0,64705000,0,0.0
2018-09-25,322.0,328.0,297.0,314.0,72094500,0,0.0
2018-09-26,313.0,335.0,303.0,332.0,32440000,0,0.0
2018-09-27,333.0,352.0,316.0,329.0,13593000,0,0.0
2018-09-28,329.0,332.0,314.0,326.0,7541000,0,0.0
2018-10-01,329.0,338.0,317.0,335.0,17876000,0,0.0
2018-10-02,332.0,338.0,326.0,328.0,8574000,0,0.0
2018-10-03,326.0,367.0,322.0,365.0,37354500,0,0.0
2018-10-04,367.0,385.0,359.0,362.0,24928000,0,0.0
2018-10-05,364.0,375.0,357.0,362.0,4367000,0,0.0
2018-10-08,362.0,368.0,348.0,350.0,12135500,0,0.0
2018-10-09,352.0,385.0,326.0,385.0,30806000,0,0.0
2018-10-10,387.0,400.0,377.0,377.0,20951000,0,0.0
2018-10-11,372.0,372.0,350.0,370.0,8734500,0,0.0
2018-10-12,370.0,370.0,358.0,359.0,2410500,0,0.0
2018-10-15,358.0,359.0,343.0,350.0,7163000,0,0.0
2018-10-16,350.0,396.0,350.0,382.0,41804000,0,0.0
2018-10-17,385.0,416.0,380.0,416.0,16144000,0,0.0
2018-10-18,416.0,450.0,414.0,436.0,123286500,0,0.0
2018-10-19,436.0,466.0,426.0,442.0,49890000,0,0.0
2018-10-22,442.0,462.0,390.0,424.0,20165500,0,0.0
2018-10-23,424.0,424.0,393.0,396.0,49599000,0,0.0
2018-10-24,396.0,396.0,382.0,392.0,59948500,0,0.0
2018-10-25,380.0,382.0,362.0,373.0,17961500,0,0.0
2018-10-26,373.0,400.0,367.0,388.0,14061500,0,0.0
2018-10-29,388.0,410.0,382.0,385.0,74021000,0,0.0
2018-10-30,385.0,391.0,370.0,386.0,36029000,0,0.0
2018-10-31,386.0,412.0,380.0,399.0,34769000,0,0.0
2018-11-01,400.0,400.0,390.0,390.0,26393500,0,0.0
2018-11-02,391.0,399.0,382.0,393.0,6201500,0,0.0
2018-11-05,386.0,412.0,383.0,406.0,9258500,0,0.0
2018-11-06,406.0,432.0,396.0,416.0,18079000,0,0.0
2018-11-07,416.0,470.0,416.0,452.0,45474500,0,0.0
2018-11-08,456.0,458.0,422.0,434.0,30526500,0,0.0
2018-11-09,432.0,440.0,392.0,420.0,10860000,0,0.0
2018-11-12,420.0,446.0,406.0,424.0,11604000,0,0.0
2018-11-13,414.0,434.0,400.0,408.0,6276000,0,0.0
2018-11-14,412.0,412.0,368.0,378.0,16075000,0,0.0
2018-11-15,377.0,380.0,366.0,374.0,5325500,0,0.0
2018-11-16,373.0,378.0,367.0,373.0,2568000,0,0.0
2018-11-19,373.0,374.0,368.0,368.0,2871500,0,0.0
2018-11-20,368.0,368.0,368.0,368.0,0,0,0.0
2018-11-21,363.0,363.0,341.0,341.0,3832500,0,0.0
2018-11-22,341.0,356.0,338.0,352.0,8044000,0,0.0
2018-11-23,352.0,356.0,346.0,347.0,7048000,0,0.0
2018-11-26,348.0,348.0,340.0,342.0,1927500,0,0.0
2018-11-27,338.0,380.0,337.0,374.0,20615000,0,0.0
2018-11-28,375.0,390.0,367.0,385.0,13965000,0,0.0
2018-11-29,387.0,396.0,379.0,389.0,31456000,0,0.0
