Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-12,145.0,199.0,141.0,173.0,25182100,0,0
2016-01-13,174.0,179.0,158.0,161.0,7038900,0,0
2016-01-14,159.0,159.0,145.0,145.0,2414200,0,0
2016-01-15,145.0,145.0,133.0,134.0,855100,0,0
2016-01-18,134.0,174.0,123.0,128.0,11292700,0,0
2016-01-19,129.0,145.0,127.0,128.0,878100,0,0
2016-01-20,133.0,133.0,124.0,125.0,950100,0,0
2016-01-21,125.0,138.0,121.0,124.0,640600,0,0
2016-01-22,130.0,130.0,122.0,127.0,407700,0,0
2016-01-25,124.0,130.0,122.0,124.0,281600,0,0
2016-01-26,126.0,130.0,123.0,124.0,299400,0,0
2016-01-27,126.0,126.0,119.0,124.0,241900,0,0
2016-01-28,124.0,124.0,112.0,116.0,263300,0,0
2016-01-29,118.0,119.0,113.0,116.0,47500,0,0
2016-02-01,118.0,118.0,106.0,115.0,105500,0,0
2016-02-02,116.0,116.0,110.0,110.0,1479900,0,0
2016-02-03,118.0,118.0,101.0,107.0,120600,0,0
2016-02-04,105.0,112.0,105.0,111.0,262900,0,0
2016-02-05,111.0,116.0,111.0,112.0,98800,0,0
2016-02-09,120.0,121.0,113.0,120.0,223600,0,0
2016-02-10,120.0,120.0,117.0,117.0,17700,0,0
2016-02-11,117.0,125.0,115.0,125.0,150400,0,0
2016-02-12,125.0,130.0,120.0,120.0,160900,0,0
2016-02-15,125.0,125.0,120.0,120.0,131200,0,0
2016-02-16,125.0,125.0,112.0,120.0,344600,0,0
2016-02-17,115.0,120.0,115.0,120.0,1000,0,0
2016-02-18,119.0,125.0,117.0,118.0,57700,0,0
2016-02-19,110.0,117.0,110.0,117.0,3100,0,0
2016-02-22,110.0,120.0,109.0,110.0,282400,0,0
2016-02-23,107.0,126.0,106.0,117.0,166400,0,0
2016-02-24,106.0,122.0,106.0,119.0,64900,0,0
2016-02-25,119.0,120.0,116.0,119.0,51100,0,0
2016-02-26,119.0,122.0,116.0,116.0,171400,0,0
2016-02-29,117.0,119.0,116.0,116.0,89900,0,0
2016-03-01,117.0,119.0,114.0,114.0,134300,0,0
2016-03-02,120.0,121.0,119.0,121.0,241200,0,0
2016-03-03,122.0,125.0,120.0,125.0,121400,0,0
2016-03-04,126.0,127.0,123.0,127.0,135000,0,0
2016-03-07,128.0,130.0,125.0,125.0,135000,0,0
2016-03-08,127.0,133.0,126.0,128.0,64800,0,0
2016-03-10,128.0,130.0,128.0,128.0,157100,0,0
2016-03-15,132.0,133.0,132.0,133.0,11400,0,0
2016-03-16,133.0,135.0,131.0,133.0,70300,0,0
2016-03-17,134.0,139.0,134.0,134.0,12400,0,0
2016-03-18,137.0,138.0,136.0,136.0,22500,0,0
2016-03-21,136.0,145.0,136.0,140.0,30900,0,0
2016-03-22,135.0,139.0,135.0,135.0,43000,0,0
2016-03-23,140.0,140.0,136.0,136.0,39800,0,0
2016-03-24,138.0,138.0,137.0,138.0,64400,0,0
2016-03-28,141.0,142.0,138.0,138.0,97600,0,0
2016-03-29,148.0,148.0,137.0,137.0,34600,0,0
2016-03-30,142.0,142.0,137.0,137.0,8200,0,0
2016-03-31,145.0,145.0,134.0,138.0,121400,0,0
2016-04-01,138.0,138.0,138.0,138.0,4500,0,0
2016-04-04,145.0,145.0,138.0,138.0,100600,0,0
2016-04-05,138.0,138.0,138.0,138.0,24800,0,0
2016-04-06,138.0,141.0,138.0,139.0,97300,0,0
2016-04-07,139.0,139.0,139.0,139.0,66300,0,0
2016-04-08,140.0,140.0,140.0,140.0,45000,0,0
2016-04-12,140.0,140.0,140.0,140.0,21500,0,0
2016-04-19,140.0,140.0,140.0,140.0,0,0,0
2016-04-20,141.0,141.0,141.0,141.0,100,0,0
2016-04-21,141.0,143.0,138.0,138.0,117500,0,0
2016-04-22,138.0,138.0,138.0,138.0,0,0,0
2016-04-25,140.0,140.0,140.0,140.0,25000,0,0
2016-04-26,140.0,140.0,139.0,140.0,70700,0,0
2016-04-27,138.0,138.0,137.0,137.0,40300,0,0
2016-04-28,137.0,137.0,137.0,137.0,29200,0,0
2016-04-29,137.0,137.0,134.0,134.0,98500,0,0
2016-05-02,141.0,141.0,137.0,140.0,119600,0,0
2016-05-03,141.0,142.0,139.0,142.0,353700,0,0
2016-05-04,142.0,150.0,142.0,142.0,53500,0,0
2016-05-09,142.0,142.0,140.0,142.0,82400,0,0
