Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-27,135.0,135.0,99.0,135.0,573529400,0,0
2022-05-30,151.0,182.0,151.0,182.0,393081900,0,0
2022-05-31,208.0,244.0,200.0,244.0,352479800,0,0
2022-06-02,244.0,304.0,244.0,304.0,229156000,0,0
2022-06-03,330.0,380.0,330.0,380.0,386188200,0,0
2022-06-06,450.0,468.0,354.0,354.0,278763600,0,0
2022-06-07,354.0,354.0,330.0,330.0,3348400,0,0
2022-06-08,308.0,308.0,308.0,308.0,2895700,0,0
2022-06-09,288.0,376.0,288.0,376.0,785962800,0,0
2022-06-10,372.0,394.0,352.0,372.0,605213300,0,0
2022-06-13,372.0,372.0,346.0,346.0,10409100,0,0
2022-06-14,322.0,324.0,322.0,322.0,3918400,0,0
2022-06-15,302.0,302.0,300.0,300.0,14377400,0,0
2022-06-16,280.0,280.0,280.0,280.0,5997200,0,0
2022-06-17,262.0,262.0,262.0,262.0,7933600,0,0
2022-06-20,244.0,244.0,244.0,244.0,3336400,0,0
2022-06-21,228.0,228.0,228.0,228.0,3142200,0,0
2022-06-22,214.0,214.0,214.0,214.0,2506700,0,0
2022-06-23,200.0,224.0,200.0,200.0,178235100,0,0
2022-06-24,186.0,186.0,186.0,186.0,6806400,0,0
2022-06-27,173.0,173.0,173.0,173.0,8256200,0,0
2022-06-28,161.0,173.0,161.0,161.0,104574900,0,0
2022-06-29,150.0,167.0,150.0,152.0,238799000,0,0
2022-06-30,152.0,176.0,148.0,158.0,484084700,0,0
2022-07-01,160.0,163.0,154.0,154.0,82805500,0,0
2022-07-04,154.0,181.0,149.0,169.0,377810400,0,0
2022-07-05,170.0,202.0,168.0,200.0,499230200,0,0
2022-07-06,200.0,216.0,197.0,200.0,338510500,0,0
2022-07-07,200.0,218.0,195.0,200.0,347289600,0,0
2022-07-08,202.0,208.0,199.0,202.0,77490100,0,0
2022-07-11,200.0,206.0,200.0,202.0,34426000,0,0
2022-07-12,204.0,236.0,200.0,224.0,318074900,0,0
2022-07-13,224.0,256.0,220.0,248.0,399303600,0,0
2022-07-14,250.0,296.0,244.0,288.0,644785500,0,0
2022-07-15,290.0,308.0,284.0,288.0,364095600,0,0
2022-07-18,290.0,318.0,282.0,306.0,504341800,0,0
2022-07-19,308.0,322.0,300.0,306.0,299543500,0,0
2022-07-20,294.0,334.0,294.0,322.0,516234100,0,0
2022-07-21,322.0,340.0,318.0,324.0,375614600,0,0
2022-07-22,324.0,330.0,316.0,322.0,115952500,0,0
2022-07-25,320.0,332.0,318.0,324.0,196262900,0,0
2022-07-26,326.0,342.0,320.0,328.0,305379400,0,0
2022-07-27,328.0,334.0,326.0,332.0,112876500,0,0
2022-07-28,332.0,340.0,330.0,332.0,205670300,0,0
2022-07-29,332.0,338.0,330.0,332.0,70033600,0,0
2022-08-01,332.0,356.0,310.0,310.0,329884700,0,0
2022-08-02,290.0,338.0,290.0,334.0,165262700,0,0
2022-08-03,334.0,358.0,330.0,356.0,165533600,0,0
2022-08-04,358.0,382.0,354.0,376.0,210432700,0,0
2022-08-05,378.0,386.0,374.0,376.0,122460600,0,0
2022-08-08,378.0,404.0,358.0,358.0,383124700,0,0
2022-08-09,358.0,360.0,334.0,334.0,30882100,0,0
2022-08-10,314.0,314.0,312.0,312.0,4047400,0,0
2022-08-11,292.0,292.0,292.0,292.0,3190800,0,0
2022-08-12,272.0,272.0,272.0,272.0,5609100,0,0
2022-08-15,254.0,254.0,254.0,254.0,4960000,0,0
2022-08-16,238.0,242.0,238.0,238.0,55069600,0,0
2022-08-18,222.0,222.0,222.0,222.0,19085500,0,0
2022-08-19,208.0,226.0,208.0,224.0,255736200,0,0
2022-08-22,230.0,232.0,218.0,224.0,139231600,0,0
2022-08-23,224.0,230.0,218.0,228.0,128862700,0,0
2022-08-24,228.0,232.0,222.0,228.0,91724200,0,0
2022-08-25,226.0,230.0,214.0,222.0,256850100,0,0
2022-08-26,222.0,230.0,208.0,220.0,281698800,0,0
2022-08-29,216.0,218.0,208.0,216.0,63298100,0,0
2022-08-30,220.0,222.0,210.0,218.0,95092500,0,0
2022-08-31,222.0,222.0,208.0,216.0,57711500,0,0
2022-09-01,216.0,218.0,210.0,218.0,34180700,0,0
2022-09-02,224.0,224.0,212.0,216.0,45645000,0,0
2022-09-05,216.0,234.0,208.0,214.0,468017800,0,0
2022-09-06,214.0,218.0,210.0,212.0,61658200,0,0
2022-09-07,212.0,228.0,210.0,214.0,345397500,0,0
2022-09-08,216.0,224.0,208.0,212.0,231754400,0,0
2022-09-09,214.0,214.0,208.0,212.0,41254500,0,0
2022-09-12,212.0,216.0,208.0,210.0,66475000,0,0
2022-09-13,210.0,214.0,208.0,212.0,42471900,0,0
2022-09-14,210.0,212.0,198.0,198.0,167299900,0,0
2022-09-15,197.0,197.0,185.0,185.0,14049900,0,0
2022-09-16,173.0,173.0,173.0,173.0,3884600,0,0
2022-09-19,162.0,173.0,161.0,166.0,85562500,0,0
2022-09-20,168.0,187.0,165.0,173.0,62835900,0,0
2022-09-21,173.0,174.0,165.0,165.0,27187000,0,0
2022-09-22,165.0,171.0,162.0,169.0,20953700,0,0
2022-09-23,170.0,177.0,170.0,174.0,28859600,0,0
2022-09-26,175.0,190.0,171.0,183.0,105188200,0,0
2022-09-27,185.0,193.0,183.0,186.0,71614300,0,0
2022-09-28,186.0,197.0,179.0,197.0,174044500,0,0
2022-09-29,200.0,210.0,184.0,192.0,254748300,0,0
2022-09-30,192.0,192.0,179.0,179.0,25268300,0,0
2022-10-03,179.0,179.0,167.0,171.0,24849100,0,0
2022-10-04,172.0,176.0,171.0,173.0,18925500,0,0
2022-10-05,174.0,182.0,173.0,182.0,45896100,0,0
2022-10-06,184.0,184.0,177.0,179.0,22603200,0,0
2022-10-07,178.0,188.0,176.0,187.0,58031200,0,0
2022-10-10,188.0,191.0,182.0,185.0,32886400,0,0
2022-10-11,185.0,187.0,182.0,187.0,25979800,0,0
2022-10-12,187.0,202.0,185.0,202.0,157633900,0,0
2022-10-13,210.0,210.0,188.0,188.0,217322300,0,0
2022-10-14,185.0,188.0,175.0,175.0,80437200,0,0
2022-10-17,170.0,170.0,163.0,163.0,12207200,0,0
2022-10-18,159.0,165.0,152.0,159.0,72585900,0,0
2022-10-19,161.0,167.0,155.0,160.0,72614300,0,0
2022-10-20,160.0,161.0,155.0,160.0,32839200,0,0
2022-10-21,161.0,172.0,156.0,160.0,129300100,0,0
2022-10-24,161.0,162.0,159.0,161.0,15981400,0,0
2022-10-25,161.0,166.0,159.0,166.0,36343000,0,0
2022-10-26,167.0,172.0,164.0,172.0,45248000,0,0
2022-10-27,172.0,180.0,170.0,180.0,67891400,0,0
2022-10-28,182.0,182.0,175.0,178.0,24675600,0,0
2022-10-31,179.0,184.0,166.0,168.0,86317300,0,0
2022-11-01,168.0,170.0,157.0,162.0,75321500,0,0
2022-11-02,162.0,162.0,151.0,151.0,32115500,0,0
2022-11-03,150.0,151.0,141.0,142.0,21751200,0,0
2022-11-04,144.0,148.0,140.0,142.0,8560300,0,0
2022-11-07,143.0,147.0,140.0,144.0,12488900,0,0
2022-11-08,145.0,146.0,142.0,143.0,7736100,0,0
2022-11-09,143.0,150.0,143.0,149.0,17530100,0,0
2022-11-10,149.0,152.0,146.0,148.0,13027100,0,0
2022-11-11,148.0,148.0,143.0,148.0,7383800,0,0
2022-11-14,148.0,152.0,139.0,150.0,42866400,0,0
2022-11-15,150.0,155.0,140.0,142.0,61612000,0,0
2022-11-16,142.0,143.0,138.0,141.0,10067100,0,0
2022-11-17,140.0,141.0,138.0,140.0,6423600,0,0
2022-11-18,140.0,141.0,139.0,140.0,4773300,0,0
2022-11-21,140.0,141.0,138.0,139.0,6248200,0,0
2022-11-22,141.0,144.0,139.0,141.0,13683200,0,0
2022-11-23,141.0,141.0,137.0,140.0,4562700,0,0
2022-11-24,139.0,140.0,138.0,139.0,13735900,0,0
2022-11-25,139.0,139.0,133.0,135.0,23235300,0,0
2022-11-28,135.0,144.0,126.0,138.0,60636900,0,0
2022-11-29,139.0,139.0,135.0,136.0,4151400,0,0
2022-11-30,136.0,136.0,127.0,128.0,11977000,0,0
2022-12-01,124.0,128.0,120.0,120.0,16462400,0,0
2022-12-02,112.0,120.0,112.0,112.0,14358700,0,0
2022-12-05,105.0,105.0,105.0,105.0,3683400,0,0
2022-12-06,98.0,109.0,98.0,100.0,54936600,0,0
2022-12-07,98.0,105.0,95.0,100.0,42271600,0,0
2022-12-08,101.0,101.0,96.0,99.0,13565000,0,0
2022-12-09,102.0,102.0,93.0,100.0,18298400,0,0
2022-12-12,101.0,106.0,95.0,100.0,35350600,0,0
2022-12-13,99.0,100.0,96.0,100.0,9837900,0,0
2022-12-14,99.0,99.0,95.0,97.0,19077100,0,0
2022-12-15,101.0,101.0,94.0,96.0,2833000,0,0
2022-12-16,96.0,97.0,91.0,97.0,7311400,0,0
2022-12-19,96.0,97.0,95.0,96.0,4885500,0,0
2022-12-20,96.0,96.0,92.0,92.0,6075400,0,0
2022-12-21,92.0,97.0,90.0,96.0,30347000,0,0
2022-12-22,96.0,102.0,94.0,97.0,61370200,0,0
2022-12-23,98.0,101.0,95.0,100.0,48544800,0,0
