Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-17,178.0,178.0,178.0,178.0,7400,0,0
2020-02-18,240.0,240.0,240.0,240.0,12900,0,0
2020-02-19,300.0,300.0,240.0,300.0,69484100,0,0
2020-02-20,304.0,374.0,270.0,304.0,176242300,0,0
2020-02-21,306.0,324.0,278.0,292.0,78517500,0,0
2020-02-24,292.0,312.0,266.0,272.0,52382600,0,0
2020-02-25,272.0,292.0,266.0,286.0,47711200,0,0
2020-02-26,290.0,300.0,286.0,290.0,24407200,0,0
2020-02-27,292.0,312.0,282.0,294.0,46892500,0,0
2020-02-28,296.0,296.0,272.0,274.0,21344900,0,0
2020-03-02,274.0,282.0,266.0,280.0,14122300,0,0
2020-03-03,280.0,310.0,280.0,306.0,30526000,0,0
2020-03-04,306.0,332.0,304.0,318.0,31632100,0,0
2020-03-05,316.0,336.0,312.0,324.0,29016000,0,0
2020-03-06,322.0,348.0,322.0,342.0,33807300,0,0
2020-03-09,340.0,344.0,332.0,338.0,34222500,0,0
2020-03-10,338.0,354.0,338.0,346.0,34312300,0,0
2020-03-11,348.0,358.0,346.0,354.0,32909400,0,0
2020-03-12,354.0,358.0,342.0,344.0,29234700,0,0
2020-03-13,344.0,402.0,330.0,400.0,42779300,0,0
2020-03-16,398.0,398.0,390.0,390.0,22955600,0,0
2020-03-17,390.0,392.0,382.0,384.0,23248100,0,0
2020-03-18,384.0,384.0,378.0,380.0,18778400,0,0
2020-03-19,378.0,380.0,372.0,372.0,23053400,0,0
2020-03-20,372.0,378.0,368.0,376.0,21322200,0,0
2020-03-23,374.0,374.0,368.0,370.0,23934600,0,0
2020-03-24,370.0,380.0,368.0,376.0,22003000,0,0
2020-03-26,378.0,388.0,372.0,380.0,23518300,0,0
2020-03-27,382.0,394.0,376.0,382.0,22441700,0,0
2020-03-30,380.0,384.0,378.0,378.0,17522000,0,0
2020-03-31,378.0,390.0,376.0,380.0,21491000,0,0
2020-04-01,380.0,384.0,378.0,378.0,12827800,0,0
2020-04-02,378.0,392.0,376.0,382.0,27743700,0,0
2020-04-03,382.0,384.0,376.0,380.0,17972600,0,0
2020-04-06,380.0,380.0,376.0,376.0,12645000,0,0
2020-04-07,376.0,382.0,374.0,378.0,15367800,0,0
2020-04-08,380.0,388.0,378.0,382.0,15229300,0,0
