Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-12,170.0,170.0,170.0,170.0,11500,0,0
2020-02-13,228.0,228.0,228.0,228.0,17600,0,0
2020-02-14,256.0,284.0,202.0,284.0,20855700,0,0
2020-02-17,290.0,354.0,290.0,354.0,3020400,0,0
2020-02-18,356.0,442.0,266.0,272.0,67861400,0,0
2020-02-19,272.0,288.0,204.0,204.0,24782600,0,0
2020-02-20,194.0,204.0,155.0,204.0,47977300,0,0
2020-02-21,204.0,210.0,153.0,153.0,32628200,0,0
2020-02-24,143.0,143.0,100.0,100.0,40657400,0,0
2020-02-25,110.0,110.0,65.0,69.0,143121000,0,0
2020-02-26,69.0,83.0,52.0,70.0,177637700,0,0
2020-02-27,70.0,75.0,50.0,50.0,131301500,0,0
2020-02-28,50.0,50.0,50.0,50.0,461400,0,0
2020-03-02,50.0,50.0,50.0,50.0,111900,0,0
2020-03-03,50.0,50.0,50.0,50.0,7431000,0,0
2020-03-04,50.0,50.0,50.0,50.0,127500,0,0
2020-03-05,50.0,50.0,50.0,50.0,131900,0,0
2020-03-06,50.0,50.0,50.0,50.0,128400,0,0
2020-03-09,50.0,67.0,50.0,59.0,133870200,0,0
2020-03-10,58.0,68.0,56.0,65.0,41672700,0,0
2020-03-11,65.0,70.0,62.0,62.0,18106300,0,0
2020-03-12,62.0,62.0,56.0,58.0,11377200,0,0
2020-03-13,56.0,56.0,54.0,54.0,836500,0,0
2020-03-16,54.0,54.0,51.0,51.0,5571600,0,0
2020-03-17,50.0,51.0,50.0,50.0,7683600,0,0
2020-03-18,50.0,57.0,50.0,51.0,10509900,0,0
2020-03-19,51.0,55.0,50.0,50.0,3158100,0,0
2020-03-20,51.0,52.0,50.0,51.0,2237800,0,0
2020-03-23,51.0,51.0,50.0,50.0,4161200,0,0
2020-03-24,50.0,52.0,50.0,50.0,1435000,0,0
2020-03-26,50.0,56.0,50.0,50.0,8618700,0,0
2020-03-27,51.0,53.0,50.0,51.0,2572800,0,0
2020-03-30,51.0,53.0,50.0,52.0,1255400,0,0
2020-03-31,52.0,52.0,50.0,50.0,902400,0,0
2020-04-01,50.0,52.0,50.0,51.0,2405100,0,0
2020-04-02,51.0,51.0,50.0,50.0,11724300,0,0
2020-04-03,50.0,52.0,50.0,51.0,1189600,0,0
2020-04-06,51.0,52.0,50.0,51.0,2667200,0,0
2020-04-07,51.0,51.0,50.0,51.0,3091200,0,0
2020-04-08,51.0,52.0,50.0,51.0,1920700,0,0
2020-04-09,51.0,51.0,50.0,50.0,2994400,0,0
2020-04-13,51.0,51.0,50.0,50.0,14708000,0,0
2020-04-14,50.0,50.0,50.0,50.0,490700,0,0
2020-04-15,50.0,50.0,50.0,50.0,968600,0,0
2020-04-16,50.0,50.0,50.0,50.0,19800,0,0
2020-04-17,50.0,50.0,50.0,50.0,9000,0,0
2020-04-20,50.0,50.0,50.0,50.0,58700,0,0
2020-04-21,50.0,50.0,50.0,50.0,15500,0,0
2020-04-22,50.0,50.0,50.0,50.0,2600,0,0
2020-04-23,50.0,50.0,50.0,50.0,24800,0,0
2020-04-24,50.0,50.0,50.0,50.0,832300,0,0
2020-04-27,50.0,50.0,50.0,50.0,3500,0,0
2020-04-28,50.0,50.0,50.0,50.0,4600,0,0
2020-04-29,50.0,50.0,50.0,50.0,200,0,0
2020-04-30,50.0,50.0,50.0,50.0,9300,0,0
2020-05-04,50.0,50.0,50.0,50.0,3100,0,0
2020-05-05,50.0,50.0,50.0,50.0,2800,0,0
2020-05-06,50.0,50.0,50.0,50.0,2800,0,0
2020-05-08,50.0,50.0,50.0,50.0,700,0,0
2020-05-11,50.0,50.0,50.0,50.0,308800,0,0
2020-05-12,50.0,50.0,50.0,50.0,18100,0,0
2020-05-13,50.0,50.0,50.0,50.0,200,0,0
2020-05-14,50.0,50.0,50.0,50.0,3900,0,0
2020-05-15,50.0,50.0,50.0,50.0,100,0,0
2020-05-18,50.0,50.0,50.0,50.0,13600,0,0
2020-05-19,50.0,50.0,50.0,50.0,34200,0,0
2020-05-20,50.0,50.0,50.0,50.0,200,0,0
2020-05-26,50.0,50.0,50.0,50.0,80800,0,0
2020-05-27,50.0,50.0,50.0,50.0,1000,0,0
2020-05-28,50.0,50.0,50.0,50.0,300,0,0
2020-05-29,50.0,50.0,50.0,50.0,1400,0,0
2020-06-02,50.0,50.0,50.0,50.0,101400,0,0
2020-06-03,50.0,50.0,50.0,50.0,2200,0,0
2020-06-04,50.0,50.0,50.0,50.0,18500,0,0
2020-06-05,50.0,50.0,50.0,50.0,20200,0,0
2020-06-08,50.0,53.0,50.0,50.0,8354300,0,0
2020-06-09,50.0,50.0,50.0,50.0,80200,0,0
2020-06-10,50.0,50.0,50.0,50.0,3000,0,0
2020-06-11,50.0,50.0,50.0,50.0,4400,0,0
2020-06-12,50.0,50.0,50.0,50.0,400,0,0
2020-06-15,50.0,50.0,50.0,50.0,100900,0,0
2020-06-16,50.0,50.0,50.0,50.0,15000,0,0
2020-06-17,50.0,50.0,50.0,50.0,2600,0,0
2020-06-18,50.0,50.0,50.0,50.0,17700,0,0
2020-06-19,50.0,50.0,50.0,50.0,0,0,0
2020-06-22,50.0,50.0,50.0,50.0,10300,0,0
2020-06-23,50.0,50.0,50.0,50.0,1000,0,0
2020-06-24,50.0,50.0,50.0,50.0,43800,0,0
2020-06-25,50.0,50.0,50.0,50.0,2200,0,0
2020-06-26,50.0,50.0,50.0,50.0,1700,0,0
2020-06-29,50.0,50.0,50.0,50.0,20300,0,0
2020-06-30,50.0,50.0,50.0,50.0,8400,0,0
2020-07-01,50.0,50.0,50.0,50.0,5100,0,0
2020-07-02,50.0,50.0,50.0,50.0,1800,0,0
2020-07-03,50.0,50.0,50.0,50.0,3500,0,0
2020-07-06,50.0,50.0,50.0,50.0,6200,0,0
2020-07-07,50.0,50.0,50.0,50.0,101200,0,0
2020-07-08,50.0,50.0,50.0,50.0,1300,0,0
2020-07-09,50.0,50.0,50.0,50.0,1200,0,0
2020-07-10,50.0,50.0,50.0,50.0,302600,0,0
2020-07-13,50.0,50.0,50.0,50.0,60300,0,0
2020-07-14,50.0,50.0,50.0,50.0,200,0,0
2020-07-15,50.0,50.0,50.0,50.0,3800,0,0
2020-07-16,50.0,50.0,50.0,50.0,8600,0,0
2020-07-17,50.0,50.0,50.0,50.0,100,0,0
2020-07-20,50.0,50.0,50.0,50.0,27600,0,0
2020-07-21,50.0,50.0,50.0,50.0,4200,0,0
2020-07-22,50.0,50.0,50.0,50.0,2700,0,0
2020-07-23,50.0,50.0,50.0,50.0,200,0,0
2020-07-24,50.0,50.0,50.0,50.0,300,0,0
2020-07-27,50.0,50.0,50.0,50.0,5200,0,0
2020-07-28,50.0,50.0,50.0,50.0,3100,0,0
2020-07-29,50.0,50.0,50.0,50.0,1100,0,0
2020-07-30,50.0,50.0,50.0,50.0,1100,0,0
2020-08-03,50.0,50.0,50.0,50.0,451500,0,0
2020-08-04,50.0,50.0,50.0,50.0,100,0,0
2020-08-05,50.0,50.0,50.0,50.0,20000,0,0
2020-08-06,50.0,50.0,50.0,50.0,2100,0,0
2020-08-07,50.0,50.0,50.0,50.0,2000,0,0
2020-08-10,50.0,50.0,50.0,50.0,600,0,0
2020-08-11,50.0,50.0,50.0,50.0,0,0,0
2020-08-12,50.0,50.0,50.0,50.0,0,0,0
2020-08-13,50.0,50.0,50.0,50.0,100,0,0
2020-08-14,50.0,50.0,50.0,50.0,0,0,0
2020-08-18,50.0,50.0,50.0,50.0,0,0,0
2020-08-19,50.0,50.0,50.0,50.0,0,0,0
2020-08-24,50.0,50.0,50.0,50.0,10000,0,0
2020-08-25,50.0,50.0,50.0,50.0,101400,0,0
2020-08-26,50.0,50.0,50.0,50.0,0,0,0
2020-08-27,50.0,50.0,50.0,50.0,0,0,0
