Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-16,254.0,254.0,120.0,130.0,192703600,0,0
2019-09-17,130.0,148.0,128.0,130.0,77595900,0,0
2019-09-18,133.0,133.0,125.0,130.0,56366600,0,0
2019-09-19,134.0,135.0,126.0,128.0,17231600,0,0
2019-09-20,130.0,131.0,122.0,122.0,18990900,0,0
2019-09-23,123.0,123.0,113.0,114.0,19299900,0,0
2019-09-24,114.0,115.0,105.0,105.0,17612200,0,0
2019-09-25,105.0,141.0,100.0,141.0,490919200,0,0
2019-09-26,141.0,142.0,105.0,111.0,333830200,0,0
2019-09-27,115.0,115.0,73.0,73.0,584641400,0,0
2019-09-30,74.0,78.0,71.0,73.0,108963200,0,0
2019-10-01,74.0,78.0,68.0,73.0,167988400,0,0
2019-10-02,74.0,78.0,71.0,74.0,137834900,0,0
2019-10-03,74.0,82.0,50.0,50.0,1425295800,0,0
2019-10-04,50.0,52.0,50.0,50.0,379583400,0,0
2019-10-07,50.0,50.0,50.0,50.0,10056500,0,0
2019-10-08,50.0,61.0,50.0,50.0,1451501500,0,0
2019-10-09,50.0,51.0,50.0,50.0,87419800,0,0
2019-10-10,50.0,51.0,50.0,50.0,145857700,0,0
2019-10-11,50.0,50.0,50.0,50.0,4170100,0,0
2019-10-14,50.0,50.0,50.0,50.0,8011400,0,0
2019-10-15,50.0,50.0,50.0,50.0,4022800,0,0
2019-10-16,50.0,50.0,50.0,50.0,1766100,0,0
2019-10-17,50.0,50.0,50.0,50.0,1231700,0,0
2019-10-18,50.0,50.0,50.0,50.0,188000,0,0
2019-10-21,50.0,50.0,50.0,50.0,3197400,0,0
2019-10-22,50.0,50.0,50.0,50.0,874200,0,0
2019-10-23,50.0,50.0,50.0,50.0,206300,0,0
2019-10-24,50.0,50.0,50.0,50.0,156200,0,0
2019-10-25,50.0,50.0,50.0,50.0,211200,0,0
2019-10-28,50.0,50.0,50.0,50.0,671800,0,0
2019-10-29,50.0,50.0,50.0,50.0,376100,0,0
2019-10-30,50.0,50.0,50.0,50.0,434000,0,0
2019-10-31,50.0,50.0,50.0,50.0,461800,0,0
2019-11-01,50.0,50.0,50.0,50.0,59400,0,0
2019-11-04,50.0,50.0,50.0,50.0,1107300,0,0
2019-11-05,50.0,50.0,50.0,50.0,210700,0,0
2019-11-06,50.0,50.0,50.0,50.0,130600,0,0
2019-11-07,50.0,50.0,50.0,50.0,12600,0,0
2019-11-08,50.0,50.0,50.0,50.0,443800,0,0
2019-11-11,50.0,50.0,50.0,50.0,101900,0,0
2019-11-12,50.0,50.0,50.0,50.0,101900,0,0
2019-11-13,50.0,50.0,50.0,50.0,109700,0,0
2019-11-14,50.0,50.0,50.0,50.0,839900,0,0
2019-11-15,50.0,50.0,50.0,50.0,708200,0,0
2019-11-18,50.0,50.0,50.0,50.0,65900,0,0
2019-11-19,50.0,50.0,50.0,50.0,129200,0,0
2019-11-20,50.0,50.0,50.0,50.0,503300,0,0
2019-11-21,50.0,50.0,50.0,50.0,66000,0,0
2019-11-22,50.0,50.0,50.0,50.0,81700,0,0
2019-11-25,50.0,50.0,50.0,50.0,158700,0,0
2019-11-26,50.0,50.0,50.0,50.0,105800,0,0
2019-11-27,50.0,50.0,50.0,50.0,14800,0,0
2019-11-28,50.0,50.0,50.0,50.0,5500,0,0
2019-11-29,50.0,50.0,50.0,50.0,69800,0,0
2019-12-02,50.0,50.0,50.0,50.0,19900,0,0
2019-12-03,50.0,50.0,50.0,50.0,37900,0,0
2019-12-04,50.0,50.0,50.0,50.0,219800,0,0
2019-12-05,50.0,50.0,50.0,50.0,13500,0,0
2019-12-06,50.0,50.0,50.0,50.0,112900,0,0
2019-12-09,50.0,50.0,50.0,50.0,28400,0,0
2019-12-10,50.0,50.0,50.0,50.0,36700,0,0
