Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-28,135.0,135.0,107.0,135.0,1060598500,0,0
2022-01-31,140.0,182.0,135.0,182.0,687243600,0,0
2022-02-02,192.0,244.0,190.0,244.0,123577800,0,0
2022-02-03,264.0,304.0,228.0,228.0,328047500,0,0
2022-02-04,238.0,238.0,214.0,214.0,10920700,0,0
2022-02-07,200.0,200.0,200.0,200.0,4819800,0,0
2022-02-08,186.0,186.0,186.0,186.0,14797100,0,0
2022-02-09,173.0,218.0,173.0,178.0,440922500,0,0
2022-02-10,171.0,191.0,168.0,170.0,104936600,0,0
2022-02-11,170.0,175.0,159.0,160.0,77958200,0,0
2022-02-14,150.0,164.0,149.0,149.0,59012100,0,0
2022-02-15,149.0,154.0,139.0,141.0,60513000,0,0
2022-02-16,132.0,190.0,132.0,190.0,723326600,0,0
2022-02-17,200.0,224.0,195.0,199.0,544825000,0,0
2022-02-18,200.0,222.0,197.0,204.0,265691100,0,0
2022-02-21,206.0,218.0,190.0,190.0,1714536600,0,0
2022-02-22,188.0,199.0,177.0,177.0,811860800,0,0
2022-02-23,165.0,165.0,165.0,165.0,13464300,0,0
2022-02-24,154.0,154.0,154.0,154.0,51571800,0,0
2022-02-25,144.0,155.0,144.0,144.0,402043100,0,0
2022-03-01,135.0,154.0,134.0,134.0,671504700,0,0
2022-03-02,125.0,141.0,125.0,125.0,737713000,0,0
2022-03-04,117.0,125.0,117.0,117.0,99444900,0,0
2022-03-07,114.0,116.0,109.0,109.0,30657800,0,0
2022-03-08,106.0,127.0,102.0,102.0,622879500,0,0
2022-03-09,99.0,101.0,95.0,95.0,102777400,0,0
2022-03-10,95.0,95.0,89.0,93.0,168451200,0,0
2022-03-11,94.0,108.0,93.0,104.0,330627000,0,0
2022-03-14,104.0,105.0,97.0,97.0,91765200,0,0
2022-03-15,97.0,97.0,91.0,91.0,106214600,0,0
2022-03-16,91.0,97.0,88.0,92.0,72365000,0,0
2022-03-17,89.0,93.0,89.0,91.0,21835300,0,0
2022-03-18,88.0,93.0,88.0,90.0,28559400,0,0
2022-03-21,85.0,93.0,85.0,87.0,25189400,0,0
2022-03-22,87.0,93.0,85.0,89.0,66619700,0,0
2022-03-23,90.0,102.0,90.0,99.0,327388300,0,0
2022-03-24,100.0,110.0,93.0,93.0,2266193200,0,0
2022-03-25,87.0,93.0,87.0,87.0,982936300,0,0
2022-03-28,81.0,81.0,81.0,81.0,76486100,0,0
2022-03-29,76.0,80.0,76.0,77.0,287524000,0,0
2022-03-30,78.0,82.0,77.0,79.0,126281100,0,0
2022-03-31,79.0,80.0,75.0,77.0,55911500,0,0
2022-04-01,77.0,78.0,72.0,73.0,69299400,0,0
2022-04-04,78.0,78.0,70.0,72.0,63334400,0,0
2022-04-05,71.0,74.0,70.0,71.0,57396800,0,0
2022-04-06,71.0,72.0,68.0,68.0,38594000,0,0
2022-04-07,68.0,77.0,66.0,72.0,205269400,0,0
2022-04-08,73.0,89.0,70.0,74.0,799362700,0,0
2022-04-11,75.0,78.0,70.0,71.0,102508900,0,0
2022-04-12,72.0,77.0,68.0,69.0,151342100,0,0
2022-04-13,70.0,74.0,65.0,65.0,567444300,0,0
2022-04-14,87.0,87.0,61.0,61.0,161912000,0,0
2022-04-18,60.0,61.0,57.0,57.0,81694000,0,0
2022-04-19,58.0,59.0,55.0,57.0,50495500,0,0
2022-04-20,57.0,58.0,55.0,56.0,36062600,0,0
2022-04-21,56.0,60.0,54.0,56.0,60360800,0,0
2022-04-22,56.0,57.0,55.0,56.0,28119600,0,0
2022-04-25,57.0,60.0,53.0,56.0,75643700,0,0
2022-04-26,56.0,58.0,55.0,55.0,40686200,0,0
2022-04-27,55.0,56.0,54.0,55.0,15924700,0,0
2022-04-28,55.0,56.0,53.0,54.0,23239900,0,0
2022-05-09,54.0,55.0,52.0,52.0,37061600,0,0
2022-05-10,52.0,53.0,50.0,51.0,38357100,0,0
2022-05-11,51.0,52.0,50.0,51.0,30352000,0,0
2022-05-12,51.0,52.0,50.0,50.0,24735400,0,0
2022-05-13,50.0,51.0,50.0,50.0,44188400,0,0
2022-05-17,50.0,51.0,50.0,51.0,23697300,0,0
2022-05-18,51.0,51.0,50.0,50.0,10369100,0,0
2022-05-19,51.0,51.0,50.0,50.0,17906500,0,0
2022-05-20,50.0,51.0,50.0,50.0,15542800,0,0
2022-05-23,50.0,51.0,50.0,51.0,15818900,0,0
2022-05-24,50.0,51.0,50.0,50.0,8294500,0,0
2022-05-25,50.0,51.0,50.0,50.0,8972200,0,0
2022-05-27,50.0,51.0,50.0,50.0,11856400,0,0
2022-05-30,50.0,51.0,50.0,50.0,13460900,0,0
2022-05-31,50.0,51.0,50.0,50.0,8592700,0,0
2022-06-02,50.0,51.0,50.0,51.0,12718100,0,0
2022-06-03,50.0,51.0,50.0,50.0,8305300,0,0
2022-06-06,50.0,51.0,50.0,50.0,9904100,0,0
2022-06-07,50.0,51.0,50.0,50.0,12034200,0,0
2022-06-08,50.0,50.0,50.0,50.0,2666700,0,0
2022-06-09,50.0,51.0,50.0,50.0,10443800,0,0
2022-06-10,50.0,51.0,50.0,50.0,10649100,0,0
2022-06-13,50.0,50.0,50.0,50.0,3147900,0,0
2022-06-14,50.0,50.0,50.0,50.0,581400,0,0
2022-06-15,50.0,50.0,50.0,50.0,3656300,0,0
2022-06-16,50.0,50.0,50.0,50.0,1192000,0,0
2022-06-17,50.0,50.0,50.0,50.0,934600,0,0
2022-06-20,50.0,50.0,50.0,50.0,595300,0,0
2022-06-21,50.0,50.0,50.0,50.0,582700,0,0
2022-06-22,50.0,50.0,50.0,50.0,616200,0,0
2022-06-23,50.0,50.0,50.0,50.0,183800,0,0
2022-06-24,50.0,50.0,50.0,50.0,263000,0,0
2022-06-27,50.0,50.0,50.0,50.0,260800,0,0
2022-06-28,50.0,50.0,50.0,50.0,527900,0,0
2022-06-29,50.0,50.0,50.0,50.0,365200,0,0
2022-06-30,50.0,50.0,50.0,50.0,154500,0,0
2022-07-01,50.0,50.0,50.0,50.0,249400,0,0
2022-07-04,50.0,50.0,50.0,50.0,127600,0,0
2022-07-05,50.0,50.0,50.0,50.0,319700,0,0
2022-07-06,50.0,50.0,50.0,50.0,41900,0,0
2022-07-07,50.0,50.0,50.0,50.0,67600,0,0
2022-07-08,50.0,50.0,50.0,50.0,279200,0,0
2022-07-11,50.0,50.0,50.0,50.0,119700,0,0
2022-07-12,50.0,50.0,50.0,50.0,289400,0,0
2022-07-13,50.0,50.0,50.0,50.0,250200,0,0
2022-07-14,50.0,50.0,50.0,50.0,54400,0,0
2022-07-15,50.0,50.0,50.0,50.0,107400,0,0
2022-07-18,50.0,50.0,50.0,50.0,217100,0,0
2022-07-19,50.0,50.0,50.0,50.0,661800,0,0
2022-07-20,50.0,50.0,50.0,50.0,465300,0,0
2022-07-21,50.0,50.0,50.0,50.0,367700,0,0
2022-07-22,50.0,50.0,50.0,50.0,1011600,0,0
2022-07-25,50.0,50.0,50.0,50.0,915700,0,0
2022-07-26,50.0,50.0,50.0,50.0,2060800,0,0
2022-07-27,50.0,50.0,50.0,50.0,1956800,0,0
2022-07-28,50.0,50.0,50.0,50.0,398100,0,0
2022-07-29,50.0,50.0,50.0,50.0,834400,0,0
2022-08-01,50.0,50.0,50.0,50.0,411500,0,0
2022-08-02,50.0,50.0,50.0,50.0,787300,0,0
2022-08-03,50.0,50.0,50.0,50.0,109300,0,0
2022-08-04,50.0,50.0,50.0,50.0,196400,0,0
2022-08-05,50.0,50.0,50.0,50.0,583000,0,0
2022-08-08,50.0,50.0,50.0,50.0,461600,0,0
2022-08-09,50.0,50.0,50.0,50.0,117300,0,0
2022-08-10,50.0,50.0,50.0,50.0,336900,0,0
2022-08-11,50.0,50.0,50.0,50.0,233400,0,0
2022-08-12,50.0,50.0,50.0,50.0,372300,0,0
2022-08-15,50.0,50.0,50.0,50.0,927500,0,0
2022-08-16,50.0,50.0,50.0,50.0,104600,0,0
2022-08-18,50.0,50.0,50.0,50.0,528200,0,0
2022-08-19,50.0,50.0,50.0,50.0,119700,0,0
2022-08-22,50.0,50.0,50.0,50.0,130200,0,0
2022-08-23,50.0,50.0,50.0,50.0,875700,0,0
2022-08-24,50.0,50.0,50.0,50.0,157800,0,0
2022-08-25,50.0,50.0,50.0,50.0,235300,0,0
2022-08-26,50.0,61.0,50.0,57.0,411307600,0,0
2022-08-29,57.0,59.0,54.0,54.0,131872400,0,0
2022-08-30,54.0,55.0,51.0,51.0,86751200,0,0
2022-08-31,50.0,55.0,50.0,53.0,86983600,0,0
2022-09-01,54.0,54.0,51.0,52.0,15140300,0,0
2022-09-02,52.0,55.0,51.0,52.0,69508200,0,0
2022-09-05,51.0,53.0,51.0,52.0,12931500,0,0
2022-09-06,52.0,55.0,51.0,52.0,61005600,0,0
2022-09-07,53.0,57.0,52.0,55.0,153707300,0,0
2022-09-08,55.0,57.0,54.0,55.0,31605000,0,0
2022-09-09,55.0,56.0,52.0,54.0,64938800,0,0
2022-09-12,54.0,54.0,53.0,53.0,13237600,0,0
2022-09-13,53.0,54.0,53.0,54.0,12633500,0,0
2022-09-14,53.0,55.0,53.0,54.0,24219500,0,0
2022-09-15,54.0,54.0,53.0,53.0,34341700,0,0
2022-09-16,53.0,54.0,53.0,53.0,16455600,0,0
2022-09-19,54.0,54.0,52.0,54.0,15562500,0,0
2022-09-20,53.0,54.0,52.0,52.0,15113300,0,0
2022-09-21,52.0,53.0,50.0,50.0,70965300,0,0
2022-09-22,51.0,51.0,50.0,50.0,23447100,0,0
2022-09-23,50.0,51.0,50.0,50.0,10447900,0,0
2022-09-26,50.0,51.0,50.0,50.0,14774300,0,0
2022-09-27,50.0,53.0,50.0,52.0,33515500,0,0
2022-09-28,52.0,52.0,51.0,52.0,7592500,0,0
2022-09-29,52.0,52.0,50.0,51.0,12855200,0,0
2022-09-30,51.0,51.0,50.0,51.0,6677000,0,0
2022-10-03,51.0,51.0,50.0,50.0,5477900,0,0
2022-10-04,50.0,51.0,50.0,51.0,22338300,0,0
2022-10-05,50.0,51.0,50.0,50.0,9286700,0,0
2022-10-06,50.0,53.0,50.0,51.0,60844300,0,0
2022-10-07,51.0,51.0,50.0,50.0,5460300,0,0
2022-10-10,50.0,51.0,50.0,50.0,11598300,0,0
2022-10-11,50.0,51.0,50.0,50.0,14235300,0,0
2022-10-12,51.0,51.0,50.0,50.0,13426300,0,0
2022-10-13,50.0,51.0,50.0,51.0,9130300,0,0
2022-10-14,51.0,52.0,50.0,51.0,19532600,0,0
2022-10-17,51.0,52.0,50.0,50.0,13024700,0,0
2022-10-18,50.0,51.0,50.0,50.0,9499200,0,0
2022-10-19,50.0,51.0,50.0,50.0,8549800,0,0
2022-10-20,50.0,51.0,50.0,51.0,5544500,0,0
2022-10-21,50.0,51.0,50.0,50.0,10042400,0,0
2022-10-24,50.0,51.0,50.0,50.0,6504300,0,0
2022-10-25,51.0,51.0,50.0,50.0,8403500,0,0
2022-10-26,50.0,51.0,50.0,50.0,36311100,0,0
2022-10-27,50.0,50.0,50.0,50.0,1895800,0,0
2022-10-28,50.0,50.0,50.0,50.0,986900,0,0
2022-10-31,50.0,50.0,50.0,50.0,1034300,0,0
2022-11-01,50.0,50.0,50.0,50.0,503500,0,0
2022-11-02,50.0,50.0,50.0,50.0,792300,0,0
2022-11-03,50.0,50.0,50.0,50.0,358100,0,0
2022-11-04,50.0,50.0,50.0,50.0,669700,0,0
2022-11-07,50.0,50.0,50.0,50.0,267400,0,0
2022-11-08,50.0,50.0,50.0,50.0,2276400,0,0
2022-11-09,50.0,50.0,50.0,50.0,1140000,0,0
2022-11-10,50.0,50.0,50.0,50.0,151800,0,0
2022-11-11,50.0,50.0,50.0,50.0,63700,0,0
2022-11-14,50.0,50.0,50.0,50.0,1335400,0,0
2022-11-15,50.0,50.0,50.0,50.0,348900,0,0
2022-11-16,50.0,50.0,50.0,50.0,78800,0,0
2022-11-17,50.0,50.0,50.0,50.0,157100,0,0
2022-11-18,50.0,50.0,50.0,50.0,44500,0,0
2022-11-21,50.0,50.0,50.0,50.0,65100,0,0
2022-11-22,50.0,50.0,50.0,50.0,29800,0,0
