Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-10,510.0,510.0,348.0,388.0,239243900,0,0
2019-01-11,388.0,392.0,336.0,338.0,101775600,0,0
2019-01-14,338.0,344.0,318.0,318.0,24679000,0,0
2019-01-15,318.0,318.0,262.0,268.0,51627900,0,0
2019-01-16,270.0,306.0,260.0,282.0,54583700,0,0
2019-01-17,286.0,290.0,274.0,280.0,9871700,0,0
2019-01-18,282.0,288.0,260.0,270.0,12672500,0,0
2019-01-21,270.0,282.0,260.0,260.0,15751600,0,0
2019-01-22,262.0,262.0,238.0,238.0,17627900,0,0
2019-01-23,238.0,256.0,210.0,244.0,28145000,0,0
2019-01-24,248.0,256.0,246.0,250.0,6764200,0,0
2019-01-25,250.0,254.0,246.0,248.0,4960000,0,0
2019-01-28,250.0,250.0,234.0,240.0,4768300,0,0
2019-01-29,240.0,244.0,234.0,234.0,5099800,0,0
2019-01-30,234.0,238.0,228.0,232.0,3432800,0,0
2019-01-31,232.0,254.0,230.0,242.0,12293300,0,0
2019-02-01,244.0,246.0,236.0,238.0,2839600,0,0
2019-02-04,240.0,248.0,238.0,240.0,4593900,0,0
2019-02-05,240.0,240.0,240.0,240.0,0,0,0
2019-02-06,242.0,242.0,238.0,238.0,2750100,0,0
2019-02-07,238.0,266.0,238.0,248.0,23163700,0,0
2019-02-08,250.0,252.0,240.0,244.0,5017800,0,0
2019-02-11,248.0,248.0,240.0,240.0,1862400,0,0
2019-02-12,242.0,244.0,232.0,238.0,3588700,0,0
2019-02-13,238.0,242.0,232.0,234.0,4254500,0,0
2019-02-14,236.0,238.0,220.0,220.0,6029700,0,0
2019-02-15,226.0,230.0,220.0,220.0,3685100,0,0
2019-02-18,222.0,222.0,216.0,220.0,3331600,0,0
2019-02-19,220.0,226.0,216.0,218.0,7348400,0,0
2019-02-20,220.0,220.0,210.0,212.0,4776800,0,0
2019-02-21,214.0,216.0,212.0,214.0,2414300,0,0
2019-02-22,216.0,218.0,214.0,214.0,3345100,0,0
2019-02-25,216.0,216.0,210.0,214.0,3039400,0,0
