Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-15,139.0,139.0,139.0,139.0,501700,0,0
2020-04-16,187.0,187.0,187.0,187.0,2302700,0,0
2020-04-17,252.0,252.0,210.0,252.0,25361600,0,0
2020-04-20,252.0,314.0,240.0,290.0,42383600,0,0
2020-04-21,290.0,300.0,272.0,280.0,4790500,0,0
2020-04-22,280.0,280.0,266.0,272.0,897500,0,0
2020-04-23,272.0,306.0,270.0,300.0,10689400,0,0
2020-04-24,304.0,304.0,286.0,298.0,1718600,0,0
2020-04-27,296.0,308.0,296.0,298.0,33345200,0,0
2020-04-28,298.0,308.0,298.0,302.0,28260400,0,0
2020-04-29,302.0,308.0,300.0,302.0,32341100,0,0
2020-04-30,302.0,308.0,300.0,304.0,30070900,0,0
2020-05-04,302.0,302.0,296.0,300.0,87082300,0,0
2020-05-05,302.0,312.0,302.0,306.0,80695400,0,0
2020-05-06,306.0,318.0,306.0,306.0,78484200,0,0
2020-05-08,306.0,312.0,306.0,310.0,86322700,0,0
2020-05-11,310.0,330.0,310.0,330.0,96766900,0,0
2020-05-12,332.0,344.0,330.0,344.0,107463700,0,0
2020-05-13,344.0,356.0,342.0,356.0,74358300,0,0
2020-05-14,356.0,362.0,350.0,350.0,118143000,0,0
2020-05-15,352.0,354.0,348.0,352.0,110167800,0,0
2020-05-18,354.0,366.0,350.0,366.0,121822100,0,0
2020-05-19,364.0,370.0,364.0,370.0,119262100,0,0
2020-05-20,370.0,376.0,368.0,370.0,119264100,0,0
2020-05-26,370.0,378.0,368.0,378.0,119029700,0,0
2020-05-27,378.0,380.0,374.0,380.0,115326600,0,0
2020-05-28,380.0,382.0,376.0,380.0,107115300,0,0
2020-05-29,380.0,384.0,374.0,384.0,91599400,0,0
2020-06-02,384.0,384.0,378.0,384.0,113971000,0,0
2020-06-03,384.0,390.0,382.0,388.0,112106600,0,0
2020-06-04,388.0,396.0,386.0,394.0,112097800,0,0
2020-06-05,394.0,394.0,388.0,390.0,115786100,0,0
2020-06-08,392.0,400.0,390.0,396.0,110683300,0,0
2020-06-09,398.0,408.0,396.0,408.0,107544200,0,0
2020-06-10,408.0,410.0,400.0,402.0,140074800,0,0
2020-06-11,402.0,404.0,396.0,400.0,107395100,0,0
2020-06-12,400.0,400.0,390.0,396.0,109958300,0,0
2020-06-15,396.0,408.0,396.0,408.0,108722500,0,0
