Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-11-15,600.0,600.0,412.5,412.5,0,0,0.0
2001-11-16,600.0,600.0,312.5,312.5,0,0,0.0
2001-11-19,400.0,487.5,400.0,450.0,12000,0,0.0
2001-11-20,412.5,425.0,412.5,425.0,8000,0,0.0
2001-11-21,425.0,425.0,425.0,425.0,0,0,0.0
2001-11-22,425.0,425.0,425.0,425.0,0,0,0.0
2001-11-23,425.0,425.0,425.0,425.0,0,0,0.0
2001-11-26,425.0,425.0,425.0,425.0,0,0,0.0
2001-11-27,425.0,425.0,425.0,425.0,0,0,0.0
2001-11-28,425.0,425.0,425.0,425.0,0,0,0.0
2001-11-29,425.0,425.0,425.0,425.0,0,0,0.0
2001-11-30,425.0,425.0,425.0,425.0,0,0,0.0
2001-12-03,425.0,425.0,425.0,425.0,0,0,0.0
2001-12-04,425.0,425.0,425.0,425.0,0,0,0.0
2001-12-05,425.0,425.0,425.0,425.0,0,0,0.0
2001-12-06,425.0,425.0,425.0,425.0,0,0,0.0
2001-12-07,312.5,312.5,312.5,312.5,2000,0,0.0
2001-12-10,350.0,400.0,325.0,337.5,14000,0,0.0
2001-12-11,350.0,400.0,325.0,400.0,46000,0,0.0
2001-12-12,425.0,475.0,400.0,462.5,65000,0,0.0
2001-12-13,575.0,575.0,387.5,525.0,54000,0,0.0
2001-12-14,525.0,525.0,525.0,525.0,0,0,0.0
2001-12-17,525.0,525.0,525.0,525.0,0,0,0.0
2001-12-18,525.0,525.0,525.0,525.0,0,0,0.0
2001-12-19,525.0,575.0,525.0,575.0,11000,0,0.0
2001-12-20,575.0,600.0,575.0,600.0,19000,0,0.0
2001-12-21,600.0,700.0,600.0,700.0,25000,0,0.0
2001-12-24,700.0,700.0,700.0,700.0,0,0,0.0
2001-12-25,700.0,700.0,700.0,700.0,0,0,0.0
2001-12-26,700.0,700.0,700.0,700.0,0,0,0.0
2001-12-27,687.5,712.5,687.5,712.5,10000,0,0.0
2001-12-28,687.5,750.0,687.5,750.0,46000,0,0.0
2001-12-31,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-01,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-02,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-03,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-04,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-07,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-08,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-09,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-10,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-11,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-14,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-15,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-16,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-17,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-18,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-21,725.0,750.0,725.0,750.0,4006000,0,0.0
2002-01-22,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-23,737.5,750.0,737.5,750.0,2011000,0,0.0
2002-01-24,737.5,750.0,737.5,750.0,4006000,0,0.0
2002-01-25,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-28,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-29,750.0,750.0,750.0,750.0,0,0,0.0
2002-01-30,750.0,750.0,750.0,750.0,10000000,0,0.0
2002-01-31,750.0,750.0,750.0,750.0,0,0,0.0
2002-02-01,750.0,750.0,750.0,750.0,0,0,0.0
2002-02-04,750.0,750.0,750.0,750.0,0,0,0.0
2002-02-05,750.0,750.0,750.0,750.0,0,0,0.0
2002-02-06,737.5,750.0,737.5,750.0,10000000,0,0.0
2002-02-07,737.5,750.0,737.5,750.0,4046000,0,0.0
2002-02-08,737.5,750.0,737.5,750.0,6020000,0,0.0
2002-02-11,750.0,750.0,750.0,750.0,0,0,0.0
2002-02-12,750.0,750.0,750.0,750.0,0,0,0.0
2002-02-13,737.5,750.0,737.5,750.0,8312000,0,0.0
2002-02-14,750.0,750.0,750.0,750.0,8000000,0,0.0
2002-02-15,750.0,750.0,750.0,750.0,0,0,0.0
2002-02-18,750.0,750.0,750.0,750.0,0,0,0.0
2002-02-19,737.5,750.0,737.5,750.0,8200000,0,0.0
2002-02-20,737.5,737.5,525.0,525.0,8303000,0,0.0
2002-02-21,600.0,675.0,600.0,675.0,12000,0,0.0
2002-02-22,675.0,675.0,675.0,675.0,0,0,0.0
2002-02-25,700.0,725.0,700.0,725.0,8200000,0,0.0
2002-02-26,700.0,737.5,700.0,737.5,7065000,0,0.0
2002-02-27,712.5,725.0,712.5,712.5,8018000,0,0.0
2002-02-28,712.5,725.0,712.5,725.0,3000,0,0.0
2002-03-01,725.0,725.0,725.0,725.0,0,0,0.0
2002-03-04,700.0,712.5,700.0,700.0,8021000,0,0.0
2002-03-05,700.0,700.0,700.0,700.0,0,0,0.0
2002-03-06,687.5,700.0,650.0,700.0,8010000,0,0.0
2002-03-07,650.0,650.0,650.0,650.0,1000,0,0.0
2002-03-08,650.0,662.5,650.0,662.5,4016000,0,0.0
2002-03-11,650.0,662.5,650.0,662.5,8001000,0,0.0
2002-03-12,650.0,662.5,650.0,662.5,8001000,0,0.0
