Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-13,35.0,35.0,35.0,35.0,2000,0,0
2001-12-14,35.0,35.0,35.0,35.0,0,0,0
2001-12-17,35.0,35.0,35.0,35.0,0,0,0
2001-12-18,35.0,35.0,35.0,35.0,0,0,0
2001-12-19,30.0,30.0,30.0,30.0,100000,0,0
2001-12-20,30.0,30.0,30.0,30.0,333000,0,0
2001-12-21,30.0,30.0,30.0,30.0,0,0,0
2001-12-24,30.0,30.0,30.0,30.0,0,0,0
2001-12-25,30.0,30.0,30.0,30.0,0,0,0
2001-12-26,30.0,30.0,30.0,30.0,6000,0,0
2001-12-27,30.0,30.0,30.0,30.0,158000,0,0
2001-12-28,30.0,30.0,30.0,30.0,123500,0,0
2001-12-31,30.0,30.0,30.0,30.0,0,0,0
2002-01-01,30.0,30.0,30.0,30.0,0,0,0
2002-01-02,30.0,30.0,30.0,30.0,0,0,0
2002-01-03,30.0,30.0,30.0,30.0,0,0,0
2002-01-04,30.0,30.0,30.0,30.0,113500,0,0
2002-01-07,30.0,30.0,30.0,30.0,150000,0,0
2002-01-08,30.0,30.0,30.0,30.0,50000,0,0
2002-01-09,30.0,30.0,30.0,30.0,0,0,0
2002-01-10,30.0,30.0,30.0,30.0,140000,0,0
2002-01-11,30.0,30.0,30.0,30.0,175000,0,0
2002-01-14,30.0,30.0,30.0,30.0,0,0,0
2002-01-15,30.0,30.0,30.0,30.0,761500,0,0
2002-01-16,30.0,30.0,30.0,30.0,125000,0,0
2002-01-17,30.0,30.0,30.0,30.0,816500,0,0
2002-01-18,30.0,30.0,30.0,30.0,25000,0,0
2002-01-21,30.0,30.0,25.0,25.0,232500,0,0
2002-01-22,30.0,30.0,25.0,25.0,58000,0,0
2002-01-23,25.0,25.0,25.0,25.0,0,0,0
2002-01-24,30.0,30.0,30.0,30.0,52500,0,0
2002-01-25,25.0,30.0,25.0,30.0,71000,0,0
2002-01-28,30.0,30.0,25.0,25.0,430000,0,0
2002-01-29,25.0,25.0,25.0,25.0,105000,0,0
2002-01-30,30.0,35.0,30.0,35.0,4171500,0,0
2002-01-31,35.0,35.0,35.0,35.0,0,0,0
2002-02-01,30.0,30.0,30.0,30.0,270000,0,0
2002-02-04,30.0,30.0,30.0,30.0,1106000,0,0
2002-02-05,30.0,30.0,30.0,30.0,1460000,0,0
2002-02-06,30.0,30.0,30.0,30.0,472500,0,0
2002-02-07,30.0,30.0,30.0,30.0,0,0,0
2002-02-08,30.0,30.0,30.0,30.0,125000,0,0
2002-02-11,30.0,30.0,30.0,30.0,587000,0,0
2002-02-12,30.0,30.0,30.0,30.0,0,0,0
2002-02-13,25.0,25.0,25.0,25.0,27500,0,0
2002-02-14,30.0,35.0,30.0,35.0,360500,0,0
2002-02-15,30.0,35.0,30.0,30.0,763500,0,0
2002-02-18,30.0,30.0,30.0,30.0,738000,0,0
2002-02-19,25.0,35.0,25.0,35.0,20500,0,0
2002-02-20,25.0,25.0,25.0,25.0,25000,0,0
2002-02-21,30.0,30.0,30.0,30.0,500,0,0
2002-02-22,30.0,30.0,30.0,30.0,0,0,0
2002-02-25,30.0,35.0,30.0,35.0,25000,0,0
2002-02-26,25.0,25.0,25.0,25.0,2500,0,0
2002-02-27,25.0,25.0,25.0,25.0,0,0,0
2002-02-28,30.0,30.0,30.0,30.0,56000,0,0
2002-03-01,25.0,25.0,25.0,25.0,500,0,0
2002-03-04,30.0,30.0,25.0,30.0,201500,0,0
2002-03-05,25.0,30.0,25.0,30.0,118500,0,0
2002-03-06,25.0,25.0,25.0,25.0,25000,0,0
2002-03-07,25.0,30.0,25.0,30.0,1061500,0,0
2002-03-08,30.0,30.0,30.0,30.0,360000,0,0
2002-03-11,35.0,40.0,35.0,35.0,3604000,0,0
2002-03-12,35.0,40.0,35.0,35.0,3205000,0,0
2002-03-13,35.0,35.0,35.0,35.0,500,0,0
2002-03-14,35.0,35.0,35.0,35.0,404000,0,0
2002-03-15,35.0,35.0,35.0,35.0,0,0,0
2002-03-18,30.0,35.0,30.0,35.0,652500,0,0
2002-03-19,35.0,35.0,35.0,35.0,605500,0,0
2002-03-20,35.0,40.0,35.0,40.0,124500,0,0
2002-03-21,40.0,40.0,35.0,35.0,200000,0,0
2002-03-22,35.0,35.0,35.0,35.0,1539500,0,0
2002-03-25,35.0,35.0,35.0,35.0,405000,0,0
2002-03-26,35.0,35.0,35.0,35.0,250000,0,0
2002-03-27,30.0,30.0,30.0,30.0,17000,0,0
2002-03-28,35.0,35.0,30.0,30.0,55000,0,0
2002-03-29,30.0,30.0,30.0,30.0,0,0,0
2002-04-01,30.0,30.0,30.0,30.0,12500,0,0
2002-04-02,30.0,30.0,30.0,30.0,45000,0,0
2002-04-03,30.0,30.0,30.0,30.0,5000,0,0
2002-04-04,30.0,30.0,30.0,30.0,97500,0,0
2002-04-05,35.0,35.0,35.0,35.0,5930000,0,0
2002-04-08,35.0,40.0,35.0,35.0,416500,0,0
2002-04-09,35.0,35.0,30.0,30.0,282000,0,0
2002-04-10,35.0,35.0,35.0,35.0,135500,0,0
2002-04-11,35.0,35.0,35.0,35.0,1654500,0,0
2002-04-12,35.0,35.0,35.0,35.0,215500,0,0
