Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-11-21,68.36624908447266,83.01615905761719,68.36624908447266,83.01615905761719,778161,0,0
2002-11-22,97.66606903076172,107.43267822265625,97.66606903076172,107.43267822265625,51194,0,0
2002-11-25,97.66606903076172,122.08258819580078,97.66606903076172,122.08258819580078,9599034,0,0
2002-11-26,122.08258819580078,126.96588897705078,112.31597900390625,126.96588897705078,5393377,0,0
2002-11-27,126.96588897705078,151.38241577148438,126.96588897705078,146.4990997314453,15995831,0,0
2002-11-28,151.38241577148438,161.14901733398438,151.38241577148438,156.26571655273438,11308942,0,0
2002-11-29,156.26571655273438,170.91561889648438,156.26571655273438,166.03231811523438,15954875,0,0
2002-12-02,166.03231811523438,166.03231811523438,166.03231811523438,166.03231811523438,0,0,0
2002-12-03,166.03231811523438,166.03231811523438,166.03231811523438,166.03231811523438,0,0,0
2002-12-04,166.03231811523438,166.03231811523438,166.03231811523438,166.03231811523438,33276,0,0
2002-12-05,166.03231811523438,166.03231811523438,166.03231811523438,166.03231811523438,0,0,0
2002-12-06,166.03231811523438,166.03231811523438,166.03231811523438,166.03231811523438,0,0,0
2002-12-09,166.03231811523438,166.03231811523438,166.03231811523438,166.03231811523438,0,0,0
2002-12-10,166.03231811523438,166.03231811523438,166.03231811523438,166.03231811523438,0,0,0
2002-12-11,166.03231811523438,166.03231811523438,166.03231811523438,166.03231811523438,12798,0,0
2002-12-12,166.03231811523438,166.03231811523438,141.6157989501953,141.6157989501953,3174080,0,0
2002-12-13,141.6157989501953,141.6157989501953,141.6157989501953,141.6157989501953,76792,0,0
2002-12-16,141.6157989501953,141.6157989501953,122.08258819580078,122.08258819580078,18885780,0,0
2002-12-17,122.08258819580078,136.7324981689453,122.08258819580078,136.7324981689453,19172471,0,0
2002-12-18,136.7324981689453,146.4990997314453,136.7324981689453,141.6157989501953,17539356,0,0
2002-12-19,141.6157989501953,156.26571655273438,141.6157989501953,156.26571655273438,19771451,0,0
2002-12-20,156.26571655273438,161.14901733398438,146.4990997314453,146.4990997314453,35004479,0,0
2002-12-23,146.4990997314453,151.38241577148438,146.4990997314453,151.38241577148438,26774907,0,0
2002-12-24,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2002-12-25,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2002-12-26,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2002-12-27,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2002-12-30,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2002-12-31,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-01-01,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-01-02,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-01-03,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-01-06,126.96588897705078,136.7324981689453,126.96588897705078,136.7324981689453,66553,0,0
2003-01-07,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-01-08,146.4990997314453,146.4990997314453,146.4990997314453,146.4990997314453,28157,0,0
2003-01-09,141.6157989501953,141.6157989501953,136.7324981689453,136.7324981689453,13126359,0,0
2003-01-10,136.7324981689453,141.6157989501953,136.7324981689453,136.7324981689453,17994990,0,0
2003-01-13,126.96588897705078,126.96588897705078,126.96588897705078,126.96588897705078,99829,0,0
2003-01-14,126.96588897705078,126.96588897705078,126.96588897705078,126.96588897705078,0,0,0
2003-01-15,122.08258819580078,126.96588897705078,122.08258819580078,122.08258819580078,18601649,0,0
2003-01-16,122.08258819580078,122.08258819580078,122.08258819580078,122.08258819580078,179181,0,0
2003-01-17,122.08258819580078,122.08258819580078,122.08258819580078,122.08258819580078,0,0,0
2003-01-20,122.08258819580078,131.8491973876953,122.08258819580078,122.08258819580078,13477044,0,0
2003-01-21,122.08258819580078,141.6157989501953,122.08258819580078,136.7324981689453,55528495,0,0
2003-01-22,141.6157989501953,146.4990997314453,141.6157989501953,146.4990997314453,6168979,0,0
2003-01-23,141.6157989501953,141.6157989501953,131.8491973876953,131.8491973876953,12133179,0,0
2003-01-24,126.96588897705078,156.26571655273438,126.96588897705078,156.26571655273438,13195472,0,0
2003-01-27,141.6157989501953,141.6157989501953,136.7324981689453,136.7324981689453,3616916,0,0
2003-01-28,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-01-29,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,25597,0,0
2003-01-30,131.8491973876953,136.7324981689453,131.8491973876953,136.7324981689453,43515,0,0
2003-01-31,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-02-03,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-02-04,136.7324981689453,141.6157989501953,136.7324981689453,141.6157989501953,5029894,0,0
2003-02-05,136.7324981689453,141.6157989501953,136.7324981689453,136.7324981689453,4389958,0,0
2003-02-06,141.6157989501953,156.26571655273438,136.7324981689453,156.26571655273438,6878028,0,0
2003-02-07,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,25597,0,0
2003-02-10,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-11,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-12,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-13,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-14,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-17,131.8491973876953,151.38241577148438,131.8491973876953,151.38241577148438,30716,0,0
2003-02-18,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-19,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-20,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-21,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-24,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-25,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-26,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-27,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-02-28,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-03-03,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-03-04,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-03-05,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-03-06,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-03-07,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-03-10,151.38241577148438,151.38241577148438,151.38241577148438,151.38241577148438,0,0,0
2003-03-11,131.8491973876953,141.6157989501953,131.8491973876953,141.6157989501953,30716,0,0
2003-03-12,117.19928741455078,136.7324981689453,117.19928741455078,136.7324981689453,7679,0,0
2003-03-13,117.19928741455078,136.7324981689453,117.19928741455078,136.7324981689453,5119,0,0
2003-03-14,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-03-17,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-03-18,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-03-19,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-03-20,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-03-21,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-03-24,136.7324981689453,136.7324981689453,136.7324981689453,136.7324981689453,0,0,0
2003-03-25,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,2559,0,0
2003-03-26,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-03-27,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-03-28,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-03-31,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-01,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-02,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-03,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-04,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-07,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-08,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-09,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-10,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-11,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-14,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,0,0,0
2003-04-15,131.8491973876953,131.8491973876953,131.8491973876953,131.8491973876953,2559,0,0
