Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-20,80.0,85.0,80.0,80.0,27500,0,0
2002-02-21,80.0,80.0,80.0,80.0,45000,0,0
2002-02-22,80.0,80.0,80.0,80.0,0,0,0
2002-02-25,80.0,80.0,80.0,80.0,0,0,0
2002-02-26,80.0,80.0,80.0,80.0,0,0,0
2002-02-27,80.0,80.0,80.0,80.0,0,0,0
2002-02-28,80.0,80.0,80.0,80.0,0,0,0
2002-03-01,80.0,80.0,80.0,80.0,2500,0,0
2002-03-04,80.0,80.0,80.0,80.0,20000,0,0
2002-03-05,80.0,80.0,80.0,80.0,0,0,0
2002-03-06,80.0,80.0,80.0,80.0,0,0,0
2002-03-07,85.0,90.0,80.0,90.0,206500,0,0
2002-03-08,85.0,85.0,85.0,85.0,73500,0,0
2002-03-11,85.0,90.0,85.0,90.0,169000,0,0
2002-03-12,90.0,100.0,90.0,95.0,875000,0,0
2002-03-13,90.0,90.0,90.0,90.0,75500,0,0
2002-03-14,95.0,95.0,90.0,90.0,361000,0,0
2002-03-15,90.0,90.0,90.0,90.0,0,0,0
2002-03-18,90.0,90.0,85.0,85.0,70000,0,0
2002-03-19,90.0,95.0,90.0,95.0,302500,0,0
2002-03-20,100.0,105.0,100.0,100.0,321500,0,0
2002-03-21,100.0,100.0,100.0,100.0,50000,0,0
2002-03-22,95.0,95.0,95.0,95.0,5000,0,0
2002-03-25,95.0,95.0,95.0,95.0,30000,0,0
2002-03-26,95.0,95.0,95.0,95.0,30000,0,0
2002-03-27,95.0,95.0,95.0,95.0,0,0,0
2002-03-28,95.0,95.0,95.0,95.0,10000,0,0
2002-03-29,95.0,95.0,95.0,95.0,0,0,0
2002-04-01,90.0,90.0,90.0,90.0,5000,0,0
2002-04-02,95.0,95.0,90.0,90.0,28500,0,0
2002-04-03,90.0,90.0,90.0,90.0,15000,0,0
2002-04-04,90.0,90.0,90.0,90.0,0,0,0
2002-04-05,95.0,95.0,90.0,95.0,148500,0,0
2002-04-08,95.0,95.0,95.0,95.0,0,0,0
2002-04-09,95.0,95.0,90.0,90.0,50000,0,0
2002-04-10,95.0,95.0,95.0,95.0,110000,0,0
2002-04-11,95.0,100.0,95.0,100.0,108500,0,0
2002-04-12,105.0,105.0,100.0,100.0,195500,0,0
2002-04-15,100.0,110.0,100.0,105.0,290000,0,0
2002-04-16,105.0,105.0,105.0,105.0,165000,0,0
2002-04-17,105.0,110.0,105.0,110.0,231000,0,0
2002-04-18,105.0,105.0,100.0,100.0,277500,0,0
2002-04-19,100.0,100.0,100.0,100.0,0,0,0
2002-04-22,100.0,100.0,100.0,100.0,80000,0,0
2002-04-23,100.0,100.0,100.0,100.0,45000,0,0
2002-04-24,100.0,100.0,95.0,100.0,50000,0,0
2002-04-25,100.0,100.0,100.0,100.0,105000,0,0
2002-04-26,100.0,100.0,100.0,100.0,0,0,0
2002-04-29,100.0,100.0,100.0,100.0,0,0,0
2002-04-30,100.0,100.0,100.0,100.0,10000,0,0
2002-05-01,100.0,100.0,100.0,100.0,0,0,0
2002-05-02,95.0,105.0,95.0,105.0,5500,0,0
2002-05-03,105.0,105.0,105.0,105.0,0,0,0
2002-05-06,100.0,100.0,100.0,100.0,500,0,0
2002-05-07,95.0,100.0,95.0,100.0,5500,0,0
2002-05-08,95.0,95.0,95.0,95.0,30000,0,0
2002-05-09,95.0,95.0,95.0,95.0,0,0,0
