Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-09,144.0,145.0,144.0,145.0,65266100,0,0
2023-01-10,160.0,195.0,140.0,195.0,328134800,0,0
2023-01-11,202.0,242.0,182.0,182.0,448969700,0,0
2023-01-12,170.0,174.0,170.0,170.0,17100000,0,0
2023-01-13,159.0,171.0,159.0,159.0,113064400,0,0
2023-01-16,148.0,148.0,148.0,148.0,11269500,0,0
2023-01-17,138.0,164.0,138.0,155.0,390748800,0,0
2023-01-18,158.0,166.0,145.0,145.0,103760600,0,0
2023-01-19,135.0,135.0,135.0,135.0,12849400,0,0
2023-01-20,126.0,143.0,126.0,136.0,259785200,0,0
2023-01-24,139.0,141.0,129.0,130.0,58423600,0,0
2023-01-25,130.0,130.0,121.0,121.0,51820000,0,0
2023-01-26,113.0,116.0,113.0,113.0,16355900,0,0
2023-01-27,106.0,113.0,106.0,106.0,124137200,0,0
2023-01-30,99.0,104.0,99.0,99.0,91496200,0,0
2023-01-31,93.0,107.0,93.0,96.0,85620700,0,0
2023-02-01,96.0,102.0,96.0,101.0,49374700,0,0
2023-02-02,102.0,104.0,96.0,101.0,38845700,0,0
2023-02-03,94.0,102.0,94.0,98.0,30058300,0,0
2023-02-06,93.0,99.0,93.0,95.0,18167900,0,0
2023-02-07,89.0,101.0,89.0,96.0,115008200,0,0
2023-02-08,96.0,100.0,90.0,90.0,46621000,0,0
2023-02-09,84.0,90.0,84.0,84.0,14155700,0,0
2023-02-10,79.0,98.0,79.0,88.0,158021500,0,0
2023-02-13,89.0,92.0,82.0,85.0,90551700,0,0
2023-02-14,80.0,85.0,80.0,80.0,56752100,0,0
2023-02-15,75.0,80.0,75.0,75.0,82179700,0,0
2023-02-16,70.0,81.0,70.0,79.0,84168500,0,0
2023-02-17,79.0,81.0,74.0,74.0,78103900,0,0
2023-02-20,75.0,76.0,69.0,69.0,58230500,0,0
2023-02-21,70.0,79.0,69.0,73.0,172597700,0,0
2023-02-22,74.0,74.0,68.0,68.0,177540600,0,0
2023-02-23,64.0,66.0,64.0,64.0,13571500,0,0
2023-02-24,64.0,64.0,60.0,61.0,105116800,0,0
2023-02-27,61.0,61.0,61.0,61.0,0,0,0
2023-02-28,57.0,66.0,57.0,60.0,79758700,0,0
2023-03-01,62.0,62.0,56.0,56.0,52652000,0,0
2023-03-02,56.0,61.0,55.0,57.0,73706600,0,0
2023-03-03,57.0,57.0,54.0,55.0,35520100,0,0
2023-03-06,55.0,56.0,52.0,54.0,49284400,0,0
2023-03-07,54.0,57.0,52.0,55.0,68518000,0,0
2023-03-08,53.0,54.0,52.0,53.0,37655500,0,0
2023-03-09,50.0,53.0,50.0,52.0,81882100,0,0
2023-03-10,52.0,52.0,51.0,51.0,38474000,0,0
2023-03-13,51.0,52.0,50.0,50.0,19052100,0,0
2023-03-14,50.0,51.0,50.0,50.0,19698700,0,0
2023-03-15,50.0,50.0,50.0,50.0,31597500,0,0
2023-03-16,50.0,50.0,50.0,50.0,21371300,0,0
2023-03-17,50.0,50.0,50.0,50.0,37374500,0,0
2023-03-20,50.0,50.0,50.0,50.0,44384000,0,0
2023-03-21,50.0,51.0,50.0,50.0,233798600,0,0
2023-03-24,50.0,53.0,50.0,51.0,310329400,0,0
