Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-07,135.0,135.0,135.0,135.0,10373300,0,0
2022-09-08,182.0,182.0,182.0,182.0,19179700,0,0
2022-09-09,244.0,244.0,244.0,244.0,42632500,0,0
2022-09-12,300.0,304.0,286.0,304.0,104059800,0,0
2022-09-13,370.0,380.0,370.0,380.0,61378100,0,0
2022-09-14,420.0,474.0,420.0,470.0,365036000,0,0
2022-09-15,468.0,570.0,438.0,438.0,352776800,0,0
2022-09-16,430.0,438.0,408.0,408.0,12529600,0,0
2022-09-19,390.0,460.0,380.0,392.0,209153000,0,0
2022-09-20,392.0,424.0,392.0,412.0,84106500,0,0
2022-09-21,416.0,515.0,416.0,515.0,259884100,0,0
2022-09-22,600.0,635.0,520.0,560.0,484752600,0,0
2022-09-23,560.0,565.0,525.0,525.0,106399300,0,0
2022-09-26,510.0,535.0,490.0,490.0,123471700,0,0
2022-09-27,490.0,545.0,462.0,492.0,146546800,0,0
2022-09-28,494.0,505.0,458.0,458.0,114908400,0,0
2022-09-29,458.0,470.0,426.0,426.0,57748600,0,0
2022-09-30,426.0,448.0,398.0,440.0,109008500,0,0
2022-10-03,424.0,448.0,410.0,410.0,99110000,0,0
2022-10-04,410.0,412.0,382.0,384.0,148823900,0,0
2022-10-05,384.0,474.0,360.0,456.0,437463000,0,0
2022-10-06,460.0,482.0,444.0,454.0,253193400,0,0
2022-10-07,460.0,478.0,452.0,468.0,127130700,0,0
2022-10-10,470.0,496.0,436.0,436.0,185802800,0,0
2022-10-11,436.0,440.0,406.0,406.0,90478600,0,0
2022-10-12,388.0,410.0,378.0,378.0,218794800,0,0
2022-10-13,376.0,380.0,352.0,352.0,117028000,0,0
2022-10-14,352.0,362.0,328.0,328.0,109465300,0,0
2022-10-17,326.0,328.0,306.0,306.0,25686900,0,0
2022-10-18,300.0,310.0,286.0,286.0,99009500,0,0
2022-10-19,280.0,286.0,266.0,266.0,25060100,0,0
2022-10-20,248.0,312.0,248.0,294.0,304341800,0,0
2022-10-21,296.0,302.0,276.0,278.0,162447800,0,0
2022-10-24,276.0,286.0,260.0,260.0,74660900,0,0
2022-10-25,260.0,260.0,242.0,242.0,65099300,0,0
2022-10-26,228.0,254.0,226.0,252.0,140197900,0,0
2022-10-27,272.0,272.0,242.0,244.0,30062100,0,0
2022-10-28,242.0,250.0,232.0,234.0,23218600,0,0
2022-10-31,234.0,248.0,230.0,236.0,28889200,0,0
2022-11-01,236.0,242.0,224.0,226.0,29649500,0,0
2022-11-02,228.0,248.0,226.0,230.0,53570100,0,0
2022-11-03,230.0,234.0,226.0,230.0,14968700,0,0
2022-11-04,216.0,232.0,216.0,224.0,11994200,0,0
2022-11-07,224.0,230.0,216.0,218.0,33760300,0,0
2022-11-08,218.0,220.0,206.0,212.0,33216900,0,0
2022-11-09,199.0,212.0,199.0,204.0,20190400,0,0
2022-11-10,202.0,222.0,192.0,198.0,58209500,0,0
2022-11-11,200.0,206.0,198.0,200.0,12589900,0,0
2022-11-14,200.0,210.0,200.0,204.0,12677000,0,0
2022-11-15,202.0,234.0,202.0,222.0,108278400,0,0
2022-11-16,224.0,234.0,216.0,216.0,29593200,0,0
2022-11-17,220.0,220.0,204.0,210.0,16183800,0,0
2022-11-18,210.0,212.0,204.0,208.0,7597000,0,0
2022-11-21,212.0,212.0,204.0,206.0,6225000,0,0
2022-11-22,210.0,216.0,206.0,212.0,16477100,0,0
2022-11-23,212.0,216.0,202.0,206.0,12094400,0,0
2022-11-24,206.0,214.0,204.0,206.0,8110700,0,0
2022-11-25,208.0,208.0,202.0,204.0,6337200,0,0
2022-11-28,204.0,208.0,199.0,200.0,9668800,0,0
2022-11-29,200.0,204.0,196.0,199.0,8445800,0,0
2022-11-30,200.0,202.0,192.0,193.0,12908500,0,0
2022-12-01,194.0,197.0,192.0,194.0,8061500,0,0
2022-12-02,195.0,198.0,185.0,185.0,13510500,0,0
2022-12-05,185.0,187.0,173.0,173.0,21124000,0,0
2022-12-06,169.0,171.0,161.0,167.0,20976900,0,0
2022-12-07,161.0,200.0,156.0,156.0,171084400,0,0
2022-12-08,155.0,155.0,146.0,147.0,33253600,0,0
2022-12-09,142.0,164.0,140.0,157.0,56957600,0,0
2022-12-12,158.0,168.0,158.0,166.0,39886600,0,0
2022-12-13,166.0,168.0,158.0,161.0,15827800,0,0
2022-12-14,163.0,168.0,158.0,159.0,13216000,0,0
2022-12-15,159.0,162.0,153.0,159.0,8381400,0,0
2022-12-16,158.0,160.0,153.0,157.0,4721200,0,0
2022-12-19,154.0,167.0,153.0,165.0,20481400,0,0
2022-12-20,165.0,172.0,161.0,161.0,26085100,0,0
2022-12-21,156.0,162.0,155.0,156.0,8876500,0,0
2022-12-22,156.0,160.0,155.0,155.0,7579700,0,0
2022-12-23,160.0,160.0,153.0,154.0,5716100,0,0
2022-12-26,154.0,157.0,149.0,150.0,5039400,0,0
2022-12-27,146.0,153.0,146.0,149.0,5947500,0,0
2022-12-28,149.0,151.0,146.0,147.0,3717600,0,0
2022-12-29,147.0,149.0,146.0,149.0,3781700,0,0
2022-12-30,149.0,150.0,146.0,146.0,4288100,0,0
2023-01-02,145.0,148.0,140.0,143.0,9334600,0,0
2023-01-03,135.0,147.0,135.0,142.0,5176700,0,0
2023-01-04,143.0,146.0,135.0,135.0,7434900,0,0
2023-01-05,135.0,138.0,126.0,126.0,18970300,0,0
2023-01-06,118.0,126.0,118.0,120.0,11675200,0,0
2023-01-09,121.0,123.0,115.0,116.0,5484800,0,0
2023-01-10,116.0,125.0,109.0,120.0,21646500,0,0
2023-01-11,120.0,130.0,120.0,122.0,18459300,0,0
2023-01-12,123.0,124.0,119.0,119.0,6102600,0,0
2023-01-13,119.0,123.0,117.0,117.0,4386100,0,0
2023-01-16,119.0,120.0,116.0,119.0,5118200,0,0
2023-01-17,119.0,121.0,116.0,118.0,6094800,0,0
2023-01-18,120.0,124.0,116.0,117.0,13246700,0,0
2023-01-19,118.0,119.0,116.0,117.0,3345300,0,0
2023-01-20,116.0,131.0,116.0,126.0,47670900,0,0
2023-01-24,126.0,128.0,118.0,119.0,16134600,0,0
2023-01-25,119.0,120.0,116.0,118.0,7691100,0,0
2023-01-26,120.0,120.0,115.0,117.0,8160200,0,0
2023-01-27,117.0,126.0,116.0,118.0,19717100,0,0
2023-01-30,118.0,126.0,116.0,118.0,27572100,0,0
2023-01-31,118.0,120.0,116.0,117.0,7099300,0,0
2023-02-01,115.0,118.0,115.0,118.0,5184200,0,0
2023-02-02,118.0,119.0,113.0,115.0,15131900,0,0
2023-02-03,115.0,119.0,112.0,116.0,14068800,0,0
2023-02-06,117.0,123.0,115.0,121.0,37968500,0,0
2023-02-07,122.0,139.0,121.0,132.0,124311000,0,0
2023-02-08,133.0,134.0,126.0,129.0,25157600,0,0
2023-02-09,129.0,130.0,124.0,125.0,17740500,0,0
2023-02-10,126.0,126.0,121.0,124.0,13515500,0,0
2023-02-13,125.0,130.0,125.0,128.0,17258100,0,0
2023-02-14,128.0,131.0,125.0,127.0,12895600,0,0
2023-02-15,127.0,139.0,127.0,129.0,135644300,0,0
2023-02-16,129.0,130.0,126.0,127.0,19010700,0,0
2023-02-17,128.0,129.0,126.0,126.0,7320900,0,0
2023-02-20,126.0,138.0,126.0,135.0,70604700,0,0
2023-02-21,136.0,147.0,135.0,142.0,100029300,0,0
2023-02-22,146.0,147.0,139.0,143.0,50947400,0,0
2023-02-23,145.0,153.0,135.0,139.0,69276500,0,0
2023-02-24,139.0,143.0,136.0,137.0,13455800,0,0
2023-02-27,137.0,140.0,133.0,137.0,10595800,0,0
2023-02-28,137.0,142.0,134.0,137.0,26619800,0,0
2023-03-01,137.0,139.0,134.0,134.0,8819000,0,0
2023-03-02,137.0,137.0,130.0,137.0,14573900,0,0
2023-03-03,139.0,143.0,135.0,137.0,32489800,0,0
2023-03-06,137.0,139.0,135.0,136.0,8085900,0,0
2023-03-07,136.0,139.0,133.0,135.0,6341300,0,0
2023-03-08,138.0,138.0,126.0,126.0,17516700,0,0
2023-03-09,126.0,126.0,119.0,120.0,15246400,0,0
2023-03-10,120.0,124.0,117.0,120.0,7839100,0,0
2023-03-13,121.0,124.0,117.0,120.0,5476400,0,0
2023-03-14,120.0,120.0,112.0,113.0,7058200,0,0
2023-03-15,113.0,114.0,107.0,107.0,10791600,0,0
2023-03-16,101.0,107.0,100.0,100.0,13897600,0,0
2023-03-17,93.0,101.0,93.0,99.0,11111100,0,0
2023-03-20,103.0,103.0,95.0,96.0,6275200,0,0
2023-03-21,98.0,129.0,95.0,129.0,146588900,0,0
2023-03-24,142.0,157.0,129.0,136.0,514917900,0,0
