Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-11-28,165.0,185.0,165.0,185.0,231237500,0,0
2006-11-29,210.0,220.0,195.0,210.0,293102000,0,0
2006-11-30,215.0,220.0,205.0,215.0,182113000,0,0
2006-12-01,220.0,220.0,210.0,220.0,119643000,0,0
2006-12-04,220.0,225.0,220.0,220.0,8429500,0,0
2006-12-05,225.0,230.0,215.0,225.0,211351000,0,0
2006-12-06,220.0,230.0,215.0,220.0,75774500,0,0
2006-12-07,220.0,220.0,210.0,220.0,30207000,0,0
2006-12-08,210.0,220.0,205.0,210.0,49827000,0,0
2006-12-11,205.0,215.0,200.0,205.0,13913500,0,0
2006-12-12,210.0,210.0,195.0,210.0,53081500,0,0
2006-12-13,200.0,210.0,200.0,200.0,10014500,0,0
2006-12-14,205.0,220.0,205.0,220.0,88505500,0,0
2006-12-15,220.0,240.0,220.0,235.0,559521500,0,0
2006-12-18,230.0,240.0,225.0,230.0,192700500,0,0
2006-12-19,230.0,230.0,195.0,205.0,315209000,0,0
2006-12-20,215.0,215.0,210.0,215.0,144851000,0,0
2006-12-21,205.0,215.0,200.0,205.0,46338000,0,0
2006-12-22,205.0,210.0,200.0,205.0,11813000,0,0
2006-12-26,205.0,205.0,195.0,205.0,38680500,0,0
2006-12-27,200.0,205.0,200.0,205.0,31400000,0,0
2006-12-28,205.0,205.0,195.0,200.0,60025000,0,0
2006-12-29,200.0,205.0,195.0,200.0,60025000,0,0
2007-01-02,205.0,205.0,190.0,205.0,45869000,0,0
2007-01-03,200.0,205.0,195.0,200.0,27797500,0,0
2007-01-04,200.0,200.0,190.0,200.0,36217500,0,0
2007-01-05,200.0,200.0,195.0,200.0,36279000,0,0
2007-01-08,195.0,200.0,190.0,195.0,27571500,0,0
2007-01-09,190.0,197.0,188.0,190.0,25899500,0,0
2007-01-10,185.0,189.0,176.0,178.0,28664000,0,0
2007-01-11,181.0,185.0,175.0,181.0,23864000,0,0
2007-01-12,183.0,183.0,160.0,165.0,55980000,0,0
2007-01-15,165.0,179.0,165.0,178.0,54412500,0,0
2007-01-16,185.0,194.0,177.0,185.0,93938000,0,0
2007-01-17,198.0,203.0,190.0,198.0,233882500,0,0
2007-01-18,192.0,202.0,192.0,192.0,77315000,0,0
2007-01-19,188.0,195.0,185.0,188.0,43855000,0,0
2007-01-22,185.0,188.0,183.0,185.0,11703000,0,0
2007-01-23,180.0,185.0,178.0,180.0,26824500,0,0
2007-01-24,178.0,184.0,176.0,178.0,19370500,0,0
2007-01-25,177.0,184.0,175.0,177.0,35478500,0,0
2007-01-26,174.0,175.0,170.0,174.0,15497500,0,0
2007-01-29,174.0,177.0,172.0,174.0,2908500,0,0
2007-01-30,171.0,175.0,170.0,171.0,7425000,0,0
2007-01-31,167.0,171.0,165.0,167.0,34228500,0,0
2007-02-01,168.0,172.0,167.0,168.0,17390000,0,0
2007-02-02,167.0,172.0,170.0,167.0,8020500,0,0
2007-02-05,167.0,168.0,166.0,167.0,9550500,0,0
2007-02-06,167.0,168.0,166.0,167.0,9038000,0,0
2007-02-07,167.0,168.0,166.0,167.0,5825500,0,0
2007-02-08,176.0,179.0,167.0,176.0,64928500,0,0
2007-02-09,179.0,191.0,177.0,190.0,117002000,0,0
