Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-10,202.0,202.0,202.0,202.0,43573900,0,0
2022-08-11,238.0,252.0,188.0,214.0,388270700,0,0
2022-08-12,214.0,234.0,204.0,214.0,61558500,0,0
2022-08-15,234.0,234.0,208.0,216.0,46696400,0,0
2022-08-16,216.0,236.0,216.0,234.0,101375100,0,0
2022-08-18,240.0,292.0,222.0,272.0,291065500,0,0
2022-08-19,280.0,316.0,264.0,312.0,305411900,0,0
2022-08-22,312.0,312.0,292.0,292.0,23146500,0,0
2022-08-23,272.0,306.0,272.0,272.0,110906800,0,0
2022-08-24,272.0,296.0,272.0,282.0,82705500,0,0
2022-08-25,284.0,288.0,274.0,276.0,32610500,0,0
2022-08-26,276.0,292.0,268.0,270.0,52913100,0,0
2022-08-29,270.0,276.0,252.0,252.0,35316400,0,0
2022-08-30,258.0,262.0,236.0,240.0,24551900,0,0
2022-08-31,240.0,248.0,228.0,234.0,25321200,0,0
2022-09-01,234.0,240.0,232.0,236.0,19123000,0,0
2022-09-02,238.0,272.0,236.0,260.0,75402700,0,0
2022-09-05,262.0,264.0,242.0,244.0,34732800,0,0
2022-09-06,244.0,252.0,236.0,246.0,30416700,0,0
2022-09-07,246.0,248.0,242.0,244.0,9406700,0,0
2022-09-08,242.0,244.0,236.0,236.0,16915600,0,0
2022-09-09,238.0,242.0,238.0,238.0,14597300,0,0
2022-09-12,240.0,242.0,234.0,234.0,9801500,0,0
2022-09-13,236.0,254.0,232.0,240.0,56418800,0,0
2022-09-14,240.0,240.0,234.0,236.0,15098000,0,0
2022-09-15,236.0,240.0,230.0,234.0,16488300,0,0
2022-09-16,234.0,240.0,232.0,236.0,13296500,0,0
2022-09-19,238.0,240.0,232.0,234.0,10476400,0,0
2022-09-20,234.0,238.0,232.0,234.0,18292300,0,0
2022-09-21,234.0,236.0,218.0,218.0,14452000,0,0
2022-09-22,218.0,228.0,206.0,226.0,26766400,0,0
2022-09-23,226.0,230.0,218.0,222.0,12891500,0,0
2022-09-26,220.0,236.0,216.0,224.0,31897600,0,0
2022-09-27,224.0,232.0,222.0,226.0,17657100,0,0
2022-09-28,230.0,230.0,216.0,222.0,15302600,0,0
2022-09-29,220.0,224.0,208.0,214.0,8230700,0,0
2022-09-30,210.0,230.0,208.0,218.0,27123500,0,0
2022-10-03,218.0,218.0,212.0,214.0,9058500,0,0
