Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-08-01,200.0,205.0,200.0,205.0,30000,0,0
2001-08-02,200.0,200.0,200.0,200.0,10000,0,0
2001-08-03,215.0,215.0,205.0,205.0,43500,0,0
2001-08-06,210.0,240.0,210.0,215.0,156500,0,0
2001-08-07,235.0,235.0,215.0,215.0,39000,0,0
2001-08-08,215.0,215.0,210.0,210.0,36000,0,0
2001-08-09,205.0,205.0,205.0,205.0,5000,0,0
2001-08-10,200.0,200.0,200.0,200.0,1000,0,0
2001-08-13,195.0,205.0,195.0,205.0,24500,0,0
2001-08-14,205.0,210.0,205.0,205.0,178000,0,0
2001-08-15,200.0,200.0,200.0,200.0,10000,0,0
2001-08-16,200.0,200.0,195.0,195.0,84000,0,0
2001-08-17,195.0,195.0,195.0,195.0,0,0,0
2001-08-20,200.0,205.0,200.0,200.0,56500,0,0
2001-08-21,200.0,200.0,200.0,200.0,48500,0,0
2001-08-22,200.0,220.0,200.0,210.0,1170500,0,0
2001-08-23,210.0,210.0,205.0,205.0,247500,0,0
2001-08-24,210.0,210.0,205.0,205.0,42500,0,0
2001-08-27,205.0,205.0,205.0,205.0,0,0,0
2001-08-28,205.0,205.0,200.0,200.0,72500,0,0
2001-08-29,205.0,210.0,200.0,200.0,325500,0,0
2001-08-30,205.0,205.0,200.0,200.0,170000,0,0
2001-08-31,200.0,200.0,200.0,200.0,27500,0,0
2001-09-03,200.0,200.0,200.0,200.0,0,0,0
2001-09-04,200.0,200.0,200.0,200.0,32500,0,0
2001-09-05,200.0,200.0,200.0,200.0,15000,0,0
2001-09-06,200.0,200.0,200.0,200.0,17500,0,0
2001-09-07,200.0,200.0,200.0,200.0,7500,0,0
2001-09-10,200.0,200.0,200.0,200.0,0,0,0
2001-09-11,200.0,200.0,200.0,200.0,7500,0,0
2001-09-12,195.0,195.0,195.0,195.0,10000,0,0
2001-09-13,190.0,190.0,185.0,185.0,90000,0,0
2001-09-14,185.0,185.0,180.0,180.0,45000,0,0
2001-09-17,180.0,185.0,150.0,150.0,31000,0,0
2001-09-18,150.0,150.0,150.0,150.0,10000,0,0
2001-09-19,150.0,150.0,150.0,150.0,0,0,0
2001-09-20,155.0,165.0,155.0,165.0,148500,0,0
2001-09-21,165.0,165.0,165.0,165.0,0,0,0
2001-09-24,165.0,165.0,165.0,165.0,0,0,0
2001-09-25,160.0,160.0,160.0,160.0,2500,0,0
2001-09-26,160.0,160.0,150.0,150.0,72500,0,0
2001-09-27,150.0,150.0,140.0,145.0,15000,0,0
2001-09-28,145.0,145.0,145.0,145.0,0,0,0
2001-10-01,145.0,145.0,145.0,145.0,0,0,0
2001-10-02,145.0,145.0,145.0,145.0,0,0,0
2001-10-03,125.0,125.0,125.0,125.0,20000,0,0
2001-10-04,125.0,125.0,125.0,125.0,6000,0,0
2001-10-05,125.0,125.0,125.0,125.0,0,0,0
2001-10-08,125.0,125.0,125.0,125.0,0,0,0
2001-10-09,135.0,135.0,135.0,135.0,18500,0,0
2001-10-10,135.0,135.0,135.0,135.0,0,0,0
2001-10-11,135.0,135.0,135.0,135.0,0,0,0
2001-10-12,135.0,135.0,135.0,135.0,0,0,0
2001-10-15,135.0,135.0,135.0,135.0,0,0,0
2001-10-16,135.0,135.0,135.0,135.0,0,0,0
2001-10-17,135.0,135.0,135.0,135.0,0,0,0
2001-10-18,135.0,135.0,135.0,135.0,0,0,0
2001-10-19,140.0,150.0,140.0,150.0,25000,0,0
2001-10-22,140.0,140.0,140.0,140.0,7500,0,0
2001-10-23,140.0,140.0,140.0,140.0,0,0,0
2001-10-24,140.0,140.0,140.0,140.0,0,0,0
2001-10-25,140.0,140.0,140.0,140.0,0,0,0
2001-10-26,140.0,140.0,140.0,140.0,0,0,0
2001-10-29,140.0,140.0,140.0,140.0,0,0,0
2001-10-30,135.0,140.0,135.0,140.0,70000,0,0
2001-10-31,140.0,140.0,140.0,140.0,2500,0,0
2001-11-01,110.0,110.0,110.0,110.0,2500,0,0
2001-11-02,120.0,120.0,120.0,120.0,2500,0,0
2001-11-05,115.0,120.0,115.0,115.0,29000,0,0
2001-11-06,115.0,115.0,115.0,115.0,0,0,0
2001-11-07,120.0,120.0,120.0,120.0,20000,0,0
2001-11-08,120.0,120.0,120.0,120.0,0,0,0
2001-11-09,120.0,120.0,120.0,120.0,0,0,0
2001-11-12,120.0,120.0,120.0,120.0,50000,0,0
2001-11-13,120.0,120.0,120.0,120.0,0,0,0
2001-11-14,120.0,120.0,120.0,120.0,0,0,0
2001-11-15,120.0,120.0,120.0,120.0,7500,0,0
2001-11-16,140.0,140.0,140.0,140.0,3500,0,0
2001-11-19,160.0,160.0,130.0,150.0,16500,0,0
2001-11-20,150.0,150.0,150.0,150.0,0,0,0
