Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-10,1750.0,2250.0,1650.0,2250.0,3726000,0,0
2009-12-11,2450.0,2800.0,2450.0,2800.0,679000,0,0
2009-12-14,3050.0,3500.0,3025.0,3500.0,637500,0,0
2009-12-15,4375.0,4375.0,4100.0,4375.0,1098000,0,0
2009-12-16,4900.0,5450.0,4900.0,5450.0,1988000,0,0
2009-12-17,5550.0,6000.0,5450.0,5550.0,2085000,0,0
2009-12-21,5550.0,5600.0,5550.0,5550.0,482000,0,0
2009-12-22,5550.0,5650.0,5550.0,5550.0,607000,0,0
2009-12-23,5550.0,5600.0,5550.0,5550.0,1092000,0,0
2009-12-28,5600.0,5600.0,5550.0,5600.0,1034500,0,0
2009-12-29,5550.0,5600.0,5550.0,5550.0,815000,0,0
2009-12-30,5600.0,5600.0,5550.0,5600.0,29000,0,0
2010-01-04,5600.0,5600.0,5550.0,5600.0,594500,0,0
2010-01-05,5550.0,5550.0,5550.0,5550.0,13500,0,0
2010-01-06,5600.0,5650.0,5550.0,5600.0,2154500,0,0
2010-01-07,5550.0,5650.0,5550.0,5550.0,2784500,0,0
2010-01-08,5600.0,5650.0,5600.0,5600.0,1565000,0,0
2010-01-11,5650.0,5650.0,5650.0,5650.0,2005000,0,0
2010-01-12,5650.0,5650.0,5650.0,5650.0,2063000,0,0
2010-01-13,5600.0,5600.0,5600.0,5600.0,1870000,0,0
2010-01-14,5600.0,5600.0,5600.0,5600.0,1373000,0,0
2010-01-15,5650.0,5700.0,5650.0,5650.0,2908500,0,0
2010-01-18,5650.0,5700.0,5650.0,5650.0,1121000,0,0
2010-01-19,5700.0,5700.0,5700.0,5700.0,1397500,0,0
2010-01-20,5700.0,5750.0,5700.0,5700.0,325000,0,0
2010-01-21,5700.0,5700.0,5700.0,5700.0,1039000,0,0
2010-01-22,5650.0,5650.0,5650.0,5650.0,500,0,0
2010-01-25,5700.0,5700.0,5650.0,5700.0,1400500,0,0
2010-01-26,5700.0,5750.0,5600.0,5750.0,3680500,0,0
2010-01-27,5750.0,5750.0,5700.0,5750.0,1809500,0,0
2010-01-28,5800.0,5850.0,5700.0,5800.0,2424000,0,0
2010-01-29,5800.0,5800.0,5700.0,5800.0,1650000,0,0
2010-02-01,5900.0,5900.0,5750.0,5900.0,3162500,0,0
2010-02-02,5850.0,5900.0,5850.0,5850.0,1657000,0,0
2010-02-03,5850.0,5900.0,5850.0,5850.0,801000,0,0
2010-02-04,5900.0,5900.0,5900.0,5900.0,500000,0,0
