Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-08,8850.0,8850.0,8850.0,8850.0,2600,0,0
2021-02-09,10600.0,10600.0,10600.0,10600.0,4100,0,0
2021-02-10,12700.0,12700.0,12700.0,12700.0,3400,0,0
2021-02-11,15225.0,15225.0,15225.0,15225.0,118500,0,0
2021-02-15,16225.0,18250.0,16225.0,18250.0,27300,0,0
2021-02-16,21725.0,21900.0,21600.0,21900.0,155600,0,0
2021-02-17,26200.0,26275.0,26200.0,26275.0,149400,0,0
2021-02-18,26750.0,31525.0,26750.0,31525.0,390800,0,0
2021-02-19,32700.0,37825.0,29325.0,29325.0,273600,0,0
2021-02-22,29350.0,29350.0,27275.0,27275.0,44700,0,0
2021-02-23,26275.0,26275.0,25375.0,25375.0,87600,0,0
2021-02-24,23600.0,23750.0,23600.0,23600.0,45100,0,0
2021-02-25,22850.0,22850.0,21950.0,21950.0,30800,0,0
2021-02-26,20425.0,20425.0,20425.0,20425.0,38800,0,0
2021-03-01,19000.0,19000.0,19000.0,19000.0,46900,0,0
2021-03-02,17675.0,17675.0,17675.0,17675.0,18900,0,0
2021-03-03,16450.0,21200.0,16450.0,18775.0,424800,0,0
2021-03-04,18800.0,20500.0,18250.0,18725.0,92300,0,0
2021-03-05,18275.0,18275.0,17425.0,17425.0,52100,0,0
2021-03-08,17425.0,17425.0,16225.0,16225.0,21300,0,0
2021-03-09,15100.0,15900.0,15100.0,15475.0,104200,0,0
2021-03-10,15475.0,15475.0,14400.0,14400.0,13200,0,0
2021-03-12,14400.0,14400.0,13400.0,13400.0,23400,0,0
2021-03-15,12800.0,12800.0,12475.0,12475.0,19400,0,0
2021-03-16,12000.0,14950.0,11625.0,14950.0,603200,0,0
2021-03-17,15200.0,17350.0,13925.0,13950.0,606900,0,0
2021-03-18,13950.0,14000.0,12975.0,12975.0,148200,0,0
2021-03-19,12975.0,12975.0,12075.0,12300.0,78500,0,0
2021-03-22,12300.0,13675.0,12200.0,12475.0,67800,0,0
2021-03-23,12700.0,12925.0,12300.0,12500.0,43300,0,0
2021-03-24,12650.0,12675.0,12450.0,12500.0,30600,0,0
2021-03-25,12300.0,12500.0,12050.0,12425.0,22000,0,0
2021-03-26,12400.0,12425.0,12200.0,12300.0,8300,0,0
2021-03-29,12300.0,12500.0,12000.0,12200.0,34300,0,0
2021-03-30,12200.0,12200.0,11350.0,11875.0,13300,0,0
2021-03-31,11875.0,11875.0,11150.0,11200.0,9200,0,0
2021-04-01,11225.0,11500.0,11200.0,11225.0,17400,0,0
2021-04-05,11225.0,12050.0,11225.0,11500.0,13300,0,0
2021-04-06,11775.0,12200.0,11775.0,12075.0,51500,0,0
2021-04-07,12150.0,12200.0,11950.0,12200.0,33200,0,0
2021-04-08,12200.0,12300.0,12000.0,12300.0,12700,0,0
2021-04-09,12300.0,12300.0,12100.0,12250.0,7200,0,0
2021-04-12,12225.0,12225.0,11775.0,11975.0,12400,0,0
2021-04-13,11975.0,11975.0,11500.0,11950.0,9800,0,0
2021-04-14,12000.0,12300.0,11800.0,12000.0,14500,0,0
2021-04-15,12000.0,12075.0,11800.0,12075.0,8300,0,0
2021-04-16,12075.0,12350.0,12075.0,12200.0,13400,0,0
2021-04-19,12200.0,12200.0,12000.0,12175.0,3400,0,0
2021-04-20,12175.0,12175.0,12000.0,12150.0,1700,0,0
2021-04-21,12175.0,12200.0,12100.0,12175.0,13300,0,0
2021-04-22,12200.0,12275.0,11500.0,12200.0,14800,0,0
2021-04-23,11950.0,12175.0,11950.0,12175.0,5100,0,0
2021-04-26,12150.0,12150.0,11900.0,11950.0,5000,0,0
2021-04-27,11950.0,12000.0,11600.0,12000.0,9700,0,0
2021-04-28,12000.0,12000.0,11750.0,11950.0,3800,0,0
2021-04-29,11950.0,12200.0,11850.0,12000.0,10300,0,0
2021-04-30,12000.0,12050.0,11750.0,11750.0,18600,0,0
2021-05-03,11750.0,12050.0,11600.0,11950.0,12500,0,0
2021-05-04,11950.0,11950.0,11600.0,11900.0,10100,0,0
2021-05-05,11875.0,11900.0,11600.0,11700.0,8300,0,0
2021-05-06,11700.0,11950.0,11650.0,11650.0,11900,0,0
2021-05-07,11650.0,11750.0,11650.0,11700.0,1700,0,0
2021-05-10,11700.0,11700.0,11400.0,11675.0,9400,0,0
2021-05-11,11675.0,11900.0,11500.0,11775.0,7000,0,0
2021-05-17,11750.0,11775.0,11700.0,11775.0,2000,0,0
2021-05-18,11750.0,11750.0,11000.0,11000.0,3200,0,0
2021-05-19,11000.0,11600.0,10975.0,11250.0,2100,0,0
2021-05-20,11250.0,11250.0,11000.0,11200.0,4500,0,0
2021-05-21,11200.0,11200.0,11000.0,11200.0,4500,0,0
2021-05-24,11200.0,11200.0,11000.0,11175.0,2100,0,0
2021-05-25,11000.0,11150.0,10775.0,10825.0,4700,0,0
2021-05-27,10825.0,11125.0,10775.0,11000.0,3100,0,0
2021-05-28,10750.0,10925.0,10400.0,10925.0,10100,0,0
2021-05-31,11175.0,11200.0,10950.0,11150.0,4600,0,0
2021-06-02,11150.0,12000.0,11025.0,11600.0,22300,0,0
2021-06-03,11800.0,12300.0,11350.0,11650.0,83000,0,0
2021-06-04,11750.0,13975.0,11750.0,13975.0,141100,0,0
2021-06-07,14825.0,16750.0,14650.0,16750.0,86200,0,0
2021-06-08,18425.0,20100.0,18375.0,20100.0,77600,0,0
2021-06-09,20550.0,23575.0,18700.0,18700.0,485400,0,0
2021-06-10,18700.0,18700.0,17400.0,17500.0,203300,0,0
2021-06-11,17600.0,21000.0,17600.0,21000.0,229900,0,0
2021-06-14,22000.0,25200.0,22000.0,25200.0,43200,0,0
2021-06-15,27700.0,30225.0,27700.0,30225.0,129800,0,0
2021-06-16,30225.0,36250.0,30225.0,36250.0,133400,0,0
2021-06-17,36325.0,43500.0,36275.0,40875.0,908100,0,0
2021-06-18,41050.0,47000.0,38025.0,38800.0,524400,0,0
