Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-08,270.0,270.0,224.0,270.0,655243700,0,0
2022-08-09,290.0,336.0,274.0,336.0,290810800,0,0
2022-08-10,350.0,370.0,314.0,314.0,31386200,0,0
2022-08-11,294.0,294.0,294.0,294.0,4747800,0,0
2022-08-12,274.0,274.0,274.0,274.0,9336900,0,0
2022-08-15,256.0,282.0,256.0,270.0,190982000,0,0
2022-08-16,276.0,292.0,256.0,276.0,193701400,0,0
2022-08-18,276.0,300.0,272.0,284.0,140673900,0,0
2022-08-19,286.0,294.0,282.0,282.0,65024500,0,0
2022-08-22,282.0,292.0,272.0,278.0,62197300,0,0
2022-08-23,278.0,280.0,272.0,274.0,28409100,0,0
2022-08-24,272.0,292.0,270.0,284.0,137437900,0,0
2022-08-25,292.0,292.0,274.0,276.0,64915000,0,0
2022-08-26,280.0,280.0,270.0,270.0,30877500,0,0
2022-08-29,266.0,270.0,252.0,252.0,50553000,0,0
2022-08-30,240.0,246.0,236.0,236.0,72755800,0,0
2022-08-31,236.0,236.0,220.0,236.0,51342400,0,0
2022-09-01,238.0,240.0,226.0,230.0,18324800,0,0
2022-09-02,230.0,234.0,224.0,228.0,15016200,0,0
2022-09-05,230.0,230.0,224.0,228.0,12119400,0,0
2022-09-06,228.0,238.0,224.0,228.0,25400400,0,0
2022-09-07,228.0,232.0,224.0,228.0,11705500,0,0
2022-09-08,228.0,230.0,226.0,228.0,10081100,0,0
2022-09-09,228.0,248.0,228.0,244.0,50162100,0,0
2022-09-12,246.0,250.0,234.0,234.0,22667300,0,0
2022-09-13,234.0,238.0,228.0,236.0,12853600,0,0
2022-09-14,232.0,234.0,228.0,234.0,12705100,0,0
2022-09-15,234.0,236.0,226.0,228.0,12185000,0,0
2022-09-16,230.0,230.0,222.0,226.0,9514700,0,0
2022-09-19,228.0,230.0,222.0,228.0,5491900,0,0
2022-09-20,230.0,230.0,224.0,224.0,4900400,0,0
2022-09-21,224.0,226.0,222.0,224.0,5081400,0,0
2022-09-22,224.0,226.0,220.0,222.0,9073700,0,0
2022-09-23,222.0,240.0,222.0,240.0,29275500,0,0
2022-09-26,240.0,250.0,226.0,230.0,38332300,0,0
2022-09-27,228.0,238.0,224.0,232.0,13697100,0,0
2022-09-28,232.0,234.0,224.0,228.0,9834900,0,0
2022-09-29,230.0,232.0,222.0,224.0,8074100,0,0
2022-09-30,224.0,224.0,210.0,212.0,22092800,0,0
2022-10-03,212.0,212.0,202.0,212.0,6394200,0,0
