Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-14,141.0,141.0,141.0,141.0,690700,0,0
2020-09-15,190.0,190.0,132.0,132.0,138415000,0,0
2020-09-16,123.0,123.0,123.0,123.0,1917900,0,0
2020-09-17,115.0,115.0,115.0,115.0,2299000,0,0
2020-09-18,107.0,107.0,107.0,107.0,2898900,0,0
2020-09-21,100.0,100.0,100.0,100.0,4829500,0,0
2020-09-22,93.0,93.0,93.0,93.0,1254600,0,0
2020-09-23,87.0,87.0,87.0,87.0,1271500,0,0
2020-09-24,81.0,81.0,81.0,81.0,7131400,0,0
2020-09-25,76.0,76.0,76.0,76.0,2293500,0,0
2020-09-28,71.0,96.0,71.0,86.0,135500400,0,0
2020-09-29,87.0,92.0,80.0,80.0,79271400,0,0
2020-09-30,75.0,81.0,75.0,75.0,20135300,0,0
2020-10-01,71.0,81.0,70.0,70.0,127736500,0,0
2020-10-02,71.0,71.0,66.0,66.0,32603100,0,0
2020-10-05,62.0,66.0,62.0,62.0,22184300,0,0
2020-10-06,58.0,65.0,58.0,62.0,18045600,0,0
2020-10-07,58.0,64.0,58.0,60.0,8903400,0,0
2020-10-08,57.0,61.0,57.0,58.0,19606600,0,0
2020-10-09,54.0,63.0,54.0,54.0,66430500,0,0
2020-10-12,51.0,53.0,51.0,51.0,71166700,0,0
2020-10-13,50.0,54.0,50.0,50.0,49581300,0,0
2020-10-14,51.0,52.0,50.0,50.0,13896800,0,0
2020-10-15,51.0,51.0,50.0,50.0,16417900,0,0
2020-10-16,50.0,51.0,50.0,50.0,9763000,0,0
2020-10-19,50.0,51.0,50.0,50.0,7508900,0,0
2020-10-20,50.0,51.0,50.0,50.0,5928900,0,0
2020-10-21,51.0,51.0,50.0,50.0,6260600,0,0
2020-10-22,50.0,51.0,50.0,51.0,4626600,0,0
2020-10-23,51.0,51.0,50.0,50.0,9830400,0,0
2020-10-26,50.0,50.0,50.0,50.0,926900,0,0
2020-10-27,50.0,51.0,50.0,51.0,7929000,0,0
2020-11-02,51.0,51.0,50.0,50.0,3013400,0,0
2020-11-03,50.0,51.0,50.0,50.0,4939600,0,0
2020-11-04,51.0,51.0,50.0,50.0,2379300,0,0
2020-11-05,50.0,50.0,50.0,50.0,2172900,0,0
2020-11-06,50.0,51.0,50.0,50.0,1397000,0,0
2020-11-09,50.0,51.0,50.0,50.0,6183300,0,0
2020-11-10,50.0,50.0,50.0,50.0,631500,0,0
2020-11-11,50.0,51.0,50.0,50.0,4086200,0,0
2020-11-12,50.0,50.0,50.0,50.0,823300,0,0
2020-11-13,50.0,50.0,50.0,50.0,293700,0,0
2020-11-16,50.0,50.0,50.0,50.0,308800,0,0
2020-11-17,50.0,50.0,50.0,50.0,524700,0,0
2020-11-18,50.0,50.0,50.0,50.0,148400,0,0
2020-11-19,50.0,50.0,50.0,50.0,813000,0,0
2020-11-20,50.0,50.0,50.0,50.0,83600,0,0
2020-11-23,50.0,50.0,50.0,50.0,514600,0,0
2020-11-24,50.0,50.0,50.0,50.0,594800,0,0
2020-11-25,50.0,55.0,50.0,53.0,35436500,0,0
2020-11-26,53.0,58.0,51.0,52.0,29220000,0,0
2020-11-27,52.0,54.0,50.0,51.0,11847800,0,0
2020-11-30,51.0,52.0,50.0,50.0,8277100,0,0
2020-12-01,50.0,51.0,50.0,50.0,7658100,0,0
2020-12-02,50.0,51.0,50.0,50.0,4344400,0,0
2020-12-03,50.0,51.0,50.0,50.0,3175800,0,0
2020-12-04,50.0,50.0,50.0,50.0,1246700,0,0
2020-12-07,50.0,51.0,50.0,51.0,8767800,0,0
2020-12-08,50.0,51.0,50.0,50.0,10290500,0,0
2020-12-10,50.0,51.0,50.0,50.0,5746900,0,0
2020-12-11,50.0,51.0,50.0,50.0,1804700,0,0
2020-12-14,50.0,51.0,50.0,50.0,2645800,0,0
2020-12-15,51.0,51.0,50.0,50.0,1190700,0,0
2020-12-16,51.0,51.0,50.0,50.0,395300,0,0
2020-12-17,50.0,50.0,50.0,50.0,160500,0,0
2020-12-18,50.0,50.0,50.0,50.0,628300,0,0
2020-12-21,50.0,50.0,50.0,50.0,292500,0,0
2020-12-22,50.0,50.0,50.0,50.0,364900,0,0
2020-12-23,50.0,50.0,50.0,50.0,177900,0,0
2020-12-28,50.0,50.0,50.0,50.0,192300,0,0
2020-12-29,50.0,50.0,50.0,50.0,394700,0,0
2020-12-30,50.0,50.0,50.0,50.0,76800,0,0
2021-01-04,50.0,50.0,50.0,50.0,293000,0,0
2021-01-05,50.0,50.0,50.0,50.0,260700,0,0
2021-01-06,50.0,50.0,50.0,50.0,64000,0,0
2021-01-07,50.0,50.0,50.0,50.0,18100,0,0
2021-01-08,50.0,50.0,50.0,50.0,135500,0,0
2021-01-11,50.0,50.0,50.0,50.0,266600,0,0
2021-01-12,50.0,50.0,50.0,50.0,113900,0,0
2021-01-13,50.0,50.0,50.0,50.0,21500,0,0
2021-01-14,50.0,50.0,50.0,50.0,247200,0,0
2021-01-15,50.0,50.0,50.0,50.0,66800,0,0
2021-01-18,50.0,50.0,50.0,50.0,148400,0,0
2021-01-19,50.0,50.0,50.0,50.0,29800,0,0
2021-01-20,50.0,50.0,50.0,50.0,112800,0,0
2021-01-21,50.0,50.0,50.0,50.0,50300,0,0
2021-01-22,50.0,50.0,50.0,50.0,5800,0,0
2021-01-25,50.0,50.0,50.0,50.0,87000,0,0
2021-01-26,50.0,50.0,50.0,50.0,255300,0,0
2021-01-27,50.0,50.0,50.0,50.0,34600,0,0
2021-01-28,50.0,50.0,50.0,50.0,5000,0,0
2021-01-29,50.0,50.0,50.0,50.0,124400,0,0
2021-02-01,50.0,50.0,50.0,50.0,7700,0,0
2021-02-02,50.0,50.0,50.0,50.0,28900,0,0
2021-02-03,50.0,50.0,50.0,50.0,51600,0,0
2021-02-04,50.0,50.0,50.0,50.0,85900,0,0
2021-02-05,50.0,50.0,50.0,50.0,19300,0,0
2021-02-08,50.0,50.0,50.0,50.0,79900,0,0
2021-02-09,50.0,50.0,50.0,50.0,111600,0,0
2021-02-10,50.0,50.0,50.0,50.0,7500,0,0
2021-02-11,50.0,50.0,50.0,50.0,65400,0,0
2021-02-15,50.0,50.0,50.0,50.0,227900,0,0
2021-02-16,50.0,50.0,50.0,50.0,31400,0,0
2021-02-17,50.0,50.0,50.0,50.0,56200,0,0
2021-02-18,50.0,50.0,50.0,50.0,149700,0,0
2021-02-19,50.0,50.0,50.0,50.0,11900,0,0
2021-02-22,50.0,50.0,50.0,50.0,4100,0,0
2021-02-23,50.0,50.0,50.0,50.0,25500,0,0
2021-02-24,50.0,50.0,50.0,50.0,175800,0,0
2021-02-25,50.0,54.0,50.0,50.0,46122700,0,0
2021-02-26,50.0,50.0,50.0,50.0,400000,0,0
2021-03-01,50.0,50.0,50.0,50.0,174100,0,0
2021-03-02,50.0,50.0,50.0,50.0,146900,0,0
2021-03-03,50.0,50.0,50.0,50.0,28900,0,0
2021-03-04,50.0,50.0,50.0,50.0,414300,0,0
2021-03-05,50.0,50.0,50.0,50.0,1927600,0,0
2021-03-08,50.0,53.0,50.0,50.0,29728000,0,0
2021-03-09,50.0,50.0,50.0,50.0,3719600,0,0
2021-03-10,50.0,50.0,50.0,50.0,2661300,0,0
2021-03-12,50.0,50.0,50.0,50.0,276900,0,0
2021-03-15,50.0,50.0,50.0,50.0,181100,0,0
2021-03-16,50.0,51.0,50.0,50.0,20136700,0,0
2021-03-17,50.0,50.0,50.0,50.0,2102000,0,0
2021-03-18,50.0,50.0,50.0,50.0,417800,0,0
2021-03-19,50.0,50.0,50.0,50.0,411700,0,0
2021-03-22,50.0,50.0,50.0,50.0,1165000,0,0
2021-03-23,50.0,50.0,50.0,50.0,102100,0,0
2021-03-24,50.0,50.0,50.0,50.0,66500,0,0
2021-03-25,50.0,50.0,50.0,50.0,22900,0,0
2021-03-26,50.0,50.0,50.0,50.0,29700,0,0
2021-03-29,50.0,50.0,50.0,50.0,249100,0,0
2021-03-30,50.0,50.0,50.0,50.0,207600,0,0
2021-03-31,50.0,50.0,50.0,50.0,327800,0,0
2021-04-01,50.0,50.0,50.0,50.0,627700,0,0
2021-04-05,50.0,50.0,50.0,50.0,602800,0,0
2021-04-06,50.0,50.0,50.0,50.0,129100,0,0
2021-04-07,50.0,50.0,50.0,50.0,60700,0,0
2021-04-08,50.0,50.0,50.0,50.0,68600,0,0
2021-04-09,50.0,50.0,50.0,50.0,16800,0,0
2021-04-12,50.0,50.0,50.0,50.0,4700,0,0
2021-04-13,50.0,50.0,50.0,50.0,66100,0,0
2021-04-14,50.0,50.0,50.0,50.0,29400,0,0
2021-04-15,50.0,50.0,50.0,50.0,11300,0,0
2021-04-16,50.0,50.0,50.0,50.0,325700,0,0
2021-04-19,50.0,50.0,50.0,50.0,84600,0,0
2021-04-20,50.0,50.0,50.0,50.0,31500,0,0
2021-04-21,50.0,50.0,50.0,50.0,7300,0,0
2021-04-22,50.0,50.0,50.0,50.0,67100,0,0
2021-04-23,50.0,50.0,50.0,50.0,48200,0,0
2021-04-26,50.0,50.0,50.0,50.0,421800,0,0
2021-04-27,50.0,50.0,50.0,50.0,71400,0,0
2021-04-28,50.0,50.0,50.0,50.0,15500,0,0
2021-04-29,50.0,50.0,50.0,50.0,36000,0,0
2021-04-30,50.0,56.0,50.0,54.0,54761000,0,0
2021-05-03,55.0,60.0,51.0,52.0,87818600,0,0
2021-05-04,53.0,54.0,50.0,50.0,19910700,0,0
2021-05-05,51.0,54.0,50.0,51.0,15907900,0,0
2021-05-06,52.0,52.0,50.0,51.0,7273400,0,0
2021-05-07,51.0,51.0,50.0,50.0,7797700,0,0
2021-05-10,50.0,51.0,50.0,50.0,8811900,0,0
2021-05-11,50.0,52.0,50.0,50.0,10150100,0,0
2021-05-17,50.0,51.0,50.0,50.0,2594000,0,0
2021-05-18,50.0,50.0,50.0,50.0,209800,0,0
2021-05-19,50.0,50.0,50.0,50.0,60700,0,0
2021-05-20,50.0,50.0,50.0,50.0,156200,0,0
2021-05-21,50.0,50.0,50.0,50.0,129600,0,0
2021-05-24,50.0,50.0,50.0,50.0,490500,0,0
2021-05-25,50.0,50.0,50.0,50.0,38700,0,0
2021-05-27,50.0,50.0,50.0,50.0,33400,0,0
2021-05-28,50.0,50.0,50.0,50.0,434000,0,0
2021-05-31,50.0,50.0,50.0,50.0,1421500,0,0
2021-06-02,50.0,50.0,50.0,50.0,179800,0,0
2021-06-03,50.0,50.0,50.0,50.0,34000,0,0
2021-06-04,50.0,50.0,50.0,50.0,88400,0,0
2021-06-07,50.0,50.0,50.0,50.0,113100,0,0
2021-06-08,50.0,50.0,50.0,50.0,166000,0,0
2021-06-09,50.0,50.0,50.0,50.0,5100500,0,0
2021-06-10,50.0,53.0,50.0,50.0,19219700,0,0
2021-06-11,50.0,50.0,50.0,50.0,1336000,0,0
2021-06-14,50.0,50.0,50.0,50.0,9504900,0,0
2021-06-15,50.0,50.0,50.0,50.0,271300,0,0
2021-06-16,50.0,50.0,50.0,50.0,253800,0,0
2021-06-17,50.0,50.0,50.0,50.0,23500,0,0
2021-06-18,50.0,50.0,50.0,50.0,37700,0,0
2021-06-21,50.0,50.0,50.0,50.0,29100,0,0
2021-06-22,50.0,50.0,50.0,50.0,197000,0,0
2021-06-23,50.0,50.0,50.0,50.0,70100,0,0
2021-06-24,50.0,50.0,50.0,50.0,115100,0,0
2021-06-25,50.0,50.0,50.0,50.0,23900,0,0
2021-06-28,50.0,50.0,50.0,50.0,169300,0,0
2021-06-29,50.0,50.0,50.0,50.0,6100,0,0
2021-06-30,50.0,50.0,50.0,50.0,4600,0,0
2021-07-01,50.0,50.0,50.0,50.0,58300,0,0
2021-07-02,50.0,50.0,50.0,50.0,59300,0,0
2021-07-05,50.0,50.0,50.0,50.0,53900,0,0
2021-07-06,50.0,50.0,50.0,50.0,8600,0,0
2021-07-07,50.0,50.0,50.0,50.0,3300,0,0
2021-07-08,50.0,50.0,50.0,50.0,3600,0,0
2021-07-09,50.0,50.0,50.0,50.0,95100,0,0
2021-07-12,50.0,50.0,50.0,50.0,7800,0,0
2021-07-13,50.0,50.0,50.0,50.0,18500,0,0
2021-07-14,50.0,50.0,50.0,50.0,3500,0,0
2021-07-15,50.0,50.0,50.0,50.0,45700,0,0
2021-07-16,50.0,50.0,50.0,50.0,21100,0,0
2021-07-19,50.0,50.0,50.0,50.0,6200,0,0
2021-07-21,50.0,50.0,50.0,50.0,200800,0,0
2021-07-22,50.0,50.0,50.0,50.0,10900,0,0
2021-07-23,50.0,50.0,50.0,50.0,5800,0,0
2021-07-26,50.0,50.0,50.0,50.0,53500,0,0
2021-07-27,50.0,50.0,50.0,50.0,22400,0,0
2021-07-28,50.0,50.0,50.0,50.0,4900,0,0
2021-07-29,50.0,50.0,50.0,50.0,49600,0,0
2021-07-30,50.0,50.0,50.0,50.0,10100,0,0
2021-08-02,50.0,50.0,50.0,50.0,330200,0,0
2021-08-03,50.0,50.0,50.0,50.0,400,0,0
2021-08-04,50.0,50.0,50.0,50.0,900,0,0
2021-08-05,50.0,50.0,50.0,50.0,10800,0,0
2021-08-06,50.0,50.0,50.0,50.0,2700,0,0
2021-08-09,50.0,50.0,50.0,50.0,12400,0,0
2021-08-10,50.0,50.0,50.0,50.0,12600,0,0
2021-08-12,50.0,50.0,50.0,50.0,4700,0,0
2021-08-13,50.0,50.0,50.0,50.0,5900,0,0
2021-08-16,50.0,50.0,50.0,50.0,23000,0,0
2021-08-18,50.0,50.0,50.0,50.0,827500,0,0
2021-08-19,50.0,50.0,50.0,50.0,18600,0,0
2021-08-20,50.0,50.0,50.0,50.0,97500,0,0
2021-08-23,50.0,55.0,50.0,50.0,26678200,0,0
2021-08-24,50.0,50.0,50.0,50.0,1731700,0,0
2021-08-25,50.0,50.0,50.0,50.0,134300,0,0
2021-08-26,50.0,50.0,50.0,50.0,38800,0,0
2021-08-27,50.0,50.0,50.0,50.0,31200,0,0
2021-08-30,50.0,50.0,50.0,50.0,270700,0,0
2021-08-31,50.0,50.0,50.0,50.0,23800,0,0
2021-09-01,50.0,50.0,50.0,50.0,1300,0,0
2021-09-02,50.0,50.0,50.0,50.0,1052700,0,0
2021-09-03,50.0,50.0,50.0,50.0,16700,0,0
2021-09-06,50.0,50.0,50.0,50.0,45900,0,0
2021-09-07,50.0,50.0,50.0,50.0,109400,0,0
2021-09-08,50.0,50.0,50.0,50.0,1341700,0,0
2021-09-09,50.0,50.0,50.0,50.0,536300,0,0
2021-09-10,50.0,50.0,50.0,50.0,653800,0,0
2021-09-13,50.0,50.0,50.0,50.0,303400,0,0
2021-09-14,50.0,50.0,50.0,50.0,371700,0,0
2021-09-15,50.0,51.0,50.0,50.0,10622100,0,0
2021-09-16,50.0,52.0,50.0,50.0,17036500,0,0
2021-09-17,50.0,50.0,50.0,50.0,1495000,0,0
2021-09-20,50.0,50.0,50.0,50.0,2536800,0,0
2021-09-21,50.0,50.0,50.0,50.0,2065100,0,0
2021-09-22,50.0,50.0,50.0,50.0,2112500,0,0
2021-09-23,50.0,51.0,50.0,50.0,14873400,0,0
2021-09-24,50.0,50.0,50.0,50.0,802500,0,0
2021-09-27,50.0,57.0,50.0,50.0,206183500,0,0
2021-09-28,51.0,52.0,50.0,50.0,34336700,0,0
2021-09-29,50.0,51.0,50.0,50.0,18276900,0,0
2021-09-30,50.0,53.0,50.0,50.0,45129200,0,0
2021-10-01,51.0,51.0,50.0,50.0,11649900,0,0
2021-10-04,50.0,51.0,50.0,50.0,4989200,0,0
2021-10-05,50.0,50.0,50.0,50.0,1856600,0,0
2021-10-06,50.0,50.0,50.0,50.0,57000,0,0
2021-10-07,50.0,50.0,50.0,50.0,191200,0,0
2021-10-08,50.0,50.0,50.0,50.0,8100,0,0
2021-10-11,50.0,50.0,50.0,50.0,19500,0,0
2021-10-12,50.0,50.0,50.0,50.0,67800,0,0
2021-10-13,50.0,50.0,50.0,50.0,107200,0,0
2021-10-14,50.0,50.0,50.0,50.0,12644600,0,0
2021-10-15,50.0,50.0,50.0,50.0,8611500,0,0
2021-10-18,50.0,50.0,50.0,50.0,235300,0,0
2021-10-19,50.0,50.0,50.0,50.0,185400,0,0
2021-10-21,50.0,50.0,50.0,50.0,179500,0,0
2021-10-22,50.0,50.0,50.0,50.0,2900,0,0
2021-10-25,50.0,50.0,50.0,50.0,114600,0,0
2021-10-26,50.0,50.0,50.0,50.0,81400,0,0
2021-10-27,50.0,50.0,50.0,50.0,42600,0,0
2021-10-28,50.0,50.0,50.0,50.0,49100,0,0
2021-10-29,50.0,50.0,50.0,50.0,86900,0,0
2021-11-01,50.0,50.0,50.0,50.0,27900,0,0
2021-11-02,50.0,50.0,50.0,50.0,14100,0,0
2021-11-03,50.0,50.0,50.0,50.0,9500,0,0
2021-11-04,50.0,50.0,50.0,50.0,654900,0,0
2021-11-05,50.0,50.0,50.0,50.0,6400,0,0
2021-11-08,50.0,50.0,50.0,50.0,286900,0,0
2021-11-09,50.0,50.0,50.0,50.0,39800,0,0
2021-11-10,50.0,50.0,50.0,50.0,18400,0,0
2021-11-11,50.0,50.0,50.0,50.0,164900,0,0
2021-11-12,50.0,50.0,50.0,50.0,83100,0,0
2021-11-15,50.0,50.0,50.0,50.0,865300,0,0
2021-11-16,50.0,50.0,50.0,50.0,348800,0,0
2021-11-17,50.0,50.0,50.0,50.0,212200,0,0
2021-11-18,50.0,50.0,50.0,50.0,612800,0,0
2021-11-19,50.0,50.0,50.0,50.0,714100,0,0
2021-11-22,50.0,50.0,50.0,50.0,1327700,0,0
2021-11-23,50.0,50.0,50.0,50.0,2518100,0,0
2021-11-24,50.0,50.0,50.0,50.0,2167500,0,0
2021-11-25,50.0,50.0,50.0,50.0,476900,0,0
2021-11-26,50.0,50.0,50.0,50.0,2537400,0,0
2021-11-29,50.0,50.0,50.0,50.0,1026600,0,0
2021-11-30,50.0,50.0,50.0,50.0,1449800,0,0
2021-12-01,50.0,50.0,50.0,50.0,582700,0,0
2021-12-02,50.0,50.0,50.0,50.0,223700,0,0
2021-12-03,50.0,50.0,50.0,50.0,1160300,0,0
2021-12-06,50.0,50.0,50.0,50.0,134700,0,0
2021-12-07,50.0,50.0,50.0,50.0,137700,0,0
2021-12-08,50.0,50.0,50.0,50.0,77700,0,0
2021-12-09,50.0,50.0,50.0,50.0,66100,0,0
2021-12-10,50.0,50.0,50.0,50.0,297100,0,0
2021-12-13,50.0,50.0,50.0,50.0,255700,0,0
2021-12-14,50.0,50.0,50.0,50.0,65700,0,0
2021-12-15,50.0,50.0,50.0,50.0,278100,0,0
2021-12-16,50.0,50.0,50.0,50.0,572000,0,0
