Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-08,73.0,77.0,69.0,70.0,169005200,0,0
2022-08-09,72.0,72.0,69.0,69.0,34618000,0,0
2022-08-10,69.0,71.0,69.0,70.0,20600200,0,0
2022-08-11,71.0,71.0,69.0,70.0,12838500,0,0
2022-08-12,70.0,71.0,70.0,70.0,6561800,0,0
2022-08-15,70.0,71.0,69.0,70.0,6339500,0,0
2022-08-16,70.0,71.0,69.0,70.0,7904300,0,0
2022-08-18,70.0,71.0,69.0,70.0,7993200,0,0
2022-08-19,71.0,71.0,69.0,70.0,5444500,0,0
2022-08-22,71.0,71.0,69.0,71.0,56021400,0,0
2022-08-23,71.0,71.0,69.0,69.0,4285300,0,0
2022-08-24,69.0,71.0,69.0,70.0,6826000,0,0
2022-08-25,70.0,71.0,70.0,70.0,2977200,0,0
2022-08-26,70.0,77.0,69.0,73.0,38541300,0,0
2022-08-29,73.0,73.0,70.0,70.0,12851100,0,0
2022-08-30,70.0,71.0,69.0,69.0,3669900,0,0
2022-08-31,69.0,71.0,69.0,70.0,7668400,0,0
2022-09-01,70.0,71.0,69.0,71.0,2002000,0,0
2022-09-02,71.0,71.0,69.0,70.0,1504000,0,0
2022-09-05,70.0,71.0,69.0,70.0,1022900,0,0
2022-09-06,71.0,71.0,69.0,70.0,3335100,0,0
2022-09-07,69.0,71.0,69.0,70.0,3130100,0,0
2022-09-08,70.0,71.0,70.0,70.0,1016700,0,0
2022-09-09,70.0,74.0,69.0,71.0,17339100,0,0
2022-09-12,71.0,71.0,70.0,70.0,1345900,0,0
2022-09-13,71.0,71.0,69.0,70.0,2148700,0,0
2022-09-14,70.0,71.0,70.0,70.0,1289700,0,0
2022-09-15,70.0,71.0,69.0,69.0,1110100,0,0
2022-09-16,69.0,71.0,69.0,70.0,1384900,0,0
2022-09-19,71.0,71.0,69.0,71.0,950600,0,0
2022-09-20,71.0,71.0,69.0,70.0,477200,0,0
2022-09-21,70.0,71.0,70.0,71.0,797700,0,0
2022-09-22,70.0,71.0,69.0,70.0,1490200,0,0
2022-09-23,70.0,71.0,69.0,69.0,651200,0,0
2022-09-26,69.0,71.0,69.0,70.0,1264600,0,0
2022-09-27,70.0,71.0,69.0,70.0,27307100,0,0
2022-09-28,70.0,71.0,69.0,69.0,928700,0,0
2022-09-29,70.0,71.0,69.0,70.0,2163400,0,0
2022-09-30,71.0,71.0,69.0,70.0,429400,0,0
2022-10-03,70.0,71.0,69.0,70.0,419700,0,0
2022-10-04,71.0,71.0,69.0,70.0,914300,0,0
2022-10-05,70.0,71.0,69.0,70.0,1129600,0,0
2022-10-06,70.0,71.0,69.0,70.0,722800,0,0
2022-10-07,70.0,71.0,69.0,71.0,671100,0,0
2022-10-10,71.0,78.0,70.0,76.0,11038300,0,0
2022-10-11,77.0,80.0,76.0,77.0,6867800,0,0
2022-10-12,77.0,83.0,77.0,83.0,17891600,0,0
2022-10-13,83.0,84.0,75.0,76.0,8494000,0,0
2022-10-14,75.0,79.0,75.0,78.0,2817800,0,0
2022-10-17,77.0,82.0,77.0,79.0,4299000,0,0
2022-10-18,77.0,80.0,76.0,78.0,1267400,0,0
2022-10-19,77.0,84.0,76.0,83.0,18436400,0,0
2022-10-20,82.0,84.0,80.0,80.0,14464200,0,0
2022-10-21,82.0,88.0,82.0,88.0,6163800,0,0
2022-10-24,94.0,96.0,87.0,92.0,14858800,0,0
2022-10-25,93.0,94.0,88.0,92.0,2510200,0,0
2022-10-26,92.0,96.0,91.0,93.0,1202100,0,0
2022-10-27,93.0,101.0,92.0,92.0,5152900,0,0
2022-10-28,96.0,96.0,88.0,93.0,2005300,0,0
2022-10-31,93.0,96.0,92.0,94.0,979700,0,0
2022-11-01,95.0,103.0,94.0,98.0,5378500,0,0
