Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-03-21,536.1702104048295,580.8510612718986,442.3404235839844,442.3404235839844,16477500,0.0,0
2002-03-22,446.80851315989077,473.6170239494842,446.80851315989077,460.2127685546875,16646500,0.0,0
2002-03-25,469.14892578125,469.14892578125,446.8085007440476,469.14892578125,3443500,0.0,0
2002-03-26,469.1489289936266,491.4893541837993,424.4680786132812,424.46807861328125,10676500,0.0,0
2002-03-27,433.40425341057056,446.8085086706913,433.40425341057056,442.3404235839844,10210500,0.0,0
2002-03-28,442.3404473876953,446.8085327148437,433.4042767333984,446.80853271484375,1695000,0.0,0
2002-03-29,446.8085327148437,446.8085327148437,446.8085327148437,446.80853271484375,0,0.0,0
2002-04-01,446.8085327148437,446.8085327148437,446.8085327148437,446.80853271484375,1535000,0.0,0
2002-04-02,446.8085327148437,446.8085327148437,446.8085327148437,446.80853271484375,1597500,0.0,0
2002-04-03,446.8085327148437,446.8085327148437,446.8085327148437,446.80853271484375,1667500,0.0,0
2002-04-04,446.8085327148437,446.8085327148437,446.8085327148437,446.80853271484375,1316500,0.0,0
2002-04-05,446.8085327148437,446.8085327148437,424.4681060791015,446.80853271484375,597000,0.0,0
2002-04-08,446.8085327148437,446.8085327148437,446.8085327148437,446.80853271484375,382000,0.0,0
2002-04-09,424.4680786132812,424.4680786132812,424.4680786132812,424.46807861328125,417500,0.0,0
2002-04-10,428.9361811372423,437.8723515776015,424.46809591706267,433.4042663574219,3011500,0.0,0
2002-04-11,433.4042486893503,433.4042486893503,419.99999357524666,424.46807861328125,4785000,0.0,0
2002-04-12,428.9361877441406,433.4042730331421,424.46810245513916,428.9361877441406,2624500,0.0,0
2002-04-15,428.9362013796542,433.40428681069227,415.53194508654,420.0000305175781,3234500,0.0,0
2002-04-16,420.00003051757807,428.9362013796542,415.53194508654,420.0000305175781,4121500,0.0,0
2002-04-17,415.53194508654,424.4681159486162,411.063859655502,420.0000305175781,1423500,0.0,0
2002-04-18,420.0000065629201,420.0000065629201,411.06383621051754,415.53192138671875,1132500,0.0,0
2002-04-19,415.5319213867188,415.5319213867188,411.06383621051754,415.53192138671875,278000,0.0,0
2002-04-22,415.5319280209749,415.5319280209749,406.5957575259001,411.0638427734375,343000,0.0,0
2002-04-23,411.0638427734375,411.0638427734375,406.5957575259001,411.0638427734375,227000,0.0,0
2002-04-24,411.0638427734375,411.0638427734375,406.5957575259001,411.0638427734375,248500,0.0,0
2002-04-25,411.0638427734375,411.0638427734375,402.12767227836275,411.0638427734375,1220000,0.0,0
2002-04-26,406.5957336425781,406.5957336425781,406.5957336425781,406.5957336425781,1680000,0.0,0
2002-04-29,402.127685546875,402.127685546875,402.127685546875,402.127685546875,12500,0.0,0
2002-04-30,406.5957510343162,415.5319213867188,402.12766585811494,415.53192138671875,388000,0.0,0
2002-05-01,415.5319213867188,415.5319213867188,415.5319213867188,415.53192138671875,55000,0.0,0
2002-05-02,411.0638427734375,411.0638427734375,411.0638427734375,411.0638427734375,35000,0.0,0
2002-05-03,411.0638427734375,411.0638427734375,411.0638427734375,411.0638427734375,62500,0.0,0
2002-05-06,411.0638427734375,415.5319280209749,411.0638427734375,411.0638427734375,122500,0.0,0
2002-05-07,411.06385633680554,411.06385633680554,402.127685546875,402.127685546875,265000,0.0,0
2002-05-08,402.127685546875,406.59577094184027,402.127685546875,402.127685546875,115000,0.0,0
2002-05-09,402.127685546875,402.127685546875,402.127685546875,402.127685546875,0,0.0,0
2002-05-10,402.12766154428544,402.12766154428544,397.6595764160156,397.6595764160156,15000,0.0,0
2002-05-13,402.127685546875,402.127685546875,402.127685546875,402.127685546875,30000,0.0,0
2002-05-14,402.127685546875,402.127685546875,402.127685546875,402.127685546875,0,0.0,0
2002-05-15,397.6595764160156,397.6595764160156,397.6595764160156,397.6595764160156,7000,0.0,0
2002-05-16,357.44683159722223,402.127685546875,357.44683159722223,402.127685546875,67500,0.0,0
2002-05-17,393.1915147569444,402.127685546875,393.1915147569444,402.127685546875,45000,0.0,0
2002-05-20,402.127685546875,402.127685546875,402.127685546875,402.127685546875,0,0.0,0
2002-05-21,397.6595764160156,397.6595764160156,397.6595764160156,397.6595764160156,500,0.0,0
2002-05-22,393.19149780273443,393.19149780273443,393.19149780273443,393.1914978027344,36500,0.0,0
2002-05-23,379.78723144531244,379.78723144531244,379.78723144531244,379.7872314453125,11000,0.0,0
2002-05-24,384.2553312882133,411.0638427734375,384.2553312882133,411.0638427734375,227500,0.0,0
2002-05-27,411.0638427734375,411.0638427734375,411.0638427734375,411.0638427734375,0,0.0,0
2002-05-28,411.0638427734375,411.0638427734375,411.0638427734375,411.0638427734375,10000,0.0,0
2002-05-29,402.12766585811494,415.5319213867188,402.12766585811494,415.53192138671875,219000,0.0,0
