Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-11-17,1345.5048828125,1345.5048828125,1234.408149369266,1345.5048828125,27077000,0.0,0.0
2011-11-18,1419.5693359375,1431.9134171195653,1320.8166864809782,1419.5693359375,21402000,0.0,0.0
2011-11-21,1382.5373535156252,1431.9136875697545,1370.1932700020927,1382.537353515625,11405000,0.0,0.0
2011-11-22,1444.2576904296875,1456.6017732538728,1357.84911066039,1444.2576904296875,13297000,0.0,0.0
2011-11-23,1419.5693359375,1431.9134171195653,1407.225254755435,1419.5693359375,2868500,0.0,0.0
2011-11-24,1431.9136962890627,1431.9136962890627,1394.8814455229663,1431.9136962890625,2275500,0.0,0.0
2011-11-25,1382.5373535156252,1407.2255205426898,1357.8491864885605,1382.537353515625,3037000,0.0,0.0
2011-11-28,1357.8489990234375,1407.2253262606534,1345.5049172141335,1357.8489990234375,1493000,0.0,0.0
2011-11-29,1382.5373535156252,1407.2255205426898,1345.505102975028,1382.537353515625,7673000,0.0,0.0
2011-11-30,1370.1931152343752,1382.5371973536037,1357.8490331151465,1370.193115234375,802000,0.0,0.0
2011-12-01,1370.1931152343752,1370.1931152343752,1370.1931152343752,1370.193115234375,0,0.0,0.0
2011-12-02,1357.8489990234375,1370.1930808327415,1345.5049172141335,1357.8489990234375,770500,0.0,0.0
2011-12-05,1333.1610107421875,1357.8491776077835,1320.8169273093895,1333.1610107421875,1698000,0.0,0.0
2011-12-06,1320.81689453125,1333.1609776577104,1296.1287282783296,1320.81689453125,1090000,0.0,0.0
2011-12-07,1308.4727783203125,1320.816861134655,1296.12869550597,1308.4727783203125,93500,0.0,0.0
2011-12-08,1308.4727783203125,1308.4727783203125,1283.7846126916274,1308.4727783203125,285500,0.0,0.0
2011-12-09,1320.81689453125,1320.81689453125,1283.7846451518692,1320.81689453125,469000,0.0,0.0
2011-12-12,1320.81689453125,1333.1609776577104,1308.4728114047898,1320.81689453125,1068000,0.0,0.0
2011-12-13,1308.4727783203125,1320.816861134655,1283.7846126916274,1308.4727783203125,357000,0.0,0.0
2011-12-14,1283.7845458984375,1296.1286280705378,1283.7845458984375,1283.7845458984375,153000,0.0,0.0
2011-12-15,1259.0966796875,1283.784849877451,1259.0966796875,1259.0966796875,435500,0.0,0.0
2011-12-16,1283.7845458984375,1296.1286280705378,1259.0963815542368,1283.7845458984375,262000,0.0,0.0
2011-12-19,1283.7845458984375,1283.7845458984375,1259.0963815542368,1283.7845458984375,357500,0.0,0.0
2011-12-20,1283.7845458984375,1283.7845458984375,1259.0963815542368,1283.7845458984375,384500,0.0,0.0
2011-12-21,1283.7845458984375,1283.7845458984375,1259.0963815542368,1283.7845458984375,456500,0.0,0.0
2011-12-22,1320.81689453125,1333.1609776577104,1271.440562025409,1320.81689453125,2616000,0.0,0.0
2011-12-23,1345.5048828125,1370.1930457998853,1333.1608013188074,1345.5048828125,2532500,0.0,0.0
2011-12-27,1296.128662109375,1345.5049920944941,1296.128662109375,1296.128662109375,217500,0.0,0.0
2011-12-28,1283.7845458984375,1296.1286280705378,1283.7845458984375,1283.7845458984375,87000,0.0,0.0
2011-12-29,1296.128662109375,1296.128662109375,1283.7845796130953,1296.128662109375,194500,0.0,0.0
2011-12-30,1345.5048828125,1345.5048828125,1283.7844753440368,1345.5048828125,4517000,0.0,0.0
2012-01-02,1296.128662109375,1320.8168271019345,1283.7845796130953,1296.128662109375,25500,0.0,0.0
2012-01-03,1296.128662109375,1308.4727446056547,1283.7845796130953,1296.128662109375,169000,0.0,0.0
2012-01-04,1283.7845458984375,1296.1286280705378,1283.7845458984375,1283.7845458984375,300500,0.0,0.0
2012-01-05,1320.81689453125,1320.81689453125,1296.1287282783296,1320.81689453125,1468000,0.0,0.0
2012-01-06,1357.8489990234375,1357.8489990234375,1308.4726717862216,1357.8489990234375,3298000,0.0,0.0
2012-01-09,1357.8489990234375,1370.1930808327415,1333.1608354048294,1357.8489990234375,500500,0.0,0.0
2012-01-10,1357.8489990234375,1357.8489990234375,1333.1608354048294,1357.8489990234375,164500,0.0,0.0
2012-01-11,1357.8489990234375,1370.1930808327415,1345.5049172141335,1357.8489990234375,385500,0.0,0.0
2012-01-12,1333.1610107421875,1357.8491776077835,1333.1610107421875,1333.1610107421875,20000,0.0,0.0
2012-01-13,1333.1610107421875,1333.1610107421875,1333.1610107421875,1333.1610107421875,0,0.0,0.0
2012-01-16,1320.81689453125,1320.81689453125,1320.81689453125,1320.81689453125,41500,0.0,0.0
2012-01-17,1333.1610107421875,1333.1610107421875,1308.4728438765915,1333.1610107421875,268500,0.0,0.0
2012-01-18,1357.8489990234375,1357.8489990234375,1320.8167535955256,1357.8489990234375,703500,0.0,0.0
2012-01-19,1333.1610107421875,1357.8491776077835,1333.1610107421875,1333.1610107421875,91000,0.0,0.0
2012-01-20,1357.8489990234375,1357.8489990234375,1320.8167535955256,1357.8489990234375,449000,0.0,0.0
