Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-11-06,30.0,30.0,20.0,20.0,0,0,0
2001-11-07,30.0,30.0,20.0,20.0,0,0,0
2001-11-08,30.0,30.0,25.0,25.0,0,0,0
2001-11-09,25.0,25.0,25.0,25.0,0,0,0
2001-11-12,30.0,30.0,25.0,25.0,0,0,0
2001-11-13,30.0,30.0,25.0,25.0,0,0,0
2001-11-14,30.0,30.0,25.0,25.0,0,0,0
2001-11-15,35.0,35.0,30.0,30.0,0,0,0
2001-11-16,35.0,35.0,30.0,30.0,0,0,0
2001-11-19,30.0,30.0,25.0,25.0,23500,0,0
2001-11-20,25.0,25.0,25.0,25.0,22000,0,0
2001-11-21,25.0,25.0,25.0,25.0,0,0,0
2001-11-22,25.0,25.0,25.0,25.0,11500,0,0
2001-11-23,25.0,25.0,25.0,25.0,0,0,0
2001-11-26,25.0,25.0,25.0,25.0,0,0,0
2001-11-27,25.0,25.0,25.0,25.0,0,0,0
2001-11-28,25.0,25.0,25.0,25.0,0,0,0
2001-11-29,25.0,25.0,25.0,25.0,0,0,0
2001-11-30,25.0,25.0,25.0,25.0,0,0,0
2001-12-03,25.0,25.0,25.0,25.0,0,0,0
2001-12-04,25.0,25.0,25.0,25.0,0,0,0
2001-12-05,25.0,25.0,25.0,25.0,0,0,0
2001-12-06,25.0,25.0,25.0,25.0,0,0,0
2001-12-07,25.0,25.0,25.0,25.0,0,0,0
2001-12-10,25.0,25.0,25.0,25.0,0,0,0
2001-12-11,25.0,25.0,25.0,25.0,0,0,0
2001-12-12,25.0,25.0,25.0,25.0,0,0,0
2001-12-13,25.0,25.0,25.0,25.0,0,0,0
2001-12-14,25.0,25.0,25.0,25.0,0,0,0
2001-12-17,25.0,25.0,25.0,25.0,0,0,0
2001-12-18,25.0,25.0,25.0,25.0,0,0,0
2001-12-19,25.0,25.0,25.0,25.0,0,0,0
2001-12-20,25.0,25.0,25.0,25.0,0,0,0
2001-12-21,25.0,25.0,25.0,25.0,0,0,0
2001-12-24,25.0,25.0,25.0,25.0,0,0,0
2001-12-25,25.0,25.0,25.0,25.0,0,0,0
2001-12-26,25.0,25.0,25.0,25.0,0,0,0
2001-12-27,25.0,25.0,25.0,25.0,0,0,0
2001-12-28,25.0,25.0,25.0,25.0,0,0,0
2001-12-31,25.0,25.0,25.0,25.0,0,0,0
2002-01-01,25.0,25.0,25.0,25.0,0,0,0
2002-01-02,25.0,25.0,25.0,25.0,0,0,0
