Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-08,110.0,135.0,93.0,117.0,924347200,0,0
2023-02-09,118.0,127.0,110.0,118.0,153424400,0,0
2023-02-10,118.0,137.0,117.0,131.0,445460900,0,0
2023-02-13,133.0,133.0,122.0,122.0,67186000,0,0
2023-02-14,114.0,125.0,114.0,119.0,74972900,0,0
2023-02-15,120.0,129.0,118.0,126.0,131676100,0,0
2023-02-16,127.0,127.0,122.0,122.0,30929200,0,0
2023-02-17,123.0,125.0,115.0,116.0,28320500,0,0
2023-02-20,116.0,122.0,110.0,113.0,22371500,0,0
2023-02-21,113.0,116.0,109.0,112.0,15316700,0,0
2023-02-22,114.0,118.0,112.0,114.0,21636500,0,0
2023-02-23,115.0,121.0,111.0,115.0,56073600,0,0
2023-02-24,116.0,117.0,112.0,112.0,25950400,0,0
2023-02-27,113.0,114.0,111.0,112.0,9139800,0,0
2023-02-28,112.0,113.0,111.0,112.0,4736400,0,0
2023-03-01,112.0,113.0,109.0,112.0,11539600,0,0
2023-03-02,112.0,113.0,105.0,109.0,19803800,0,0
2023-03-03,109.0,120.0,109.0,114.0,66258800,0,0
2023-03-06,114.0,120.0,113.0,117.0,58812400,0,0
2023-03-07,118.0,118.0,111.0,117.0,28316500,0,0
2023-03-08,116.0,118.0,112.0,116.0,24190700,0,0
2023-03-09,116.0,122.0,114.0,120.0,45372600,0,0
2023-03-10,121.0,122.0,116.0,118.0,25459700,0,0
2023-03-13,118.0,125.0,116.0,120.0,53702100,0,0
2023-03-14,121.0,125.0,116.0,117.0,40161900,0,0
2023-03-15,119.0,123.0,118.0,123.0,26099800,0,0
2023-03-16,124.0,166.0,119.0,166.0,258191200,0,0
2023-03-17,180.0,224.0,166.0,220.0,339205100,0,0
2023-03-20,220.0,266.0,206.0,224.0,253868500,0,0
2023-03-21,226.0,246.0,210.0,210.0,153528600,0,0
2023-03-24,202.0,224.0,196.0,196.0,97504700,0,0
