Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-24,159.0,159.0,159.0,159.0,88600,0,0
2021-05-25,214.0,214.0,214.0,214.0,3843400,0,0
2021-05-27,266.0,266.0,218.0,266.0,139171200,0,0
2021-05-28,274.0,326.0,248.0,266.0,117880800,0,0
2021-05-31,266.0,266.0,248.0,248.0,50883900,0,0
2021-06-02,240.0,240.0,232.0,232.0,49703600,0,0
2021-06-03,216.0,216.0,216.0,216.0,52906900,0,0
2021-06-04,202.0,202.0,202.0,202.0,39296600,0,0
2021-06-07,188.0,188.0,188.0,188.0,24430900,0,0
2021-06-08,188.0,220.0,175.0,189.0,198397500,0,0
2021-06-09,190.0,204.0,176.0,178.0,59853000,0,0
2021-06-10,179.0,184.0,167.0,175.0,36511700,0,0
2021-06-11,179.0,183.0,170.0,175.0,12028100,0,0
2021-06-14,175.0,185.0,171.0,177.0,49754400,0,0
2021-06-15,177.0,180.0,173.0,176.0,4555300,0,0
2021-06-16,175.0,176.0,165.0,168.0,5894000,0,0
2021-06-17,168.0,218.0,167.0,204.0,68769000,0,0
2021-06-18,204.0,204.0,190.0,190.0,21216200,0,0
2021-06-21,190.0,198.0,181.0,181.0,4079800,0,0
2021-06-22,181.0,194.0,176.0,184.0,4326800,0,0
2021-06-23,184.0,184.0,180.0,180.0,1894600,0,0
2021-06-24,180.0,193.0,178.0,178.0,1812500,0,0
2021-06-25,178.0,183.0,176.0,176.0,972300,0,0
2021-06-28,182.0,182.0,166.0,166.0,2355800,0,0
2021-06-29,156.0,166.0,155.0,155.0,4028600,0,0
2021-06-30,153.0,161.0,145.0,149.0,2791700,0,0
2021-07-01,150.0,150.0,140.0,141.0,1833400,0,0
2021-07-02,141.0,151.0,141.0,142.0,2559700,0,0
2021-07-05,142.0,145.0,141.0,142.0,861900,0,0
2021-07-06,142.0,142.0,136.0,139.0,1868400,0,0
2021-07-07,138.0,141.0,133.0,138.0,11853700,0,0
2021-07-08,138.0,139.0,129.0,136.0,58994200,0,0
2021-07-09,136.0,136.0,127.0,127.0,48626800,0,0
2021-07-12,127.0,131.0,119.0,120.0,6091600,0,0
2021-07-13,118.0,120.0,115.0,116.0,3394500,0,0
2021-07-14,112.0,119.0,108.0,108.0,4858000,0,0
2021-07-15,101.0,118.0,101.0,118.0,2232800,0,0
2021-07-16,118.0,121.0,111.0,118.0,1791200,0,0
2021-07-19,118.0,124.0,113.0,119.0,2415700,0,0
2021-07-21,120.0,160.0,115.0,157.0,41282800,0,0
2021-07-22,159.0,210.0,157.0,210.0,139818400,0,0
