Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-12-03,840.0,870.0,800.0,840.0,241000,0,0
2007-12-04,840.0,850.0,840.0,840.0,244000,0,0
2007-12-05,850.0,850.0,850.0,850.0,76000,0,0
2007-12-06,840.0,850.0,840.0,840.0,131500,0,0
2007-12-07,850.0,850.0,840.0,850.0,107500,0,0
2007-12-10,840.0,850.0,840.0,840.0,125500,0,0
2007-12-11,840.0,850.0,840.0,840.0,265000,0,0
2007-12-12,860.0,860.0,860.0,860.0,2000,0,0
2007-12-13,850.0,850.0,850.0,850.0,17000,0,0
2007-12-14,850.0,850.0,850.0,850.0,0,0,0
2007-12-17,820.0,870.0,820.0,820.0,245000,0,0
2007-12-18,820.0,820.0,820.0,820.0,0,0,0
2007-12-26,820.0,820.0,820.0,820.0,0,0,0
2007-12-27,820.0,820.0,700.0,820.0,17500,0,0
2007-12-28,720.0,720.0,720.0,720.0,7500,0,0
2007-12-31,720.0,720.0,720.0,720.0,0,0,0
2008-01-02,720.0,720.0,720.0,720.0,12500,0,0
2008-01-03,710.0,720.0,710.0,710.0,37000,0,0
2008-01-04,700.0,700.0,700.0,700.0,15000,0,0
2008-01-07,700.0,700.0,700.0,700.0,12500,0,0
2008-01-08,710.0,710.0,710.0,710.0,40000,0,0
2008-01-09,680.0,740.0,680.0,740.0,11000,0,0
2008-01-14,860.0,880.0,780.0,860.0,385000,0,0
2008-01-15,880.0,880.0,840.0,880.0,11500,0,0
2008-01-16,830.0,830.0,830.0,830.0,9000,0,0
2008-01-17,920.0,930.0,920.0,920.0,1000,0,0
2008-01-18,880.0,880.0,880.0,880.0,130000,0,0
2008-01-21,810.0,810.0,810.0,810.0,10000,0,0
2008-01-25,820.0,820.0,820.0,820.0,2500,0,0
2008-01-30,820.0,820.0,820.0,820.0,50000,0,0
2008-02-05,840.0,840.0,840.0,840.0,15500,0,0
2008-02-11,820.0,840.0,820.0,820.0,126000,0,0
2008-02-12,800.0,820.0,800.0,800.0,65000,0,0
2008-02-14,820.0,820.0,820.0,820.0,55000,0,0
2008-02-15,790.0,790.0,790.0,790.0,166000,0,0
2008-02-18,800.0,800.0,790.0,800.0,73000,0,0
2008-02-19,790.0,790.0,790.0,790.0,12000,0,0
2008-02-20,790.0,800.0,790.0,790.0,218000,0,0
2008-02-21,800.0,800.0,800.0,800.0,30000,0,0
2008-02-22,800.0,800.0,800.0,800.0,20000,0,0
2008-02-25,790.0,790.0,790.0,790.0,10000,0,0
2008-02-26,770.0,780.0,770.0,770.0,67500,0,0
2008-02-27,790.0,790.0,790.0,790.0,100000,0,0
2008-03-03,790.0,790.0,790.0,790.0,100000,0,0
2008-03-05,790.0,790.0,790.0,790.0,75000,0,0
2008-03-06,790.0,790.0,790.0,790.0,50000,0,0
2008-03-31,670.0,690.0,670.0,670.0,132500,0,0
2008-04-04,670.0,670.0,670.0,670.0,0,0,0
2008-04-07,670.0,670.0,670.0,670.0,0,0,0
2008-04-09,700.0,700.0,700.0,700.0,11500,0,0
2008-04-21,700.0,700.0,700.0,700.0,3000,0,0
2008-04-24,700.0,700.0,700.0,700.0,30000,0,0
2008-04-29,700.0,700.0,700.0,700.0,50000,0,0
2008-04-30,800.0,800.0,800.0,800.0,500,0,0
2008-05-05,790.0,790.0,790.0,790.0,500,0,0
2008-05-06,790.0,790.0,790.0,790.0,0,0,0
2008-05-07,790.0,790.0,790.0,790.0,0,0,0
2008-05-08,790.0,790.0,790.0,790.0,0,0,0
2008-05-09,790.0,790.0,790.0,790.0,0,0,0
2008-05-12,790.0,790.0,790.0,790.0,0,0,0
2008-05-13,790.0,790.0,790.0,790.0,0,0,0
2008-05-14,690.0,820.0,690.0,820.0,60000,0,0
2008-05-15,800.0,820.0,780.0,780.0,165000,0,0
2008-05-16,800.0,800.0,790.0,790.0,76500,0,0
2008-05-21,770.0,800.0,770.0,800.0,9000,0,0
2008-05-22,800.0,950.0,800.0,900.0,530500,0,0
2008-05-23,930.0,930.0,850.0,880.0,185000,0,0
2008-05-26,880.0,880.0,880.0,880.0,0,0,0
2008-05-27,880.0,880.0,880.0,880.0,0,0,0
2008-05-28,830.0,830.0,800.0,800.0,5500,0,0
2008-05-29,770.0,770.0,770.0,770.0,5000,0,0
2008-05-30,730.0,730.0,730.0,730.0,5500,0,0
2008-06-02,700.0,700.0,700.0,700.0,80000,0,0
2008-06-03,650.0,650.0,640.0,650.0,64500,0,0
2008-06-06,650.0,650.0,650.0,650.0,500,0,0
2008-06-10,650.0,650.0,650.0,650.0,12500,0,0
2008-06-11,650.0,740.0,650.0,740.0,16000,0,0
2008-06-12,660.0,660.0,660.0,660.0,30000,0,0
2008-06-16,680.0,680.0,680.0,680.0,3000,0,0
2008-06-18,650.0,700.0,650.0,700.0,55000,0,0
2008-06-19,650.0,660.0,650.0,650.0,87000,0,0
2008-06-24,720.0,720.0,720.0,720.0,500,0,0
2008-06-30,610.0,640.0,600.0,610.0,350500,0,0
2008-07-01,600.0,600.0,600.0,600.0,1500,0,0
2008-07-02,610.0,750.0,610.0,750.0,18000,0,0
2008-07-04,780.0,780.0,780.0,780.0,500,0,0
2008-07-08,600.0,600.0,600.0,600.0,500,0,0
2008-07-09,600.0,600.0,600.0,600.0,10500,0,0
2008-07-10,650.0,650.0,650.0,650.0,7500,0,0
2008-07-15,690.0,690.0,690.0,690.0,500,0,0
2008-07-17,650.0,650.0,500.0,500.0,16000,0,0
2008-07-21,560.0,560.0,560.0,560.0,500,0,0
2008-07-23,600.0,600.0,600.0,600.0,2500,0,0
2008-07-24,600.0,600.0,600.0,600.0,83000,0,0
2008-07-28,660.0,660.0,650.0,660.0,3500,0,0
2008-08-05,600.0,600.0,600.0,600.0,3000,0,0
2008-08-06,500.0,600.0,500.0,500.0,30500,0,0
2008-08-07,600.0,600.0,450.0,600.0,1000,0,0
2008-08-08,500.0,500.0,450.0,500.0,351500,0,0
2008-08-11,500.0,500.0,500.0,500.0,5000,0,0
2008-08-12,480.0,480.0,480.0,480.0,4000,0,0
2008-08-14,500.0,500.0,480.0,500.0,162500,0,0
2008-08-15,480.0,480.0,480.0,480.0,1500,0,0
2008-08-26,430.0,430.0,430.0,430.0,5000,0,0
2008-08-28,420.0,435.0,390.0,420.0,16500,0,0
2008-09-01,395.0,395.0,350.0,350.0,8000,0,0
2008-09-02,350.0,350.0,350.0,350.0,0,0,0
2008-09-03,355.0,355.0,355.0,355.0,10000,0,0
2008-09-04,350.0,350.0,310.0,350.0,23500,0,0
2008-09-08,325.0,350.0,325.0,325.0,92500,0,0
2008-09-09,325.0,350.0,325.0,325.0,150000,0,0
2008-09-11,300.0,300.0,300.0,300.0,25000,0,0
2008-09-17,300.0,300.0,250.0,250.0,30000,0,0
2008-09-19,225.0,300.0,225.0,300.0,26000,0,0
2008-09-23,300.0,300.0,300.0,300.0,2500,0,0
2008-09-26,300.0,300.0,300.0,300.0,6000,0,0
2008-10-06,300.0,300.0,250.0,250.0,204500,0,0
2008-10-09,250.0,250.0,250.0,250.0,0,0,0
2008-10-10,250.0,250.0,250.0,250.0,0,0,0
2008-10-13,225.0,250.0,225.0,225.0,30500,0,0
2008-10-14,205.0,225.0,205.0,225.0,27500,0,0
2008-10-15,225.0,225.0,225.0,225.0,4000,0,0
2008-10-24,225.0,225.0,225.0,225.0,0,0,0
2008-10-27,205.0,205.0,205.0,205.0,27500,0,0
2008-10-28,185.0,185.0,185.0,185.0,12500,0,0
2008-11-03,185.0,185.0,185.0,185.0,21500,0,0
2008-11-07,195.0,195.0,195.0,195.0,3500,0,0
2008-11-12,195.0,195.0,195.0,195.0,5000,0,0
2008-11-14,195.0,195.0,195.0,195.0,5000,0,0
2008-11-28,195.0,195.0,195.0,195.0,0,0,0
2008-12-31,195.0,195.0,195.0,195.0,0,0,0
2009-01-06,195.0,195.0,195.0,195.0,0,0,0
2009-01-07,180.0,180.0,180.0,180.0,20000,0,0
2009-01-21,140.0,140.0,140.0,140.0,500,0,0
2009-03-19,180.0,180.0,180.0,180.0,5000,0,0
2009-03-20,180.0,180.0,180.0,180.0,20000,0,0
2009-03-24,180.0,180.0,180.0,180.0,10000,0,0
2009-04-09,180.0,180.0,180.0,180.0,0,0,0
2009-04-13,180.0,180.0,180.0,180.0,5000,0,0
2009-04-14,180.0,180.0,180.0,180.0,5000,0,0
2009-04-15,180.0,200.0,180.0,200.0,32000,0,0
2009-04-16,200.0,200.0,200.0,200.0,7500,0,0
2009-04-17,180.0,200.0,180.0,190.0,97000,0,0
2009-04-20,190.0,190.0,181.0,190.0,20000,0,0
2009-04-22,191.0,191.0,180.0,180.0,55500,0,0
2009-04-30,200.0,200.0,200.0,200.0,10000,0,0
2009-05-01,210.0,210.0,210.0,210.0,500,0,0
2009-05-13,260.0,260.0,260.0,260.0,82000,0,0
2009-05-14,265.0,310.0,265.0,265.0,57000,0,0
2009-05-21,265.0,265.0,265.0,265.0,0,0,0
2009-05-22,220.0,300.0,200.0,300.0,430500,0,0
2009-05-28,300.0,300.0,300.0,300.0,1500,0,0
2009-06-02,230.0,230.0,225.0,230.0,45000,0,0
2009-06-03,210.0,210.0,205.0,210.0,18500,0,0
2009-06-05,235.0,235.0,235.0,235.0,19000,0,0
2009-06-10,235.0,235.0,230.0,235.0,86000,0,0
2009-06-11,235.0,235.0,235.0,235.0,86000,0,0
2009-06-12,235.0,235.0,235.0,235.0,86000,0,0
2009-06-15,235.0,235.0,235.0,235.0,86000,0,0
2009-06-16,235.0,235.0,235.0,235.0,86000,0,0
2009-06-17,235.0,235.0,235.0,235.0,86000,0,0
2009-06-18,275.0,275.0,275.0,275.0,23500,0,0
2009-06-19,275.0,275.0,275.0,275.0,23500,0,0
2009-06-22,225.0,225.0,225.0,225.0,10000,0,0
2009-06-23,225.0,225.0,225.0,225.0,10000,0,0
2009-06-24,225.0,225.0,225.0,225.0,10000,0,0
2009-06-25,225.0,225.0,225.0,225.0,10000,0,0
2009-06-26,225.0,225.0,225.0,225.0,10000,0,0
2009-06-29,225.0,225.0,225.0,225.0,10000,0,0
2009-06-30,215.0,215.0,215.0,215.0,5000,0,0
