Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-16,368.0,368.0,368.0,368.0,13700,0,0
2019-05-17,460.0,460.0,460.0,460.0,9900,0,0
2019-05-20,575.0,575.0,575.0,575.0,855700,0,0
2019-05-21,625.0,715.0,490.0,590.0,15174300,0,0
2019-05-22,590.0,735.0,590.0,650.0,9722500,0,0
2019-05-23,660.0,695.0,650.0,655.0,1502100,0,0
2019-05-24,660.0,670.0,590.0,600.0,1098600,0,0
2019-05-27,600.0,615.0,500.0,520.0,1453700,0,0
2019-05-28,520.0,580.0,520.0,520.0,379200,0,0
2019-05-29,530.0,570.0,525.0,525.0,344500,0,0
2019-05-30,525.0,525.0,525.0,525.0,0,0,0
2019-05-31,550.0,595.0,535.0,560.0,285700,0,0
2019-06-03,560.0,560.0,560.0,560.0,0,0,0
2019-06-04,560.0,560.0,560.0,560.0,0,0,0
2019-06-05,560.0,560.0,560.0,560.0,0,0,0
2019-06-06,560.0,560.0,560.0,560.0,0,0,0
2019-06-07,560.0,560.0,560.0,560.0,0,0,0
2019-06-10,560.0,560.0,530.0,530.0,91400,0,0
2019-06-11,525.0,550.0,515.0,535.0,127700,0,0
2019-06-12,535.0,550.0,525.0,550.0,159900,0,0
2019-06-13,550.0,550.0,530.0,540.0,167300,0,0
2019-06-14,540.0,585.0,535.0,555.0,1811100,0,0
2019-06-17,555.0,580.0,550.0,555.0,879500,0,0
2019-06-18,555.0,585.0,545.0,585.0,1320700,0,0
2019-06-20,570.0,585.0,570.0,575.0,1030400,0,0
2019-06-21,575.0,585.0,570.0,585.0,335300,0,0
2019-06-24,580.0,585.0,565.0,575.0,488600,0,0
2019-06-25,575.0,625.0,570.0,625.0,2374900,0,0
2019-06-26,625.0,625.0,610.0,615.0,673000,0,0
2019-06-27,610.0,615.0,605.0,610.0,556200,0,0
2019-06-28,605.0,615.0,605.0,615.0,127900,0,0
2019-07-01,615.0,620.0,610.0,620.0,915100,0,0
2019-07-02,620.0,680.0,620.0,680.0,1283000,0,0
2019-07-03,685.0,695.0,675.0,695.0,1556400,0,0
2019-07-04,695.0,865.0,690.0,865.0,3647200,0,0
2019-07-05,880.0,1075.0,870.0,1005.0,4745200,0,0
2019-07-08,1010.0,1010.0,960.0,970.0,2004200,0,0
2019-07-09,965.0,970.0,955.0,955.0,929400,0,0
2019-07-10,955.0,995.0,910.0,910.0,4198600,0,0
2019-07-11,910.0,925.0,900.0,900.0,1746800,0,0
2019-07-12,900.0,915.0,890.0,890.0,2156300,0,0
2019-07-15,890.0,955.0,885.0,910.0,4480300,0,0
2019-07-16,910.0,925.0,900.0,905.0,1073100,0,0
2019-07-17,910.0,935.0,900.0,915.0,3537700,0,0
2019-07-18,915.0,930.0,910.0,930.0,2166400,0,0
2019-07-19,935.0,965.0,935.0,960.0,2774900,0,0
2019-07-22,965.0,1010.0,960.0,1010.0,3970300,0,0
2019-07-23,1015.0,1030.0,995.0,1000.0,3068600,0,0
2019-07-24,1005.0,1105.0,1000.0,1095.0,7465600,0,0
2019-07-25,1100.0,1120.0,1065.0,1075.0,3875000,0,0
2019-07-26,1075.0,1080.0,1070.0,1070.0,1488900,0,0
2019-07-29,1070.0,1110.0,1070.0,1080.0,3598400,0,0
2019-07-30,1080.0,1080.0,1070.0,1075.0,826500,0,0
2019-07-31,1075.0,1085.0,1070.0,1075.0,1482600,0,0
2019-08-01,1075.0,1090.0,1070.0,1070.0,1409600,0,0
2019-08-02,1070.0,1100.0,1070.0,1095.0,3345600,0,0
2019-08-05,1100.0,1100.0,1075.0,1075.0,1165700,0,0
2019-08-06,1070.0,1100.0,1040.0,1095.0,2588300,0,0
2019-08-07,1095.0,1105.0,1095.0,1105.0,477700,0,0
2019-08-08,1110.0,1160.0,1105.0,1160.0,2740500,0,0
2019-08-09,1165.0,1175.0,1155.0,1155.0,1479600,0,0
2019-08-12,1155.0,1195.0,1145.0,1145.0,2584900,0,0
2019-08-13,1145.0,1180.0,1140.0,1155.0,4288600,0,0
2019-08-14,1155.0,1190.0,1155.0,1190.0,3746600,0,0
2019-08-15,1185.0,1190.0,1180.0,1185.0,755700,0,0
2019-08-16,1180.0,1210.0,1180.0,1210.0,2614600,0,0
2019-08-19,1210.0,1245.0,1210.0,1220.0,3376600,0,0
2019-08-20,1220.0,1255.0,1215.0,1225.0,4341900,0,0
