Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-05-12,250.0,260.0,240.0,255.0,8082500,0,0
2004-05-13,250.0,255.0,245.0,250.0,3426000,0,0
2004-05-14,245.0,245.0,230.0,240.0,6824000,0,0
2004-05-17,235.0,235.0,200.0,205.0,8744000,0,0
2004-05-18,215.0,225.0,200.0,215.0,14472500,0,0
2004-05-19,225.0,225.0,215.0,220.0,6585000,0,0
2004-05-20,220.0,220.0,220.0,220.0,0,0,0
2004-05-21,220.0,235.0,215.0,230.0,10441000,0,0
2004-05-24,235.0,235.0,225.0,230.0,3255000,0,0
2004-05-25,215.0,225.0,215.0,215.0,3071500,0,0
2004-05-26,220.0,225.0,220.0,225.0,2203000,0,0
2004-05-27,220.0,225.0,220.0,220.0,1068500,0,0
2004-05-28,220.0,225.0,215.0,225.0,278500,0,0
2004-05-31,215.0,220.0,215.0,220.0,252000,0,0
2004-06-01,215.0,215.0,215.0,215.0,1664000,0,0
2004-06-02,215.0,215.0,210.0,215.0,137500,0,0
2004-06-03,215.0,215.0,215.0,215.0,0,0,0
2004-06-04,205.0,210.0,200.0,210.0,1150500,0,0
2004-06-07,210.0,210.0,205.0,210.0,843500,0,0
2004-06-08,210.0,215.0,205.0,210.0,1191000,0,0
2004-06-09,205.0,210.0,205.0,210.0,3836500,0,0
2004-06-10,205.0,205.0,205.0,205.0,2490500,0,0
2004-06-11,205.0,210.0,205.0,205.0,1179000,0,0
2004-06-14,205.0,205.0,200.0,200.0,3493500,0,0
2004-06-15,200.0,205.0,200.0,200.0,675000,0,0
2004-06-16,205.0,210.0,200.0,205.0,853000,0,0
2004-06-17,205.0,225.0,205.0,220.0,10866500,0,0
2004-06-18,220.0,220.0,210.0,215.0,4457500,0,0
2004-06-21,215.0,215.0,210.0,210.0,826500,0,0
2004-06-22,210.0,210.0,210.0,210.0,670500,0,0
2004-06-23,210.0,215.0,210.0,215.0,3486000,0,0
2004-06-24,210.0,220.0,210.0,220.0,2422000,0,0
2004-06-25,215.0,215.0,215.0,215.0,2053500,0,0
2004-06-28,215.0,215.0,210.0,215.0,771500,0,0
2004-06-29,210.0,235.0,210.0,230.0,8321500,0,0
2004-06-30,230.0,240.0,230.0,235.0,7114500,0,0
2004-07-01,235.0,245.0,235.0,240.0,7625500,0,0
2004-07-02,240.0,245.0,240.0,245.0,3074500,0,0
2004-07-05,245.0,245.0,245.0,245.0,0,0,0
2004-07-06,240.0,240.0,240.0,240.0,622500,0,0
2004-07-07,235.0,265.0,235.0,265.0,23526000,0,0
2004-07-08,260.0,260.0,245.0,245.0,6274500,0,0
2004-07-09,250.0,250.0,245.0,250.0,2547500,0,0
2004-07-12,250.0,250.0,240.0,245.0,3364000,0,0
2004-07-13,240.0,245.0,240.0,245.0,763000,0,0
2004-07-14,235.0,235.0,230.0,235.0,2425500,0,0
2004-07-15,225.0,240.0,225.0,240.0,2861500,0,0
2004-07-16,240.0,240.0,235.0,240.0,2622500,0,0
2004-07-19,240.0,240.0,235.0,235.0,1315000,0,0
2004-07-20,235.0,235.0,230.0,230.0,367000,0,0
2004-07-21,235.0,235.0,230.0,235.0,442500,0,0
2004-07-22,240.0,250.0,240.0,245.0,8113500,0,0
2004-07-23,245.0,255.0,240.0,250.0,16915500,0,0
2004-07-26,245.0,255.0,240.0,250.0,4327500,0,0
2004-07-27,250.0,250.0,245.0,245.0,1435000,0,0
2004-07-28,250.0,250.0,235.0,240.0,3380500,0,0
2004-07-29,235.0,240.0,235.0,235.0,523000,0,0
2004-07-30,235.0,240.0,235.0,240.0,377000,0,0
2004-08-02,240.0,240.0,230.0,235.0,80500,0,0
2004-08-03,230.0,235.0,230.0,235.0,987500,0,0
2004-08-04,230.0,230.0,230.0,230.0,204000,0,0
2004-08-05,230.0,240.0,230.0,235.0,1973500,0,0
2004-08-06,235.0,235.0,220.0,225.0,2909500,0,0
2004-08-09,220.0,220.0,220.0,220.0,125000,0,0
2004-08-10,225.0,225.0,220.0,220.0,2508500,0,0
2004-08-11,225.0,230.0,220.0,225.0,1408500,0,0
2004-08-12,225.0,225.0,225.0,225.0,380000,0,0
2004-08-13,220.0,225.0,220.0,220.0,365500,0,0
2004-08-16,220.0,225.0,220.0,220.0,548000,0,0
2004-08-17,220.0,220.0,220.0,220.0,0,0,0
2004-08-18,215.0,220.0,215.0,215.0,13000,0,0
2004-08-19,215.0,220.0,215.0,215.0,1250500,0,0
2004-08-20,210.0,220.0,210.0,210.0,412500,0,0
2004-08-23,215.0,220.0,210.0,210.0,798000,0,0
2004-08-24,215.0,215.0,210.0,210.0,1982000,0,0
2004-08-25,215.0,215.0,205.0,210.0,1272500,0,0
2004-08-26,215.0,215.0,205.0,205.0,3700500,0,0
2004-08-27,210.0,215.0,205.0,215.0,5169500,0,0
2004-08-30,210.0,210.0,205.0,210.0,4184500,0,0
2004-08-31,205.0,205.0,200.0,205.0,1285500,0,0
2004-09-01,210.0,215.0,210.0,215.0,8154000,0,0
2004-09-02,210.0,220.0,205.0,210.0,13530000,0,0
2004-09-03,210.0,210.0,205.0,210.0,7601000,0,0
2004-09-06,205.0,205.0,205.0,205.0,4183500,0,0
