Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-16,120.0,130.0,117.0,117.0,4981700,0,0
2023-02-17,106.0,106.0,106.0,106.0,1037800,0,0
2023-02-20,96.0,96.0,96.0,96.0,5048100,0,0
2023-02-21,87.0,105.0,87.0,105.0,213483400,0,0
2023-02-22,114.0,115.0,105.0,115.0,92099700,0,0
2023-02-23,118.0,126.0,113.0,126.0,119296300,0,0
2023-02-24,130.0,134.0,120.0,121.0,125773700,0,0
2023-02-27,122.0,133.0,119.0,133.0,86416300,0,0
2023-02-28,134.0,146.0,134.0,146.0,125578500,0,0
2023-03-01,146.0,155.0,132.0,137.0,113246300,0,0
2023-03-02,138.0,144.0,136.0,138.0,39801500,0,0
2023-03-03,140.0,143.0,135.0,140.0,25585300,0,0
2023-03-06,140.0,154.0,140.0,154.0,51570300,0,0
2023-03-07,157.0,169.0,156.0,163.0,101518200,0,0
2023-03-08,163.0,168.0,154.0,160.0,37403400,0,0
2023-03-09,162.0,168.0,158.0,164.0,30289200,0,0
2023-03-10,165.0,170.0,163.0,169.0,28822100,0,0
2023-03-13,170.0,173.0,169.0,170.0,22542000,0,0
2023-03-14,170.0,173.0,168.0,171.0,16319000,0,0
2023-03-15,171.0,174.0,170.0,172.0,25465800,0,0
2023-03-16,172.0,173.0,170.0,172.0,14351100,0,0
2023-03-17,173.0,173.0,171.0,172.0,9376500,0,0
2023-03-20,173.0,174.0,161.0,171.0,18907600,0,0
2023-03-21,171.0,173.0,170.0,172.0,6798600,0,0
2023-03-24,173.0,189.0,172.0,189.0,40440400,0,0
