Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-09,90.0,90.0,90.0,90.0,21058300,0,0
2022-08-10,81.0,81.0,81.0,81.0,16372100,0,0
2022-08-11,73.0,80.0,73.0,78.0,142126200,0,0
2022-08-12,78.0,80.0,76.0,77.0,23421100,0,0
2022-08-15,75.0,80.0,71.0,74.0,84913800,0,0
2022-08-16,77.0,77.0,73.0,73.0,14202300,0,0
2022-08-18,74.0,75.0,73.0,74.0,12359500,0,0
2022-08-19,74.0,75.0,72.0,73.0,12765600,0,0
2022-08-22,73.0,74.0,69.0,70.0,16181600,0,0
2022-08-23,65.0,72.0,65.0,69.0,15560200,0,0
2022-08-24,70.0,70.0,65.0,67.0,8276300,0,0
2022-08-25,68.0,69.0,66.0,69.0,6447300,0,0
2022-08-26,69.0,70.0,67.0,67.0,3923100,0,0
2022-08-29,67.0,67.0,64.0,64.0,7050700,0,0
2022-08-30,65.0,67.0,60.0,60.0,9187500,0,0
2022-08-31,60.0,61.0,55.0,56.0,14295900,0,0
2022-09-01,56.0,56.0,52.0,53.0,11005500,0,0
2022-09-02,48.0,53.0,48.0,50.0,10935400,0,0
2022-09-05,45.0,50.0,45.0,46.0,9705100,0,0
2022-09-06,46.0,50.0,44.0,50.0,10031300,0,0
2022-09-07,54.0,55.0,51.0,55.0,22099600,0,0
2022-09-08,60.0,60.0,55.0,56.0,17346900,0,0
2022-09-09,57.0,57.0,51.0,53.0,7565500,0,0
2022-09-12,53.0,54.0,50.0,52.0,4185800,0,0
2022-09-13,53.0,56.0,52.0,55.0,16786100,0,0
2022-09-14,55.0,60.0,54.0,60.0,36104800,0,0
2022-09-15,64.0,66.0,61.0,66.0,34277200,0,0
2022-09-16,69.0,72.0,60.0,64.0,62756900,0,0
2022-09-19,64.0,66.0,59.0,64.0,21659300,0,0
2022-09-20,65.0,69.0,62.0,65.0,21527300,0,0
2022-09-21,64.0,67.0,61.0,62.0,10081900,0,0
2022-09-22,63.0,65.0,60.0,64.0,12755600,0,0
2022-09-23,65.0,67.0,62.0,63.0,16536300,0,0
2022-09-26,63.0,65.0,61.0,62.0,4419000,0,0
2022-09-27,62.0,63.0,61.0,62.0,3432300,0,0
2022-09-28,61.0,63.0,60.0,60.0,4701600,0,0
2022-09-29,61.0,62.0,56.0,58.0,6666600,0,0
2022-09-30,58.0,58.0,53.0,54.0,4540500,0,0
2022-10-03,54.0,56.0,50.0,55.0,1946300,0,0
2022-10-04,56.0,56.0,51.0,52.0,3499800,0,0
2022-10-05,53.0,56.0,51.0,55.0,3960100,0,0
