Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-05-07,305.0,305.0,305.0,305.0,0,0,0
2001-05-24,305.0,305.0,305.0,305.0,0,0,0
2001-06-04,400.0,400.0,400.0,400.0,0,0,0
2001-08-17,650.0,650.0,650.0,650.0,0,0,0
2001-09-24,500.0,500.0,500.0,500.0,0,0,0
2001-09-28,500.0,500.0,500.0,500.0,0,0,0
2001-10-15,500.0,500.0,500.0,500.0,0,0,0
2001-11-09,500.0,500.0,500.0,500.0,0,0,0
2001-12-11,305.0,305.0,305.0,305.0,0,0,0
2001-12-14,300.0,300.0,300.0,300.0,0,0,0
2001-12-17,300.0,300.0,300.0,300.0,0,0,0
2001-12-18,300.0,300.0,300.0,300.0,0,0,0
2001-12-24,310.0,310.0,310.0,310.0,0,0,0
2001-12-25,310.0,310.0,310.0,310.0,0,0,0
2001-12-31,380.0,380.0,380.0,380.0,0,0,0
2002-01-01,380.0,380.0,380.0,380.0,0,0,0
2002-01-03,320.0,320.0,320.0,320.0,0,0,0
2002-01-31,160.0,160.0,160.0,160.0,0,0,0
2002-02-12,70.0,70.0,70.0,70.0,0,0,0
2002-02-22,60.0,60.0,60.0,60.0,0,0,0
2002-03-15,50.0,50.0,50.0,50.0,0,0,0
2002-03-29,45.0,45.0,45.0,45.0,0,0,0
2002-05-09,35.0,35.0,35.0,35.0,0,0,0
2002-07-16,5.0,5.0,5.0,5.0,0,0,0
2002-07-17,5.0,5.0,5.0,5.0,0,0,0
2002-07-18,5.0,5.0,5.0,5.0,0,0,0
2002-07-19,5.0,5.0,5.0,5.0,0,0,0
2002-07-22,5.0,5.0,5.0,5.0,0,0,0
2002-07-23,5.0,5.0,5.0,5.0,0,0,0
2002-07-24,5.0,5.0,5.0,5.0,0,0,0
2002-07-25,5.0,5.0,5.0,5.0,0,0,0
2002-07-26,5.0,5.0,5.0,5.0,0,0,0
2002-07-29,5.0,5.0,5.0,5.0,0,0,0
2002-07-30,5.0,5.0,5.0,5.0,0,0,0
2002-07-31,5.0,5.0,5.0,5.0,0,0,0
2002-08-01,5.0,5.0,5.0,5.0,0,0,0
2002-08-02,5.0,5.0,5.0,5.0,0,0,0
2002-08-05,5.0,5.0,5.0,5.0,0,0,0
