Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-10,168.0,168.0,168.0,168.0,1053200,0,0
2021-06-11,226.0,226.0,226.0,226.0,21930800,0,0
2021-06-14,244.0,244.0,212.0,212.0,15373300,0,0
2021-06-15,198.0,210.0,198.0,202.0,10691800,0,0
2021-06-16,200.0,220.0,190.0,202.0,12973600,0,0
2021-06-17,204.0,252.0,196.0,232.0,25698400,0,0
2021-06-18,234.0,246.0,216.0,218.0,10586400,0,0
2021-06-21,222.0,242.0,204.0,228.0,12623500,0,0
2021-06-22,230.0,240.0,222.0,232.0,7960400,0,0
2021-06-23,232.0,240.0,224.0,230.0,12898900,0,0
2021-06-24,232.0,240.0,220.0,224.0,21962800,0,0
2021-06-25,220.0,228.0,220.0,222.0,1644800,0,0
2021-06-28,222.0,228.0,220.0,224.0,8298400,0,0
2021-06-29,224.0,228.0,218.0,220.0,10225800,0,0
2021-06-30,222.0,222.0,212.0,222.0,15275900,0,0
2021-07-01,222.0,224.0,212.0,218.0,17652600,0,0
2021-07-02,218.0,226.0,212.0,222.0,23395900,0,0
2021-07-05,222.0,228.0,218.0,224.0,12988500,0,0
2021-07-06,224.0,226.0,216.0,218.0,8182000,0,0
2021-07-07,218.0,222.0,216.0,220.0,4596600,0,0
2021-07-08,222.0,232.0,220.0,228.0,14012800,0,0
2021-07-09,226.0,284.0,226.0,284.0,7291800,0,0
2021-07-12,302.0,322.0,282.0,298.0,36707700,0,0
2021-07-13,300.0,300.0,290.0,300.0,14581300,0,0
2021-07-14,300.0,374.0,296.0,374.0,35279500,0,0
2021-07-15,376.0,432.0,366.0,404.0,36478100,0,0
2021-07-16,404.0,408.0,392.0,400.0,13264100,0,0
2021-07-19,402.0,438.0,400.0,426.0,24243200,0,0
2021-07-21,428.0,428.0,414.0,420.0,11183100,0,0
2021-07-22,420.0,426.0,418.0,418.0,8703800,0,0
2021-07-23,420.0,422.0,418.0,418.0,2954700,0,0
2021-07-26,418.0,434.0,416.0,434.0,20446500,0,0
