Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-27,135.0,135.0,135.0,135.0,34804000,0,0
2023-01-30,182.0,182.0,139.0,139.0,552025200,0,0
2023-01-31,137.0,148.0,130.0,130.0,103351800,0,0
2023-02-01,121.0,135.0,121.0,131.0,42840200,0,0
2023-02-02,129.0,145.0,129.0,141.0,103329900,0,0
2023-02-03,142.0,157.0,138.0,153.0,269188500,0,0
2023-02-06,153.0,159.0,144.0,144.0,89566700,0,0
2023-02-07,144.0,156.0,144.0,152.0,70084000,0,0
2023-02-08,154.0,181.0,151.0,173.0,206680600,0,0
2023-02-09,174.0,210.0,167.0,206.0,322933400,0,0
2023-02-10,208.0,250.0,202.0,244.0,200114100,0,0
2023-02-13,248.0,280.0,228.0,228.0,192714600,0,0
2023-02-14,284.0,284.0,214.0,214.0,21285100,0,0
2023-02-15,210.0,210.0,200.0,200.0,10601800,0,0
2023-02-16,186.0,230.0,186.0,186.0,398411900,0,0
2023-02-17,186.0,214.0,180.0,214.0,263668500,0,0
2023-02-20,218.0,234.0,212.0,226.0,138007200,0,0
2023-02-21,228.0,230.0,214.0,216.0,49778600,0,0
2023-02-22,218.0,240.0,212.0,238.0,190640000,0,0
2023-02-23,240.0,256.0,238.0,252.0,118825100,0,0
2023-02-24,254.0,258.0,242.0,244.0,38362000,0,0
2023-02-27,246.0,278.0,244.0,278.0,101078300,0,0
2023-02-28,288.0,302.0,278.0,298.0,193805400,0,0
2023-03-01,300.0,304.0,292.0,298.0,44161000,0,0
2023-03-02,300.0,302.0,286.0,292.0,23743700,0,0
2023-03-03,294.0,296.0,272.0,272.0,31133800,0,0
2023-03-06,276.0,316.0,272.0,310.0,121804800,0,0
2023-03-07,314.0,314.0,290.0,304.0,74536700,0,0
2023-03-08,302.0,346.0,298.0,326.0,214894700,0,0
2023-03-09,326.0,336.0,324.0,328.0,64997900,0,0
2023-03-10,328.0,330.0,306.0,320.0,32734700,0,0
2023-03-13,322.0,388.0,322.0,370.0,243377800,0,0
2023-03-14,370.0,388.0,346.0,346.0,139293300,0,0
2023-03-15,346.0,366.0,328.0,340.0,101786800,0,0
2023-03-16,344.0,410.0,324.0,394.0,364729500,0,0
2023-03-17,398.0,408.0,370.0,392.0,107253500,0,0
2023-03-20,394.0,430.0,392.0,396.0,145457900,0,0
2023-03-21,396.0,406.0,382.0,392.0,39903900,0,0
2023-03-24,392.0,406.0,388.0,398.0,51223100,0,0
