Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-07,110.0,110.0,110.0,110.0,29900,0,0
2021-04-08,121.0,121.0,121.0,121.0,12598300,0,0
2021-04-09,133.0,133.0,130.0,133.0,18674500,0,0
2021-04-12,146.0,146.0,140.0,146.0,25443400,0,0
2021-04-13,152.0,160.0,150.0,160.0,12549500,0,0
2021-04-14,174.0,176.0,174.0,176.0,2700200,0,0
2021-04-15,185.0,193.0,185.0,193.0,6725000,0,0
2021-04-16,212.0,212.0,174.0,174.0,5510300,0,0
2021-04-19,157.0,157.0,157.0,157.0,528000,0,0
2021-04-20,142.0,142.0,142.0,142.0,362400,0,0
2021-04-21,128.0,128.0,128.0,128.0,1140000,0,0
2021-04-22,116.0,116.0,116.0,116.0,4351300,0,0
2021-04-23,105.0,120.0,105.0,111.0,20840700,0,0
2021-04-26,115.0,115.0,102.0,111.0,10096700,0,0
2021-04-27,108.0,111.0,100.0,100.0,4928300,0,0
2021-04-28,100.0,106.0,99.0,103.0,6550200,0,0
2021-04-29,104.0,105.0,101.0,101.0,1657400,0,0
2021-04-30,101.0,106.0,100.0,102.0,2789600,0,0
2021-05-03,103.0,103.0,100.0,102.0,1473900,0,0
2021-05-04,101.0,103.0,100.0,101.0,2044200,0,0
2021-05-05,101.0,107.0,100.0,103.0,1368300,0,0
2021-05-06,103.0,106.0,100.0,106.0,1280000,0,0
2021-05-07,106.0,112.0,105.0,108.0,3286900,0,0
2021-05-10,108.0,108.0,100.0,101.0,1976800,0,0
2021-05-11,105.0,105.0,100.0,103.0,780400,0,0
2021-05-17,102.0,103.0,99.0,100.0,3312800,0,0
2021-05-18,103.0,103.0,100.0,100.0,543200,0,0
2021-05-19,100.0,102.0,100.0,100.0,866600,0,0
2021-05-20,100.0,102.0,100.0,101.0,373300,0,0
2021-05-21,101.0,102.0,100.0,100.0,513600,0,0
2021-05-24,100.0,101.0,100.0,101.0,914500,0,0
2021-05-25,101.0,102.0,100.0,102.0,680100,0,0
2021-05-27,112.0,112.0,100.0,101.0,1004600,0,0
2021-05-28,101.0,103.0,100.0,100.0,971300,0,0
2021-05-31,100.0,103.0,100.0,101.0,647700,0,0
2021-06-02,101.0,102.0,100.0,101.0,729400,0,0
2021-06-03,101.0,101.0,100.0,101.0,1007800,0,0
2021-06-04,101.0,111.0,101.0,108.0,3711700,0,0
2021-06-07,109.0,109.0,101.0,103.0,1285100,0,0
2021-06-08,104.0,104.0,100.0,102.0,1522800,0,0
2021-06-09,102.0,106.0,100.0,103.0,5253200,0,0
2021-06-10,106.0,107.0,103.0,103.0,1207100,0,0
2021-06-11,108.0,108.0,101.0,103.0,441700,0,0
2021-06-14,105.0,105.0,101.0,101.0,284400,0,0
2021-06-15,106.0,106.0,101.0,103.0,295200,0,0
2021-06-16,105.0,106.0,101.0,103.0,679300,0,0
2021-06-17,101.0,103.0,100.0,100.0,3053500,0,0
2021-06-18,100.0,103.0,97.0,97.0,5203900,0,0
2021-06-21,100.0,101.0,99.0,99.0,3088400,0,0
2021-06-22,99.0,100.0,90.0,97.0,684100,0,0
2021-06-23,97.0,97.0,88.0,91.0,1123400,0,0
2021-06-24,85.0,93.0,82.0,86.0,1358700,0,0
2021-06-25,80.0,94.0,79.0,88.0,1922500,0,0
