Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-12-14,265.0,265.0,210.0,210.0,0,0,0
2000-12-15,255.0,255.0,210.0,210.0,0,0,0
2000-12-18,295.0,295.0,190.0,190.0,0,0,0
2000-12-19,275.0,275.0,210.0,210.0,0,0,0
2000-12-20,290.0,290.0,190.0,190.0,0,0,0
2000-12-21,290.0,290.0,195.0,195.0,0,0,0
2000-12-22,275.0,275.0,190.0,190.0,0,0,0
2000-12-25,190.0,190.0,190.0,190.0,0,0,0
2000-12-26,190.0,190.0,190.0,190.0,0,0,0
2000-12-27,190.0,190.0,190.0,190.0,0,0,0
2000-12-28,190.0,190.0,190.0,190.0,0,0,0
2000-12-29,190.0,190.0,190.0,190.0,0,0,0
2001-01-01,190.0,190.0,190.0,190.0,0,0,0
2001-01-02,275.0,275.0,180.0,180.0,0,0,0
2001-01-03,275.0,275.0,150.0,150.0,0,0,0
2001-01-04,175.0,180.0,175.0,175.0,75000,0,0
2001-01-05,175.0,175.0,175.0,175.0,0,0,0
2001-01-08,175.0,175.0,175.0,175.0,0,0,0
2001-01-09,165.0,165.0,165.0,165.0,28000,0,0
2001-01-10,175.0,175.0,170.0,170.0,26000,0,0
2001-01-11,170.0,170.0,170.0,170.0,0,0,0
2001-01-12,170.0,170.0,170.0,170.0,0,0,0
2001-01-15,170.0,170.0,170.0,170.0,5000,0,0
2001-01-16,170.0,170.0,165.0,165.0,38000,0,0
2001-01-17,165.0,165.0,165.0,165.0,0,0,0
2001-01-18,165.0,165.0,165.0,165.0,0,0,0
2001-01-19,165.0,165.0,165.0,165.0,0,0,0
2001-01-22,165.0,165.0,165.0,165.0,0,0,0
2001-01-23,160.0,160.0,160.0,160.0,13500,0,0
2001-01-24,160.0,160.0,160.0,160.0,0,0,0
2001-01-25,170.0,180.0,170.0,180.0,52000,0,0
2001-01-26,175.0,190.0,170.0,190.0,76000,0,0
2001-01-29,185.0,185.0,180.0,180.0,22500,0,0
2001-01-30,180.0,180.0,180.0,180.0,5000,0,0
2001-01-31,180.0,180.0,180.0,180.0,0,0,0
2001-02-01,175.0,175.0,175.0,175.0,5000,0,0
2001-02-02,175.0,175.0,175.0,175.0,500,0,0
