Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-11-15,270.0,270.0,260.0,260.0,318750,0,0.0
2000-11-16,270.0,270.0,270.0,270.0,117500,0,0.0
2000-11-17,270.0,270.0,270.0,270.0,743750,0,0.0
2000-11-20,270.0,280.0,270.0,270.0,2716750,0,0.0
2000-11-21,270.0,280.0,270.0,270.0,1127250,0,0.0
2000-11-22,270.0,280.0,270.0,270.0,870500,0,0.0
2000-11-23,280.0,280.0,270.0,270.0,3300250,0,0.0
2000-11-24,280.0,280.0,270.0,280.0,5003250,0,0.0
2000-11-27,270.0,270.0,260.0,270.0,473250,0,0.0
2000-11-28,270.0,270.0,260.0,260.0,1902000,0,0.0
2000-11-29,260.0,270.0,260.0,270.0,414000,0,0.0
2000-11-30,260.0,270.0,260.0,270.0,1774500,0,0.0
2000-12-01,260.0,260.0,260.0,260.0,797250,0,0.0
2000-12-04,260.0,270.0,260.0,260.0,968250,0,0.0
2000-12-05,260.0,260.0,250.0,260.0,1252750,0,0.0
2000-12-06,260.0,260.0,250.0,250.0,1153000,0,0.0
2000-12-07,260.0,260.0,250.0,250.0,1753750,0,0.0
2000-12-08,250.0,250.0,250.0,250.0,3390250,0,0.0
2000-12-11,240.0,250.0,240.0,240.0,2315500,0,0.0
2000-12-12,240.0,240.0,230.0,240.0,741750,0,0.0
2000-12-13,230.0,240.0,230.0,240.0,1275750,0,0.0
2000-12-14,240.0,240.0,230.0,230.0,1076250,0,0.0
2000-12-15,230.0,240.0,230.0,240.0,1500,0,0.0
2000-12-18,230.0,230.0,230.0,230.0,188750,0,0.0
2000-12-19,230.0,240.0,220.0,230.0,1023000,0,0.0
2000-12-20,230.0,230.0,220.0,230.0,514000,0,0.0
2000-12-21,220.0,230.0,220.0,230.0,187750,0,0.0
2000-12-22,170.0,240.0,170.0,230.0,2395500,0,0.0
2000-12-25,230.0,230.0,230.0,230.0,0,0,0.0
2000-12-26,230.0,230.0,230.0,230.0,0,0,0.0
2000-12-27,230.0,230.0,230.0,230.0,0,0,0.0
2000-12-28,230.0,230.0,230.0,230.0,0,0,0.0
2000-12-29,230.0,230.0,230.0,230.0,0,0,0.0
2001-01-01,230.0,230.0,230.0,230.0,0,0,0.0
2001-01-02,220.0,220.0,200.0,200.0,663750,0,0.0
2001-01-03,200.0,200.0,190.0,200.0,651000,0,0.0
2001-01-04,200.0,200.0,180.0,180.0,2709000,0,0.0
