Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-09-29,100.0,100.0,100.0,100.0,100,0,0
2014-09-30,100.0,100.0,100.0,100.0,6300,0,0
2014-10-01,99.0,102.0,95.0,99.0,20400,0,0
2014-10-02,98.0,98.0,91.0,98.0,3400,0,0
2014-10-03,100.0,100.0,90.0,100.0,16700,0,0
2014-10-06,91.0,102.0,91.0,91.0,400,0,0
2014-10-07,100.0,100.0,91.0,100.0,700,0,0
2014-10-08,100.0,100.0,100.0,100.0,100,0,0
2014-10-09,95.0,102.0,92.0,95.0,11800,0,0
2014-10-10,100.0,101.0,91.0,100.0,10300,0,0
2014-10-13,100.0,100.0,100.0,100.0,0,0,0
2014-10-14,105.0,105.0,99.0,105.0,18500,0,0
2014-10-15,101.0,101.0,93.0,101.0,200,0,0
2014-10-16,100.0,100.0,88.0,100.0,82800,0,0
2014-10-17,105.0,108.0,95.0,105.0,223000,0,0
2014-10-20,100.0,105.0,100.0,100.0,119700,0,0
2014-10-21,100.0,100.0,100.0,100.0,10000,0,0
2014-10-22,95.0,105.0,95.0,95.0,200,0,0
2014-10-23,105.0,105.0,105.0,105.0,200,0,0
2014-10-24,105.0,105.0,105.0,105.0,0,0,0
2014-10-27,91.0,91.0,91.0,91.0,28000,0,0
2014-10-28,105.0,112.0,105.0,105.0,700,0,0
2014-10-29,105.0,105.0,105.0,105.0,0,0,0
2014-10-30,107.0,107.0,90.0,107.0,27400,0,0
2014-10-31,107.0,107.0,107.0,107.0,0,0,0
2014-11-03,103.0,103.0,103.0,103.0,100,0,0
2014-11-04,102.0,102.0,91.0,102.0,300,0,0
2014-11-05,93.0,94.0,88.0,93.0,65900,0,0
2014-11-06,96.0,96.0,90.0,96.0,11500,0,0
2014-11-07,98.0,98.0,98.0,98.0,700,0,0
2014-11-10,89.0,98.0,89.0,89.0,1200,0,0
2014-11-11,98.0,98.0,98.0,98.0,600,0,0
2014-11-12,97.0,97.0,92.0,97.0,300,0,0
2014-11-13,98.0,98.0,98.0,98.0,0,0,0
2014-11-14,98.0,98.0,98.0,98.0,100,0,0
2014-11-17,98.0,89.0,89.0,89.0,20000,0,0
2014-11-18,96.0,96.0,89.0,96.0,1900,0,0
2014-11-19,96.0,96.0,96.0,96.0,100,0,0
2014-11-20,92.0,92.0,90.0,92.0,7000,0,0
2014-11-21,90.0,90.0,90.0,90.0,1700,0,0
2014-11-24,97.0,99.0,91.0,97.0,400,0,0
2014-11-25,97.0,97.0,97.0,97.0,0,0,0
2014-11-26,99.0,99.0,97.0,99.0,1000,0,0
2014-11-27,100.0,101.0,89.0,100.0,500,0,0
2014-11-28,90.0,99.0,90.0,90.0,1200,0,0
2014-12-01,100.0,100.0,97.0,97.0,45100,0,0
2014-12-02,94.0,98.0,89.0,98.0,145200,0,0
2014-12-03,98.0,98.0,98.0,98.0,0,0,0
2014-12-04,93.0,93.0,89.0,90.0,43500,0,0
2014-12-05,93.0,93.0,90.0,90.0,23100,0,0
2014-12-08,95.0,95.0,89.0,90.0,9700,0,0
2014-12-09,88.0,88.0,88.0,88.0,20000,0,0
2014-12-10,95.0,99.0,88.0,88.0,1800,0,0
2014-12-11,94.0,95.0,89.0,94.0,22400,0,0
2014-12-12,94.0,95.0,94.0,95.0,700,0,0
2014-12-15,88.0,88.0,88.0,88.0,62100,0,0
2014-12-16,88.0,88.0,86.0,88.0,106500,0,0
2014-12-17,99.0,99.0,94.0,94.0,85500,0,0
2014-12-18,95.0,95.0,89.0,89.0,2200,0,0
2014-12-19,90.0,102.0,90.0,93.0,2600,0,0
2014-12-22,91.0,94.0,89.0,94.0,800,0,0
2014-12-23,99.0,99.0,99.0,99.0,100,0,0
2014-12-24,88.0,95.0,88.0,94.0,3300,0,0
2014-12-29,99.0,99.0,99.0,99.0,100,0,0
2014-12-30,95.0,95.0,90.0,90.0,10700,0,0
2015-01-02,90.0,90.0,90.0,90.0,0,0,0
2015-01-05,95.0,95.0,95.0,95.0,200,0,0
2015-01-06,90.0,90.0,90.0,90.0,1400,0,0
2015-01-07,95.0,95.0,87.0,87.0,15800,0,0
2015-01-08,88.0,90.0,86.0,90.0,45200,0,0
2015-01-09,90.0,90.0,90.0,90.0,0,0,0
2015-01-12,86.0,87.0,86.0,87.0,43300,0,0
2015-01-13,90.0,90.0,90.0,90.0,100,0,0
2015-01-14,88.0,88.0,87.0,87.0,12300,0,0
2015-01-15,90.0,95.0,83.0,90.0,770800,0,0
2015-01-16,90.0,99.0,63.0,80.0,5489800,0,0
2015-01-19,81.0,99.0,80.0,95.0,1742600,0,0
2015-01-20,93.0,93.0,85.0,92.0,1362700,0,0
2015-01-21,92.0,92.0,91.0,91.0,184800,0,0
2015-01-22,90.0,91.0,89.0,89.0,155900,0,0
2015-01-23,89.0,90.0,89.0,89.0,168100,0,0
2015-01-26,90.0,90.0,88.0,89.0,192300,0,0
2015-01-27,88.0,88.0,88.0,88.0,3000,0,0
2015-01-28,89.0,89.0,89.0,89.0,150100,0,0
2015-01-29,88.0,88.0,87.0,87.0,309600,0,0
2015-01-30,87.0,87.0,87.0,87.0,20100,0,0
2015-02-02,87.0,87.0,86.0,86.0,70200,0,0
2015-02-03,86.0,86.0,86.0,86.0,10000,0,0
2015-02-04,86.0,86.0,86.0,86.0,37200,0,0
2015-02-05,86.0,86.0,86.0,86.0,100000,0,0
2015-02-06,86.0,86.0,86.0,86.0,0,0,0
2015-02-09,86.0,86.0,86.0,86.0,40000,0,0
2015-02-10,86.0,86.0,86.0,86.0,0,0,0
2015-02-11,86.0,86.0,86.0,86.0,0,0,0
2015-02-12,86.0,86.0,86.0,86.0,0,0,0
2015-02-13,86.0,86.0,86.0,86.0,0,0,0
2015-02-16,86.0,86.0,84.0,84.0,10000,0,0
2015-02-17,86.0,86.0,86.0,86.0,100,0,0
2015-02-18,84.0,84.0,84.0,84.0,1100,0,0
2015-02-20,84.0,84.0,84.0,84.0,0,0,0
2015-02-23,84.0,84.0,84.0,84.0,0,0,0
2015-02-24,84.0,84.0,84.0,84.0,0,0,0
2015-02-25,84.0,84.0,84.0,84.0,0,0,0
2015-02-26,84.0,84.0,84.0,84.0,25200,0,0
2015-02-27,87.0,87.0,87.0,87.0,80100,0,0
2015-03-02,87.0,99.0,87.0,93.0,3795500,0,0
2015-03-03,93.0,99.0,93.0,93.0,2141900,0,0
2015-03-04,93.0,93.0,91.0,91.0,461300,0,0
2015-03-05,92.0,94.0,92.0,92.0,706000,0,0
2015-03-06,92.0,93.0,92.0,92.0,218100,0,0
2015-03-09,92.0,92.0,92.0,92.0,21700,0,0
2015-03-10,92.0,92.0,92.0,92.0,160900,0,0
2015-03-11,92.0,92.0,92.0,92.0,77800,0,0
2015-03-12,92.0,92.0,92.0,92.0,55300,0,0
2015-03-13,92.0,92.0,92.0,92.0,16500,0,0
2015-03-16,92.0,92.0,92.0,92.0,5700,0,0
2015-03-17,92.0,97.0,92.0,95.0,1565000,0,0
2015-03-18,95.0,95.0,94.0,94.0,222800,0,0
2015-03-19,94.0,94.0,94.0,94.0,17500,0,0
2015-03-20,94.0,94.0,94.0,94.0,126800,0,0
2015-03-23,94.0,94.0,94.0,94.0,0,0,0
2015-03-24,94.0,94.0,94.0,94.0,0,0,0
2015-03-25,94.0,94.0,94.0,94.0,152200,0,0
2015-03-26,94.0,94.0,94.0,94.0,100,0,0
2015-03-27,93.0,93.0,93.0,93.0,63800,0,0
2015-03-30,93.0,93.0,93.0,93.0,10000,0,0
2015-03-31,94.0,94.0,93.0,93.0,65100,0,0
2015-04-01,93.0,93.0,93.0,93.0,0,0,0
2015-04-02,93.0,93.0,93.0,93.0,1000,0,0
2015-04-06,93.0,93.0,93.0,93.0,1000,0,0
2015-04-07,93.0,93.0,93.0,93.0,140000,0,0
2015-04-08,93.0,93.0,93.0,93.0,0,0,0
2015-04-09,93.0,93.0,93.0,93.0,0,0,0
2015-04-10,93.0,93.0,93.0,93.0,30000,0,0
