Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-09-30,25.0,25.0,25.0,25.0,54000,0,0.0
2005-10-03,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-04,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-05,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-06,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-07,25.0,25.0,25.0,25.0,40000,0,0.0
2005-10-10,22.5,22.5,22.5,22.5,10000,0,0.0
2005-10-11,22.5,22.5,22.5,22.5,0,0,0.0
2005-10-12,22.5,22.5,22.5,22.5,44000,0,0.0
2005-10-13,22.5,22.5,22.5,22.5,0,0,0.0
2005-10-14,22.5,22.5,22.5,22.5,0,0,0.0
2005-10-17,22.5,22.5,22.5,22.5,0,0,0.0
2005-10-18,25.0,25.0,25.0,25.0,536000,0,0.0
2005-10-19,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-20,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-21,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-24,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-25,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-26,25.0,25.0,25.0,25.0,0,0,0.0
2005-10-27,22.5,22.5,22.5,22.5,50000,0,0.0
2005-10-28,22.5,22.5,22.5,22.5,0,0,0.0
2005-10-31,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-01,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-07,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-08,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-09,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-10,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-11,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-14,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-15,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-16,20.0,20.0,20.0,20.0,200000,0,0.0
2005-11-17,22.5,22.5,22.5,22.5,100000,0,0.0
2005-11-18,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-21,22.5,22.5,22.5,22.5,0,0,0.0
2005-11-22,20.0,20.0,20.0,20.0,500000,0,0.0
2005-11-23,20.0,20.0,20.0,20.0,0,0,0.0
2005-11-24,20.0,20.0,20.0,20.0,0,0,0.0
