Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-10,225.0,275.0,205.0,214.0,22366600,0,0
2016-02-11,213.0,214.0,200.0,200.0,6366900,0,0
2016-02-12,201.0,201.0,200.0,200.0,992300,0,0
2016-02-15,200.0,204.0,200.0,203.0,670800,0,0
2016-02-16,204.0,206.0,203.0,205.0,349100,0,0
2016-02-17,206.0,207.0,205.0,207.0,568400,0,0
2016-02-18,207.0,208.0,206.0,207.0,841100,0,0
2016-02-19,207.0,209.0,206.0,209.0,391400,0,0
2016-02-22,208.0,209.0,208.0,209.0,135300,0,0
2016-02-23,209.0,209.0,208.0,208.0,214000,0,0
2016-02-24,208.0,209.0,208.0,209.0,3280300,0,0
2016-02-25,208.0,209.0,207.0,209.0,4139200,0,0
2016-02-26,208.0,209.0,207.0,209.0,4448900,0,0
2016-02-29,209.0,209.0,208.0,208.0,283700,0,0
2016-03-01,208.0,210.0,208.0,209.0,352000,0,0
2016-03-02,209.0,210.0,209.0,210.0,375000,0,0
2016-03-03,210.0,211.0,210.0,210.0,43400,0,0
2016-03-04,210.0,211.0,210.0,210.0,2675500,0,0
2016-03-07,211.0,211.0,210.0,210.0,85100,0,0
2016-03-08,210.0,210.0,210.0,210.0,108200,0,0
2016-03-10,209.0,210.0,209.0,210.0,25000,0,0
2016-03-15,210.0,210.0,209.0,210.0,353800,0,0
2016-03-16,210.0,210.0,209.0,210.0,436300,0,0
2016-03-17,209.0,210.0,209.0,209.0,471400,0,0
2016-03-18,209.0,210.0,209.0,210.0,560400,0,0
2016-03-21,209.0,210.0,209.0,209.0,468100,0,0
2016-03-22,210.0,210.0,209.0,210.0,444200,0,0
2016-03-23,209.0,210.0,209.0,210.0,792800,0,0
2016-03-24,209.0,210.0,209.0,209.0,449200,0,0
2016-03-28,209.0,210.0,209.0,210.0,705000,0,0
2016-03-29,210.0,210.0,210.0,210.0,0,0,0
2016-03-30,210.0,210.0,210.0,210.0,1000,0,0
2016-03-31,210.0,210.0,210.0,210.0,0,0,0
2016-04-01,209.0,209.0,209.0,209.0,88500,0,0
2016-04-04,189.0,209.0,189.0,209.0,103300,0,0
2016-04-05,209.0,209.0,203.0,208.0,6700,0,0
2016-04-06,209.0,212.0,204.0,212.0,337200,0,0
2016-04-07,215.0,215.0,205.0,205.0,155300,0,0
2016-04-08,220.0,220.0,206.0,206.0,200200,0,0
2016-04-12,210.0,210.0,210.0,210.0,100,0,0
2016-04-19,210.0,210.0,210.0,210.0,0,0,0
2016-04-20,215.0,225.0,215.0,219.0,987800,0,0
2016-04-21,225.0,225.0,220.0,224.0,747800,0,0
2016-04-22,224.0,230.0,224.0,230.0,675500,0,0
2016-04-25,230.0,235.0,230.0,235.0,738900,0,0
2016-04-26,235.0,251.0,234.0,251.0,1049300,0,0
2016-04-27,251.0,255.0,248.0,254.0,1037900,0,0
2016-04-28,255.0,256.0,253.0,253.0,380800,0,0
2016-04-29,261.0,261.0,254.0,260.0,633400,0,0
2016-05-02,260.0,266.0,260.0,264.0,319800,0,0
2016-05-03,266.0,280.0,266.0,280.0,602100,0,0
2016-05-04,280.0,284.0,276.0,282.0,435800,0,0
2016-05-09,282.0,292.0,282.0,290.0,640200,0,0
2016-05-10,290.0,330.0,290.0,328.0,1532200,0,0
2016-05-11,332.0,370.0,328.0,332.0,6217100,0,0
2016-05-12,332.0,332.0,308.0,314.0,1976600,0,0
2016-05-13,314.0,326.0,314.0,322.0,506800,0,0
2016-05-16,322.0,324.0,318.0,318.0,236300,0,0
2016-05-17,318.0,360.0,308.0,308.0,4036300,0,0
2016-05-18,312.0,332.0,312.0,318.0,1007000,0,0
2016-05-19,318.0,322.0,310.0,314.0,670500,0,0
2016-05-20,312.0,318.0,310.0,314.0,701300,0,0
2016-05-23,314.0,330.0,312.0,312.0,101400,0,0
2016-05-24,314.0,314.0,306.0,306.0,66000,0,0
2016-05-25,304.0,322.0,300.0,320.0,2758600,0,0
2016-05-26,320.0,320.0,310.0,310.0,22600,0,0
2016-05-27,300.0,314.0,300.0,314.0,1500,0,0
2016-05-30,316.0,316.0,302.0,312.0,1300,0,0
2016-05-31,304.0,312.0,304.0,312.0,6800,0,0
2016-06-01,300.0,310.0,300.0,300.0,1700,0,0
2016-06-02,282.0,284.0,282.0,284.0,600,0,0
2016-06-03,286.0,286.0,286.0,286.0,200,0,0
2016-06-06,294.0,294.0,294.0,294.0,100,0,0
2016-06-07,294.0,294.0,292.0,292.0,153800,0,0
2016-06-08,292.0,292.0,292.0,292.0,0,0,0
2016-06-09,292.0,292.0,280.0,280.0,4100,0,0
2016-06-10,320.0,320.0,318.0,318.0,500,0,0
2016-06-13,290.0,312.0,290.0,290.0,29300,0,0
2016-06-14,288.0,288.0,274.0,274.0,454800,0,0
2016-06-15,274.0,280.0,272.0,276.0,366500,0,0
2016-06-16,276.0,276.0,270.0,270.0,364400,0,0
2016-06-17,270.0,274.0,264.0,264.0,603100,0,0
2016-06-20,264.0,276.0,262.0,276.0,704200,0,0
2016-06-21,270.0,308.0,270.0,308.0,1511500,0,0
2016-06-22,308.0,308.0,300.0,306.0,352700,0,0
2016-06-23,306.0,310.0,300.0,310.0,298500,0,0
2016-06-24,308.0,310.0,302.0,306.0,358700,0,0
2016-06-27,306.0,308.0,304.0,304.0,307800,0,0
2016-06-28,304.0,308.0,304.0,308.0,367900,0,0
2016-06-29,308.0,318.0,308.0,318.0,677900,0,0
2016-06-30,318.0,320.0,316.0,320.0,116000,0,0
2016-07-01,320.0,320.0,316.0,316.0,229600,0,0
2016-07-11,318.0,322.0,314.0,314.0,348000,0,0
2016-07-12,316.0,318.0,312.0,312.0,321400,0,0
2016-07-13,316.0,316.0,312.0,316.0,304300,0,0
2016-07-14,316.0,316.0,316.0,316.0,80000,0,0
2016-07-15,316.0,316.0,312.0,312.0,139300,0,0
2016-07-18,312.0,314.0,312.0,312.0,125000,0,0
2016-07-19,312.0,314.0,312.0,314.0,119300,0,0
2016-07-20,314.0,314.0,312.0,312.0,72300,0,0
2016-07-21,312.0,314.0,312.0,314.0,154300,0,0
2016-07-22,314.0,314.0,312.0,312.0,96800,0,0
2016-07-25,310.0,314.0,310.0,314.0,51000,0,0
2016-07-26,314.0,314.0,310.0,310.0,37400,0,0
2016-07-27,304.0,304.0,304.0,304.0,55000,0,0
2016-07-28,304.0,304.0,300.0,302.0,55000,0,0
2016-07-29,302.0,306.0,302.0,306.0,47500,0,0
2016-08-01,306.0,306.0,306.0,306.0,45400,0,0
2016-08-02,306.0,306.0,300.0,304.0,719500,0,0
2016-08-03,304.0,304.0,304.0,304.0,42500,0,0
2016-08-04,304.0,304.0,298.0,304.0,43500,0,0
2016-08-05,304.0,306.0,304.0,304.0,94000,0,0
2016-08-08,298.0,298.0,296.0,296.0,25000,0,0
2016-08-09,296.0,296.0,296.0,296.0,12700,0,0
2016-08-10,304.0,306.0,304.0,306.0,30000,0,0
2016-08-11,306.0,306.0,306.0,306.0,0,0,0
2016-08-12,290.0,290.0,290.0,290.0,100,0,0
2016-08-15,306.0,306.0,304.0,304.0,18400,0,0
2016-08-16,304.0,304.0,276.0,302.0,46400,0,0
2016-08-18,308.0,308.0,308.0,308.0,25200,0,0
2016-08-19,308.0,308.0,308.0,308.0,0,0,0
2016-08-22,314.0,314.0,310.0,310.0,131800,0,0
2016-08-23,308.0,308.0,308.0,308.0,26500,0,0
2016-08-24,308.0,308.0,308.0,308.0,34900,0,0
2016-08-25,306.0,308.0,306.0,308.0,50000,0,0
2016-08-26,308.0,308.0,308.0,308.0,32000,0,0
2016-08-29,308.0,308.0,308.0,308.0,0,0,0
2016-08-30,308.0,310.0,308.0,310.0,44000,0,0
2016-08-31,310.0,310.0,310.0,310.0,0,0,0
2016-09-01,310.0,312.0,310.0,312.0,32500,0,0
2016-09-02,312.0,312.0,312.0,312.0,0,0,0
2016-09-05,312.0,312.0,312.0,312.0,0,0,0
2016-09-06,312.0,312.0,312.0,312.0,0,0,0
2016-09-07,312.0,312.0,312.0,312.0,0,0,0
2016-09-08,312.0,312.0,290.0,312.0,20500,0,0
2016-09-09,290.0,290.0,290.0,290.0,24500,0,0
2016-09-13,312.0,312.0,312.0,312.0,17500,0,0
2016-09-14,310.0,310.0,282.0,308.0,30500,0,0
2016-09-15,308.0,308.0,308.0,308.0,35000,0,0
2016-09-16,308.0,308.0,308.0,308.0,32000,0,0
2016-09-19,308.0,308.0,308.0,308.0,0,0,0
2016-09-20,308.0,308.0,308.0,308.0,22500,0,0
2016-09-21,308.0,308.0,308.0,308.0,0,0,0
2016-09-22,308.0,308.0,308.0,308.0,22500,0,0
2016-09-23,308.0,308.0,308.0,308.0,0,0,0
2016-09-26,306.0,306.0,306.0,306.0,27200,0,0
2016-09-27,306.0,306.0,304.0,306.0,25500,0,0
2016-09-28,304.0,304.0,304.0,304.0,27000,0,0
2016-09-29,304.0,304.0,304.0,304.0,0,0,0
2016-09-30,304.0,304.0,304.0,304.0,0,0,0
2016-10-03,306.0,308.0,306.0,306.0,35000,0,0
2016-10-04,306.0,306.0,306.0,306.0,0,0,0
2016-10-05,306.0,306.0,304.0,306.0,474600,0,0
2016-10-06,302.0,302.0,294.0,294.0,40100,0,0
2016-10-07,294.0,294.0,294.0,294.0,0,0,0
2016-10-10,294.0,294.0,288.0,288.0,47500,0,0
2016-10-11,288.0,290.0,284.0,284.0,40300,0,0
2016-10-12,284.0,284.0,284.0,284.0,0,0,0
2016-10-13,284.0,284.0,284.0,284.0,0,0,0
2016-10-14,284.0,284.0,284.0,284.0,41000,0,0
2016-10-17,278.0,284.0,278.0,284.0,45000,0,0
2016-10-18,284.0,284.0,278.0,278.0,605000,0,0
2016-10-19,278.0,278.0,276.0,276.0,1980000,0,0
2016-10-20,272.0,278.0,272.0,278.0,700500,0,0
2016-10-21,278.0,280.0,278.0,280.0,389300,0,0
2016-10-24,280.0,280.0,278.0,280.0,103100,0,0
2016-10-25,280.0,280.0,270.0,280.0,58200,0,0
2016-10-26,278.0,280.0,276.0,280.0,36000,0,0
2016-10-27,278.0,282.0,276.0,280.0,89600,0,0
2016-10-28,280.0,282.0,276.0,280.0,84500,0,0
2016-10-31,280.0,290.0,280.0,290.0,124800,0,0
2016-11-01,290.0,296.0,290.0,296.0,160700,0,0
2016-11-02,296.0,300.0,296.0,298.0,145200,0,0
2016-11-03,298.0,298.0,296.0,296.0,120500,0,0
2016-11-04,296.0,296.0,294.0,294.0,53000,0,0
2016-11-07,294.0,296.0,290.0,290.0,101200,0,0
2016-11-08,292.0,294.0,290.0,294.0,137600,0,0
2016-11-09,294.0,294.0,290.0,292.0,32600,0,0
2016-11-10,292.0,298.0,292.0,296.0,152300,0,0
2016-11-11,296.0,296.0,288.0,290.0,99100,0,0
2016-11-14,288.0,288.0,286.0,286.0,108500,0,0
2016-11-15,286.0,288.0,286.0,288.0,94800,0,0
2016-11-16,288.0,290.0,288.0,290.0,52500,0,0
2016-11-17,290.0,294.0,288.0,290.0,85800,0,0
2016-11-18,290.0,290.0,290.0,290.0,27700,0,0
2016-11-21,288.0,292.0,288.0,292.0,83500,0,0
2016-11-22,292.0,294.0,292.0,294.0,108800,0,0
2016-11-23,292.0,294.0,292.0,294.0,23800,0,0
2016-11-24,292.0,292.0,290.0,290.0,23400,0,0
2016-11-25,290.0,292.0,290.0,292.0,24000,0,0
2016-11-28,292.0,292.0,290.0,290.0,24700,0,0
2016-11-29,290.0,292.0,288.0,292.0,37800,0,0
2016-11-30,290.0,290.0,288.0,288.0,11100,0,0
2016-12-01,288.0,288.0,286.0,288.0,28200,0,0
2016-12-02,288.0,288.0,288.0,288.0,0,0,0
2016-12-05,288.0,288.0,288.0,288.0,22500,0,0
2016-12-06,286.0,288.0,286.0,286.0,16100,0,0
2016-12-07,288.0,290.0,286.0,288.0,73400,0,0
2016-12-08,286.0,290.0,286.0,290.0,72200,0,0
2016-12-09,290.0,290.0,286.0,290.0,58500,0,0
2016-12-13,290.0,290.0,288.0,288.0,16700,0,0
2016-12-14,286.0,292.0,286.0,292.0,69500,0,0
2016-12-15,292.0,294.0,292.0,294.0,68500,0,0
2016-12-16,294.0,300.0,294.0,300.0,116600,0,0
2016-12-19,298.0,300.0,298.0,300.0,101200,0,0
2016-12-20,300.0,300.0,296.0,298.0,84800,0,0
2016-12-21,298.0,300.0,298.0,300.0,85200,0,0
2016-12-22,300.0,304.0,296.0,298.0,112700,0,0
2016-12-23,298.0,302.0,296.0,296.0,89900,0,0
