Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-08-08,236.0,236.0,236.0,236.0,13000,0,0
2017-08-09,294.0,294.0,294.0,294.0,952300,0,0
2017-08-10,366.0,366.0,364.0,366.0,6150500,0,0
2017-08-11,406.0,450.0,364.0,420.0,56067900,0,0
2017-08-14,422.0,430.0,380.0,380.0,15853000,0,0
2017-08-15,380.0,394.0,370.0,382.0,6724800,0,0
2017-08-16,384.0,392.0,374.0,386.0,3556700,0,0
2017-08-17,386.0,386.0,386.0,386.0,0,0,0
2017-08-18,382.0,390.0,378.0,388.0,3123000,0,0
2017-08-21,386.0,390.0,376.0,376.0,1154600,0,0
2017-08-22,380.0,388.0,374.0,382.0,1571100,0,0
2017-08-23,382.0,406.0,376.0,392.0,4002200,0,0
2017-08-24,392.0,392.0,384.0,388.0,77597700,0,0
2017-08-25,388.0,392.0,384.0,392.0,70038900,0,0
2017-08-28,396.0,420.0,390.0,402.0,10938800,0,0
2017-08-29,402.0,402.0,388.0,396.0,1788300,0,0
2017-08-30,396.0,396.0,390.0,392.0,658600,0,0
2017-08-31,392.0,396.0,348.0,392.0,2789600,0,0
2017-09-01,392.0,392.0,392.0,392.0,0,0,0
2017-09-04,394.0,394.0,382.0,384.0,384300,0,0
2017-09-05,384.0,390.0,380.0,384.0,844600,0,0
2017-09-06,380.0,390.0,378.0,380.0,461600,0,0
2017-09-07,388.0,388.0,376.0,382.0,93600,0,0
2017-09-08,378.0,378.0,376.0,376.0,303600,0,0
2017-09-11,376.0,386.0,374.0,374.0,342600,0,0
2017-09-12,374.0,374.0,354.0,372.0,863000,0,0
2017-09-13,370.0,374.0,370.0,374.0,110600,0,0
2017-09-14,378.0,384.0,374.0,374.0,68500,0,0
2017-09-15,374.0,378.0,372.0,378.0,320100,0,0
2017-09-18,374.0,378.0,374.0,378.0,62800,0,0
2017-09-19,374.0,376.0,374.0,374.0,65600,0,0
2017-09-20,374.0,374.0,370.0,374.0,482100,0,0
2017-09-21,374.0,374.0,374.0,374.0,0,0,0
2017-09-22,380.0,380.0,370.0,372.0,61500,0,0
2017-09-25,378.0,382.0,370.0,370.0,81000,0,0
2017-09-26,372.0,382.0,370.0,376.0,133600,0,0
2017-09-27,378.0,378.0,370.0,370.0,159100,0,0
2017-09-28,376.0,380.0,370.0,370.0,46500,0,0
2017-09-29,370.0,390.0,368.0,390.0,987700,0,0
2017-10-02,388.0,388.0,370.0,370.0,117900,0,0
2017-10-03,372.0,378.0,370.0,378.0,126600,0,0
