Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-09-13,178.0,178.0,150.0,178.0,208446000,0,0
2012-09-14,240.0,240.0,200.0,240.0,261797500,0,0
2012-09-17,295.0,295.0,250.0,295.0,217452000,0,0
2012-09-18,275.0,335.0,270.0,275.0,204597000,0,0
2012-09-19,280.0,295.0,270.0,280.0,86788500,0,0
2012-09-20,270.0,280.0,270.0,270.0,27697500,0,0
2012-09-21,270.0,275.0,265.0,270.0,17655000,0,0
2012-09-24,270.0,270.0,260.0,270.0,16350500,0,0
2012-09-25,265.0,270.0,260.0,265.0,7361500,0,0
2012-09-26,270.0,285.0,260.0,270.0,61667000,0,0
2012-09-27,280.0,280.0,270.0,280.0,24561000,0,0
2012-09-28,275.0,285.0,270.0,275.0,23825000,0,0
2012-10-01,260.0,275.0,260.0,260.0,34748000,0,0
2012-10-02,260.0,265.0,255.0,260.0,13854500,0,0
2012-10-03,270.0,270.0,255.0,270.0,24723500,0,0
2012-10-04,265.0,270.0,260.0,265.0,15983500,0,0
2012-10-05,280.0,290.0,260.0,280.0,63025500,0,0
2012-10-08,255.0,285.0,255.0,255.0,58225000,0,0
2012-10-09,250.0,265.0,245.0,250.0,31070000,0,0
2012-10-10,245.0,250.0,240.0,245.0,21141000,0,0
2012-10-11,240.0,260.0,240.0,240.0,32339000,0,0
2012-10-12,240.0,255.0,240.0,240.0,21706000,0,0
2012-10-15,240.0,255.0,240.0,240.0,20662500,0,0
2012-10-16,245.0,250.0,240.0,245.0,14022500,0,0
2012-10-17,250.0,255.0,245.0,250.0,19407500,0,0
2012-10-18,250.0,250.0,245.0,250.0,9973000,0,0
2012-10-19,250.0,250.0,245.0,250.0,10629000,0,0
2012-10-22,260.0,265.0,245.0,260.0,22768500,0,0
2012-10-23,270.0,275.0,260.0,270.0,35416000,0,0
2012-10-24,280.0,280.0,270.0,280.0,39234000,0,0
2012-10-25,270.0,280.0,270.0,270.0,11938500,0,0
2012-10-29,270.0,275.0,265.0,270.0,14182000,0,0
2012-10-30,265.0,275.0,260.0,265.0,10040000,0,0
2012-10-31,265.0,270.0,260.0,265.0,12168500,0,0
2012-11-01,260.0,265.0,260.0,260.0,4944000,0,0
2012-11-02,265.0,265.0,260.0,265.0,7627000,0,0
2012-11-05,260.0,265.0,260.0,260.0,8520000,0,0
2012-11-06,265.0,265.0,260.0,265.0,5645500,0,0
2012-11-07,260.0,260.0,255.0,260.0,10316500,0,0
2012-11-08,255.0,260.0,255.0,255.0,8370000,0,0
2012-11-09,255.0,265.0,255.0,255.0,18363500,0,0
2012-11-12,255.0,265.0,255.0,255.0,25060500,0,0
2012-11-13,260.0,265.0,255.0,260.0,9102500,0,0
2012-11-14,255.0,260.0,255.0,255.0,10168000,0,0
2012-11-19,255.0,260.0,250.0,255.0,14199000,0,0
2012-11-20,260.0,260.0,255.0,260.0,12391000,0,0
2012-11-21,260.0,260.0,255.0,260.0,13396000,0,0
2012-11-22,260.0,260.0,255.0,260.0,11278000,0,0
2012-11-23,255.0,260.0,255.0,255.0,10111500,0,0
2012-11-26,260.0,260.0,255.0,260.0,10136500,0,0
2012-11-27,255.0,260.0,255.0,255.0,10800500,0,0
2012-11-28,255.0,260.0,250.0,255.0,11582500,0,0
2012-11-29,255.0,260.0,250.0,255.0,17686500,0,0
2012-11-30,265.0,270.0,250.0,265.0,40519500,0,0
2012-12-03,265.0,275.0,260.0,265.0,29070500,0,0
