Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-07-18,220.0,322.0,220.0,322.0,6998200,0,0
2016-07-19,402.0,402.0,402.0,402.0,2733700,0,0
2016-07-20,442.0,470.0,362.0,362.0,6483600,0,0
2016-07-21,326.0,326.0,326.0,326.0,415700,0,0
2016-07-22,294.0,294.0,294.0,294.0,171800,0,0
2016-07-25,266.0,300.0,266.0,276.0,14550300,0,0
2016-07-26,276.0,276.0,250.0,250.0,3129800,0,0
2016-07-27,248.0,252.0,226.0,228.0,5518400,0,0
2016-07-28,228.0,234.0,216.0,220.0,1684900,0,0
2016-07-29,222.0,226.0,214.0,224.0,1688900,0,0
2016-08-01,224.0,226.0,216.0,218.0,664500,0,0
2016-08-02,220.0,222.0,206.0,208.0,3334300,0,0
2016-08-03,208.0,210.0,199.0,199.0,607000,0,0
2016-08-04,268.0,268.0,197.0,268.0,17479700,0,0
2016-08-05,270.0,288.0,242.0,242.0,9951700,0,0
2016-08-08,228.0,264.0,224.0,234.0,4816700,0,0
2016-08-09,244.0,248.0,234.0,236.0,1932400,0,0
2016-08-10,238.0,240.0,224.0,224.0,1217200,0,0
2016-08-11,224.0,238.0,224.0,228.0,6594400,0,0
2016-08-12,230.0,232.0,218.0,220.0,417900,0,0
2016-08-15,220.0,230.0,200.0,206.0,1149900,0,0
2016-08-16,200.0,216.0,197.0,202.0,1676900,0,0
2016-08-18,206.0,208.0,200.0,202.0,802700,0,0
2016-08-19,202.0,208.0,200.0,200.0,284500,0,0
2016-08-22,197.0,206.0,195.0,200.0,3320400,0,0
2016-08-23,200.0,236.0,195.0,204.0,3220600,0,0
2016-08-24,204.0,216.0,202.0,206.0,1622500,0,0
2016-08-25,214.0,214.0,200.0,204.0,193000,0,0
2016-08-26,212.0,212.0,200.0,202.0,4238800,0,0
2016-08-29,200.0,202.0,197.0,200.0,4578800,0,0
2016-08-30,200.0,204.0,195.0,200.0,479600,0,0
2016-08-31,197.0,200.0,193.0,199.0,280500,0,0
2016-09-01,199.0,208.0,194.0,199.0,677000,0,0
2016-09-02,202.0,206.0,196.0,198.0,809600,0,0
2016-09-05,202.0,202.0,191.0,197.0,130900,0,0
2016-09-06,199.0,200.0,192.0,192.0,104000,0,0
2016-09-07,190.0,200.0,182.0,200.0,1000400,0,0
2016-09-08,195.0,200.0,191.0,200.0,476400,0,0
2016-09-09,200.0,200.0,193.0,197.0,58100,0,0
2016-09-13,200.0,200.0,188.0,189.0,18248100,0,0
2016-09-14,195.0,195.0,181.0,183.0,192300,0,0
2016-09-15,193.0,193.0,183.0,186.0,346200,0,0
2016-09-16,186.0,190.0,181.0,181.0,334400,0,0
2016-09-19,185.0,185.0,180.0,181.0,106800,0,0
2016-09-20,181.0,181.0,175.0,177.0,166900,0,0
2016-09-21,175.0,184.0,171.0,175.0,28200,0,0
2016-09-22,175.0,185.0,175.0,180.0,175500,0,0
2016-09-23,182.0,184.0,170.0,182.0,22028300,0,0
2016-09-26,182.0,196.0,178.0,183.0,850800,0,0
2016-09-27,183.0,185.0,179.0,182.0,19200,0,0
2016-09-28,180.0,183.0,175.0,176.0,599300,0,0
2016-09-29,172.0,181.0,170.0,175.0,20483700,0,0
2016-09-30,175.0,184.0,175.0,175.0,488500,0,0
2016-10-03,178.0,194.0,175.0,177.0,306900,0,0
2016-10-04,177.0,180.0,171.0,173.0,95700,0,0
2016-10-05,170.0,180.0,170.0,174.0,167300,0,0
2016-10-06,171.0,176.0,170.0,173.0,13198000,0,0
2016-10-07,173.0,180.0,170.0,177.0,43100,0,0
2016-10-10,177.0,179.0,173.0,175.0,16400,0,0
2016-10-11,175.0,181.0,172.0,174.0,318500,0,0
2016-10-12,171.0,183.0,171.0,172.0,1122200,0,0
2016-10-13,171.0,176.0,171.0,174.0,32800,0,0
2016-10-14,174.0,177.0,170.0,170.0,180700,0,0
2016-10-17,171.0,178.0,170.0,171.0,528400,0,0
2016-10-18,174.0,174.0,171.0,172.0,639400,0,0
2016-10-19,172.0,175.0,169.0,170.0,333100,0,0
2016-10-20,169.0,173.0,167.0,169.0,320700,0,0
2016-10-21,169.0,172.0,166.0,168.0,92000,0,0
2016-10-24,168.0,171.0,165.0,169.0,91000,0,0
2016-10-25,173.0,173.0,170.0,173.0,157500,0,0
2016-10-26,173.0,173.0,167.0,168.0,230100,0,0
2016-10-27,165.0,171.0,165.0,170.0,69600,0,0
2016-10-28,173.0,173.0,166.0,167.0,9800,0,0
2016-10-31,167.0,170.0,166.0,168.0,12100,0,0
2016-11-01,168.0,169.0,168.0,169.0,40600,0,0
2016-11-02,168.0,170.0,166.0,170.0,80000,0,0
2016-11-03,169.0,169.0,163.0,168.0,183100,0,0
2016-11-04,168.0,169.0,162.0,169.0,15600,0,0
2016-11-07,169.0,170.0,162.0,169.0,14700,0,0
2016-11-08,169.0,170.0,167.0,170.0,22800,0,0
2016-11-09,170.0,170.0,162.0,169.0,66600,0,0
2016-11-10,170.0,170.0,168.0,168.0,800,0,0
