Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-13,603.4169803966175,635.3625852411444,589.2189337990501,624.7140502929688,15287600,0.0,0
2017-12-14,624.713987116228,638.9120322779605,606.9664306640625,606.9664306640625,1529800,0.0,0
2017-12-15,606.96650390625,610.5160156249999,603.4169921875,603.4169921875,535700,0.0,0
2017-12-18,603.4170044667623,606.9665162577431,599.8674926757812,599.8674926757812,1496100,0.0,0
2017-12-19,603.4169193736294,606.9664306640625,599.8674080831962,606.9664306640625,506900,0.0,0
2017-12-20,606.9664796341298,610.5159912109375,603.4169680573219,610.5159912109375,779700,0.0,0
2017-12-21,610.5159792155888,617.6150022297236,610.5159792155888,614.0654907226562,666800,0.0,0
2017-12-22,610.5159792155888,614.0654907226562,610.5159792155888,614.0654907226562,156400,0.0,0
2017-12-25,614.0654907226562,614.0654907226562,614.0654907226562,614.0654907226562,0,0.0,0
2017-12-26,614.0654907226562,614.0654907226562,614.0654907226562,614.0654907226562,0,0.0,0
2017-12-27,610.5159792155888,614.0654907226562,606.9664677085215,614.0654907226562,420500,0.0,0
2017-12-28,614.0654907226562,614.0654907226562,603.4169562014541,614.0654907226562,611200,0.0,0
2017-12-29,614.06552734375,621.16455078125,610.5160156249999,621.16455078125,1221100,0.0,0
2018-01-01,621.16455078125,621.16455078125,621.16455078125,621.16455078125,0,0.0,0
2018-01-02,624.7140144902235,638.9120602740921,621.1645030442562,635.362548828125,288300,0.0,0
2018-01-03,635.3625976562499,638.912109375,631.8130859375,638.912109375,475100,0.0,0
2018-01-04,638.912121316661,660.2091920272164,638.912121316661,653.1101684570312,190700,0.0,0
2018-01-05,646.0111328124999,674.4072265625,642.46162109375,674.4072265625,732000,0.0,0
2018-01-08,667.3081911097022,702.8033076580906,653.1101444903468,677.9567260742188,382700,0.0,0
2018-01-09,667.3082152674438,670.8577270507812,646.0111445674189,670.8577270507812,499800,0.0,0
2018-01-10,653.1101441742272,663.7586791335896,649.5606325211064,660.2091674804688,223200,0.0,0
2018-01-11,656.659655827348,660.2091674804688,646.0111208679856,660.2091674804688,251900,0.0,0
2018-01-12,653.1101315676511,653.1101315676511,646.0111083984375,646.0111083984375,139600,0.0,0
2018-01-15,649.5606079101562,674.4071885405993,628.2635387983478,649.5606079101562,1040900,0.0,0
2018-01-16,646.0111208679856,660.2091674804688,638.912097561744,660.2091674804688,334100,0.0,0
2018-01-17,660.209155403994,670.8576901685745,656.6596438158005,663.7586669921875,514700,0.0,0
2018-01-18,667.3081785803811,670.8576901685745,656.6596438158005,663.7586669921875,556900,0.0,0
2018-01-19,660.209155403994,663.7586669921875,656.6596438158005,663.7586669921875,639000,0.0,0
2018-01-22,663.7586914062499,674.4072265625,656.65966796875,674.4072265625,1246600,0.0,0
2018-01-23,670.8577270507812,670.8577270507812,663.7587034841063,670.8577270507812,866400,0.0,0
2018-01-24,670.8576780278632,670.8576780278632,663.7586549799493,667.3081665039062,878900,0.0,0
2018-01-25,667.308203125,674.4072265625,663.7586914062499,674.4072265625,762200,0.0,0
2018-01-26,674.4072017567681,674.4072017567681,663.7586669921875,663.7586669921875,449000,0.0,0
2018-01-29,663.7586669921875,667.3081785803811,663.7586669921875,663.7586669921875,90600,0.0,0
2018-01-30,663.7586669921875,667.3081785803811,663.7586669921875,663.7586669921875,15100,0.0,0
2018-01-31,667.3081785803811,667.3081785803811,663.7586669921875,663.7586669921875,558400,0.0,0
