Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-09,270.0,270.0,270.0,270.0,2226900,0,0
2022-11-10,336.0,336.0,252.0,252.0,363053000,0,0
2022-11-11,236.0,236.0,236.0,236.0,4707500,0,0
2022-11-14,220.0,220.0,220.0,220.0,3761900,0,0
2022-11-15,206.0,234.0,206.0,232.0,529195900,0,0
2022-11-16,232.0,236.0,216.0,218.0,183177300,0,0
2022-11-17,218.0,226.0,212.0,214.0,49012800,0,0
2022-11-18,214.0,222.0,208.0,208.0,51381300,0,0
2022-11-21,208.0,210.0,198.0,202.0,54168600,0,0
2022-11-22,202.0,216.0,200.0,214.0,64975200,0,0
2022-11-23,216.0,228.0,210.0,226.0,82770700,0,0
2022-11-24,226.0,230.0,222.0,222.0,30201500,0,0
2022-11-25,222.0,226.0,208.0,210.0,74494300,0,0
2022-11-28,214.0,216.0,208.0,208.0,23096800,0,0
2022-11-29,208.0,214.0,206.0,206.0,12788100,0,0
2022-11-30,206.0,208.0,200.0,204.0,13181100,0,0
2022-12-01,204.0,204.0,198.0,202.0,12795800,0,0
2022-12-02,202.0,220.0,200.0,210.0,53874200,0,0
2022-12-05,212.0,214.0,204.0,206.0,11051100,0,0
2022-12-06,204.0,206.0,200.0,200.0,10094800,0,0
2022-12-07,200.0,208.0,200.0,200.0,11873400,0,0
2022-12-08,202.0,202.0,198.0,202.0,8039300,0,0
2022-12-09,200.0,204.0,199.0,200.0,7897500,0,0
2022-12-12,200.0,208.0,200.0,204.0,48989600,0,0
2022-12-13,204.0,208.0,200.0,206.0,57969200,0,0
2022-12-14,206.0,210.0,200.0,200.0,58971600,0,0
2022-12-15,200.0,206.0,200.0,204.0,7740100,0,0
2022-12-16,204.0,204.0,200.0,202.0,5391400,0,0
2022-12-19,202.0,204.0,200.0,200.0,4218700,0,0
2022-12-20,200.0,204.0,200.0,202.0,4345300,0,0
2022-12-21,202.0,206.0,200.0,202.0,9828100,0,0
2022-12-22,202.0,208.0,200.0,204.0,6558800,0,0
2022-12-23,200.0,210.0,200.0,204.0,11701700,0,0
2022-12-26,204.0,216.0,204.0,208.0,65383700,0,0
2022-12-27,208.0,212.0,206.0,206.0,12548600,0,0
2022-12-28,208.0,208.0,204.0,204.0,8490600,0,0
2022-12-29,204.0,206.0,204.0,206.0,15752600,0,0
2022-12-30,206.0,210.0,204.0,206.0,12992700,0,0
2023-01-02,206.0,214.0,206.0,210.0,14504700,0,0
2023-01-03,210.0,216.0,208.0,212.0,14283200,0,0
2023-01-04,214.0,216.0,206.0,208.0,14447900,0,0
2023-01-05,208.0,210.0,200.0,200.0,23820500,0,0
2023-01-06,202.0,204.0,200.0,202.0,5665000,0,0
2023-01-09,202.0,206.0,202.0,202.0,3800100,0,0
2023-01-10,202.0,206.0,200.0,200.0,6984100,0,0
2023-01-11,202.0,202.0,200.0,200.0,2905000,0,0
2023-01-12,200.0,204.0,200.0,202.0,2887700,0,0
2023-01-13,200.0,202.0,200.0,202.0,1458900,0,0
2023-01-16,202.0,204.0,200.0,202.0,3485800,0,0
2023-01-17,200.0,202.0,200.0,200.0,3665400,0,0
2023-01-18,200.0,202.0,200.0,202.0,1702300,0,0
2023-01-19,202.0,202.0,191.0,195.0,32734900,0,0
2023-01-20,195.0,197.0,191.0,193.0,6194400,0,0
2023-01-24,193.0,197.0,188.0,192.0,12282100,0,0
2023-01-25,192.0,194.0,191.0,193.0,3026600,0,0
2023-01-26,193.0,199.0,192.0,198.0,6711500,0,0
2023-01-27,198.0,198.0,195.0,195.0,3658100,0,0
2023-01-30,195.0,202.0,194.0,194.0,7380700,0,0
2023-01-31,194.0,198.0,193.0,195.0,3321800,0,0
2023-02-01,195.0,199.0,194.0,197.0,3210200,0,0
2023-02-02,198.0,198.0,195.0,197.0,3745400,0,0
2023-02-03,197.0,202.0,195.0,198.0,6695900,0,0
2023-02-06,198.0,206.0,197.0,202.0,12321100,0,0
2023-02-07,202.0,208.0,200.0,204.0,8609800,0,0
2023-02-08,204.0,206.0,202.0,206.0,2662900,0,0
2023-02-09,204.0,206.0,202.0,202.0,3020800,0,0
2023-02-10,202.0,204.0,199.0,202.0,3002600,0,0
2023-02-13,200.0,206.0,200.0,202.0,2330500,0,0
2023-02-14,202.0,214.0,202.0,208.0,23017700,0,0
2023-02-15,210.0,212.0,204.0,206.0,3676000,0,0
2023-02-16,206.0,208.0,204.0,206.0,4743000,0,0
2023-02-17,206.0,216.0,202.0,214.0,25522000,0,0
2023-02-20,214.0,226.0,212.0,212.0,36335000,0,0
2023-02-21,212.0,220.0,206.0,218.0,14568800,0,0
2023-02-22,214.0,222.0,214.0,214.0,8653100,0,0
2023-02-23,214.0,222.0,210.0,214.0,9305900,0,0
2023-02-24,216.0,216.0,206.0,208.0,6790600,0,0
2023-02-27,208.0,208.0,200.0,204.0,12280800,0,0
2023-02-28,204.0,208.0,199.0,199.0,10509500,0,0
2023-03-01,199.0,199.0,196.0,197.0,4669300,0,0
2023-03-02,197.0,200.0,197.0,198.0,2306200,0,0
2023-03-03,198.0,200.0,197.0,199.0,2410700,0,0
2023-03-06,199.0,199.0,196.0,198.0,2762800,0,0
2023-03-07,198.0,199.0,195.0,197.0,2205100,0,0
2023-03-08,197.0,202.0,193.0,200.0,6520500,0,0
2023-03-09,200.0,220.0,200.0,212.0,30994800,0,0
2023-03-10,212.0,218.0,210.0,212.0,11860600,0,0
2023-03-13,212.0,248.0,210.0,242.0,207613000,0,0
2023-03-14,246.0,250.0,232.0,246.0,110329800,0,0
2023-03-15,248.0,274.0,242.0,246.0,236151200,0,0
2023-03-16,246.0,256.0,230.0,230.0,71037800,0,0
2023-03-17,222.0,228.0,216.0,220.0,23414600,0,0
2023-03-20,220.0,234.0,216.0,220.0,31147100,0,0
2023-03-21,222.0,228.0,218.0,224.0,16067300,0,0
2023-03-24,226.0,242.0,226.0,236.0,44473600,0,0
