Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-24,925.0,925.0,815.0,875.0,584706700,0,0
2023-02-27,875.0,875.0,830.0,830.0,90183300,0,0
2023-02-28,815.0,840.0,800.0,800.0,65393800,0,0
2023-03-01,800.0,840.0,800.0,835.0,43259400,0,0
2023-03-02,840.0,875.0,820.0,870.0,55298000,0,0
2023-03-03,870.0,875.0,855.0,875.0,34181600,0,0
2023-03-06,870.0,880.0,845.0,860.0,30521300,0,0
2023-03-07,860.0,875.0,855.0,860.0,14088300,0,0
2023-03-08,860.0,865.0,850.0,860.0,8540300,0,0
2023-03-09,860.0,865.0,850.0,855.0,11006800,0,0
2023-03-10,855.0,860.0,830.0,860.0,10084800,0,0
2023-03-13,860.0,860.0,830.0,840.0,4519100,0,0
2023-03-14,840.0,840.0,810.0,825.0,8412400,0,0
2023-03-15,825.0,835.0,805.0,810.0,10350600,0,0
2023-03-16,810.0,815.0,775.0,790.0,32026000,0,0
2023-03-17,790.0,820.0,785.0,805.0,11337700,0,0
2023-03-20,800.0,820.0,795.0,800.0,11086800,0,0
2023-03-21,800.0,800.0,790.0,800.0,2938400,0,0
2023-03-24,800.0,805.0,785.0,790.0,3753200,0,0
