Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-06-26,432.0,432.0,432.0,432.0,2900,0,0
2019-06-27,540.0,540.0,540.0,540.0,1100,0,0
2019-06-28,675.0,675.0,675.0,675.0,33400,0,0
2019-07-01,765.0,840.0,675.0,840.0,3094300,0,0
2019-07-02,870.0,1050.0,870.0,1050.0,1568800,0,0
2019-07-03,1110.0,1310.0,1110.0,1310.0,684500,0,0
2019-07-04,1450.0,1635.0,1450.0,1635.0,328700,0,0
2019-07-05,1720.0,2040.0,1230.0,1335.0,2649100,0,0
2019-07-08,1335.0,1335.0,1060.0,1070.0,334200,0,0
2019-07-09,1070.0,1280.0,860.0,1255.0,715600,0,0
2019-07-10,1275.0,1335.0,1090.0,1300.0,288800,0,0
2019-07-11,1320.0,1320.0,1190.0,1190.0,89700,0,0
2019-07-12,1190.0,1220.0,1100.0,1215.0,46500,0,0
2019-07-15,1170.0,1240.0,1120.0,1190.0,33400,0,0
2019-07-16,1190.0,1190.0,1120.0,1120.0,29100,0,0
2019-07-17,1100.0,1100.0,980.0,1010.0,67000,0,0
2019-07-18,1010.0,1260.0,1010.0,1260.0,375300,0,0
2019-07-19,1290.0,1575.0,1290.0,1575.0,530200,0,0
2019-07-22,1620.0,1960.0,1450.0,1655.0,913400,0,0
2019-07-23,1665.0,2060.0,1660.0,1970.0,1138200,0,0
2019-07-24,1970.0,1970.0,1970.0,1970.0,0,0,0
2019-07-25,1960.0,2100.0,1750.0,1800.0,297500,0,0
2019-07-26,1800.0,2030.0,1800.0,1860.0,147200,0,0
2019-07-29,1860.0,1865.0,1700.0,1700.0,73000,0,0
2019-07-30,1750.0,2120.0,1750.0,2120.0,602400,0,0
2019-07-31,2200.0,2500.0,2000.0,2100.0,262900,0,0
2019-08-01,2100.0,2250.0,2050.0,2100.0,60700,0,0
2019-08-02,2110.0,2130.0,2040.0,2060.0,46300,0,0
2019-08-05,2060.0,2500.0,1990.0,2320.0,139300,0,0
2019-08-06,2330.0,2360.0,2160.0,2160.0,122300,0,0
2019-08-07,2160.0,2200.0,2090.0,2090.0,34900,0,0
2019-08-08,2100.0,2220.0,2090.0,2220.0,122500,0,0
2019-08-09,2280.0,2280.0,2120.0,2210.0,16800,0,0
2019-08-12,2220.0,2220.0,2130.0,2160.0,41800,0,0
2019-08-13,2110.0,2230.0,2110.0,2200.0,7700,0,0
2019-08-14,2200.0,2200.0,2110.0,2160.0,9700,0,0
2019-08-15,2160.0,2200.0,2100.0,2200.0,1300,0,0
2019-08-16,2200.0,2200.0,2000.0,2060.0,27300,0,0
2019-08-19,2000.0,2060.0,1980.0,1980.0,14300,0,0
2019-08-20,1960.0,2000.0,1960.0,1975.0,6400,0,0
2019-08-21,1990.0,1990.0,1970.0,1970.0,500,0,0
2019-08-22,2000.0,2000.0,1850.0,1850.0,68900,0,0
2019-08-23,1850.0,1850.0,1850.0,1850.0,200,0,0
2019-08-26,1700.0,1700.0,1700.0,1700.0,300,0,0
2019-08-27,1705.0,1800.0,1705.0,1800.0,4900,0,0
2019-08-28,1850.0,1850.0,1750.0,1750.0,4300,0,0
2019-08-29,1750.0,1830.0,1750.0,1830.0,5400,0,0
2019-08-30,1830.0,2050.0,1830.0,2000.0,36200,0,0
2019-09-02,2000.0,2500.0,2000.0,2500.0,332500,0,0
2019-09-03,2610.0,3090.0,2610.0,2740.0,460500,0,0
2019-09-04,2790.0,2950.0,2330.0,2420.0,118100,0,0
2019-09-05,2420.0,2520.0,2180.0,2180.0,51700,0,0
2019-09-06,2180.0,2600.0,2180.0,2340.0,82800,0,0
2019-09-09,2350.0,2640.0,2300.0,2380.0,50600,0,0
2019-09-10,2380.0,2450.0,2280.0,2370.0,19300,0,0
2019-09-11,2370.0,2400.0,2270.0,2290.0,11000,0,0
2019-09-12,2310.0,2450.0,2290.0,2290.0,34100,0,0
2019-09-13,2290.0,2390.0,2000.0,2350.0,40200,0,0
2019-09-16,2350.0,2350.0,2200.0,2320.0,4200,0,0
2019-09-17,2290.0,2290.0,2180.0,2190.0,17900,0,0
2019-09-18,2200.0,2200.0,2160.0,2180.0,21900,0,0
2019-09-19,2180.0,2180.0,2180.0,2180.0,4000,0,0
2019-09-20,2220.0,2220.0,2210.0,2210.0,4600,0,0
2019-09-23,2200.0,2200.0,2200.0,2200.0,600,0,0
2019-09-24,2190.0,2200.0,2190.0,2200.0,1500,0,0
2019-09-25,2000.0,2000.0,1650.0,1900.0,3000,0,0
2019-09-26,1895.0,1920.0,1895.0,1910.0,12300,0,0
2019-09-27,1890.0,1920.0,1890.0,1920.0,5100,0,0
2019-09-30,1915.0,1920.0,1890.0,1890.0,11900,0,0
2019-10-01,1900.0,1950.0,1900.0,1905.0,8200,0,0
2019-10-02,1910.0,1910.0,1910.0,1910.0,5500,0,0
2019-10-03,1910.0,2220.0,1910.0,2150.0,29200,0,0
2019-10-04,2200.0,2600.0,2200.0,2210.0,171000,0,0
2019-10-07,2220.0,2220.0,2090.0,2090.0,2300,0,0
2019-10-08,2090.0,2600.0,2050.0,2400.0,180400,0,0
2019-10-09,2300.0,2400.0,2160.0,2400.0,7900,0,0
2019-10-10,2400.0,3000.0,2360.0,2510.0,96000,0,0
2019-10-11,2700.0,2900.0,2510.0,2510.0,6100,0,0
2019-10-14,2790.0,2790.0,2450.0,2520.0,61100,0,0
2019-10-15,2520.0,2650.0,2450.0,2450.0,17600,0,0
2019-10-16,2350.0,2430.0,2300.0,2430.0,14700,0,0
2019-10-17,2430.0,2430.0,2430.0,2430.0,0,0,0
2019-10-18,2430.0,2500.0,2430.0,2440.0,9400,0,0
2019-10-21,2440.0,2440.0,2440.0,2440.0,0,0,0
2019-10-22,2440.0,2440.0,2200.0,2200.0,300,0,0
2019-10-23,2210.0,2430.0,2200.0,2380.0,5900,0,0
2019-10-24,2380.0,2380.0,2380.0,2380.0,300,0,0
2019-10-25,2380.0,2390.0,2350.0,2390.0,3000,0,0
2019-10-28,2390.0,2390.0,2390.0,2390.0,0,0,0
2019-10-29,2390.0,2390.0,2350.0,2350.0,1500,0,0
2019-10-30,2350.0,2350.0,2350.0,2350.0,100,0,0
2019-10-31,2350.0,2350.0,2340.0,2340.0,400,0,0
2019-11-01,2330.0,2330.0,2330.0,2330.0,100,0,0
2019-11-04,2280.0,2300.0,2200.0,2300.0,3600,0,0
2019-11-05,2290.0,2290.0,2200.0,2210.0,3400,0,0
2019-11-06,2210.0,2210.0,2200.0,2200.0,1600,0,0
2019-11-07,2200.0,2200.0,2200.0,2200.0,300,0,0
2019-11-08,2180.0,2180.0,2180.0,2180.0,3500,0,0
2019-11-11,1635.0,1900.0,1635.0,1900.0,1000,0,0
2019-11-12,1900.0,1900.0,1900.0,1900.0,600,0,0
2019-11-13,1890.0,1890.0,1890.0,1890.0,200,0,0
2019-11-14,1850.0,1900.0,1850.0,1900.0,300,0,0
2019-11-15,1900.0,1900.0,1900.0,1900.0,0,0,0
2019-11-18,1895.0,1900.0,1895.0,1895.0,600,0,0
2019-11-19,1425.0,1785.0,1425.0,1500.0,32600,0,0
2019-11-20,1500.0,1800.0,1500.0,1795.0,6100,0,0
2019-11-21,1795.0,1795.0,1790.0,1790.0,2200,0,0
2019-11-22,1790.0,1790.0,1790.0,1790.0,0,0,0
2019-11-25,1790.0,2000.0,1785.0,1900.0,14500,0,0
2019-11-26,1900.0,1900.0,1900.0,1900.0,1100,0,0
2019-11-27,1900.0,1900.0,1900.0,1900.0,1000,0,0
2019-11-28,1900.0,1900.0,1900.0,1900.0,0,0,0
2019-11-29,1900.0,1900.0,1900.0,1900.0,0,0,0
2019-12-02,2050.0,2330.0,2050.0,2310.0,28100,0,0
2019-12-03,2320.0,2320.0,2270.0,2270.0,16400,0,0
2019-12-04,2270.0,2830.0,2270.0,2830.0,130800,0,0
2019-12-05,2830.0,2900.0,2700.0,2880.0,216500,0,0
2019-12-06,2880.0,2880.0,2880.0,2880.0,100,0,0
2019-12-09,2880.0,2880.0,2880.0,2880.0,0,0,0
2019-12-10,2380.0,2880.0,2380.0,2790.0,41000,0,0
2019-12-11,2790.0,2790.0,2790.0,2790.0,100,0,0
2019-12-12,2770.0,2870.0,2770.0,2870.0,40400,0,0
2019-12-13,2600.0,2750.0,2600.0,2750.0,1600,0,0
2019-12-16,2500.0,2900.0,2500.0,2800.0,4400,0,0
2019-12-17,2800.0,2800.0,2800.0,2800.0,0,0,0
2019-12-18,2800.0,2800.0,2800.0,2800.0,0,0,0
2019-12-19,2300.0,2690.0,2300.0,2480.0,5600,0,0
2019-12-20,2480.0,2480.0,2360.0,2400.0,3400,0,0
2019-12-23,2400.0,2400.0,2400.0,2400.0,600,0,0
2019-12-26,2400.0,2400.0,2400.0,2400.0,100,0,0
2019-12-27,2400.0,2400.0,2400.0,2400.0,2400,0,0
2019-12-30,2400.0,2400.0,2400.0,2400.0,200,0,0
2020-01-02,2400.0,2400.0,2400.0,2400.0,0,0,0
2020-01-03,2400.0,2400.0,2400.0,2400.0,300,0,0
2020-01-06,2500.0,2650.0,2500.0,2550.0,800,0,0
2020-01-07,1960.0,1960.0,1960.0,1960.0,400,0,0
2020-01-08,1960.0,2100.0,1960.0,2100.0,6800,0,0
2020-01-09,2100.0,2100.0,2100.0,2100.0,100,0,0
2020-01-10,2100.0,2100.0,2100.0,2100.0,100,0,0
2020-01-13,2100.0,2100.0,2100.0,2100.0,1000,0,0
2020-01-14,2100.0,2100.0,2100.0,2100.0,0,0,0
2020-01-15,2100.0,2100.0,2100.0,2100.0,0,0,0
2020-01-16,2100.0,2100.0,2100.0,2100.0,0,0,0
2020-01-17,1620.0,1990.0,1620.0,1990.0,300,0,0
2020-01-20,1990.0,1990.0,1980.0,1980.0,40600,0,0
2020-01-21,1980.0,1980.0,1980.0,1980.0,500,0,0
2020-01-22,1975.0,1975.0,1975.0,1975.0,100,0,0
2020-01-23,1980.0,2100.0,1980.0,2090.0,22100,0,0
2020-01-24,2140.0,2140.0,2100.0,2130.0,1200,0,0
2020-01-27,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-01-28,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-01-29,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-01-30,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-01-31,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-03,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-04,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-05,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-06,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-07,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-10,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-11,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-12,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-13,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-14,2130.0,2130.0,2130.0,2130.0,0,0,0
2020-02-17,2200.0,2200.0,2200.0,2200.0,100,0,0
2020-02-18,2200.0,2200.0,2200.0,2200.0,0,0,0
2020-02-19,2200.0,2200.0,2200.0,2200.0,0,0,0
2020-02-20,2190.0,2190.0,2190.0,2190.0,26000,0,0
2020-02-21,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-02-24,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-02-25,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-02-26,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-02-27,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-02-28,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-03-02,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-03-03,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-03-04,2190.0,2190.0,2190.0,2190.0,0,0,0
2020-03-05,1660.0,1755.0,1645.0,1645.0,52700,0,0
2020-03-06,1640.0,1645.0,1640.0,1645.0,3700,0,0
2020-03-09,1260.0,1625.0,1260.0,1625.0,2300,0,0
2020-03-10,1625.0,1625.0,1625.0,1625.0,0,0,0
2020-03-11,1625.0,1750.0,1625.0,1740.0,800,0,0
2020-03-12,1710.0,1710.0,1710.0,1710.0,200,0,0
2020-03-13,1675.0,1675.0,1675.0,1675.0,100,0,0
2020-03-16,1675.0,1675.0,1675.0,1675.0,0,0,0
2020-03-17,1605.0,1605.0,1605.0,1605.0,100,0,0
2020-03-18,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-03-19,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-03-20,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-03-23,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-03-24,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-03-26,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-03-27,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-03-30,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-03-31,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-01,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-02,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-03,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-06,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-07,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-08,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-09,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-13,1605.0,1605.0,1605.0,1605.0,0,0,0
2020-04-14,1560.0,1560.0,1560.0,1560.0,100,0,0
2020-04-15,1550.0,1550.0,1455.0,1455.0,1800,0,0
2020-04-16,1455.0,1455.0,1455.0,1455.0,0,0,0
2020-04-17,1455.0,1455.0,1455.0,1455.0,200,0,0
2020-04-20,1355.0,1355.0,1355.0,1355.0,300,0,0
2020-04-21,1350.0,1350.0,1350.0,1350.0,1500,0,0
2020-04-22,1260.0,1260.0,1260.0,1260.0,1100,0,0
2020-04-23,1250.0,1250.0,1185.0,1185.0,300,0,0
2020-04-24,1185.0,1185.0,1105.0,1105.0,800,0,0
2020-04-27,1030.0,1030.0,1030.0,1030.0,200,0,0
2020-04-28,960.0,960.0,960.0,960.0,200,0,0
2020-04-29,895.0,895.0,895.0,895.0,100,0,0
2020-04-30,835.0,835.0,835.0,835.0,100,0,0
2020-05-04,835.0,835.0,780.0,780.0,800,0,0
2020-05-05,730.0,730.0,730.0,730.0,1200,0,0
2020-05-06,680.0,680.0,680.0,680.0,800,0,0
2020-05-08,635.0,845.0,635.0,635.0,6900,0,0
2020-05-11,635.0,785.0,635.0,645.0,31900,0,0
2020-05-12,645.0,745.0,600.0,745.0,3900,0,0
2020-05-13,745.0,925.0,695.0,800.0,7500,0,0
2020-05-14,995.0,995.0,745.0,750.0,4100,0,0
2020-05-15,705.0,935.0,700.0,925.0,3400,0,0
2020-05-18,925.0,995.0,865.0,865.0,13300,0,0
2020-05-19,805.0,805.0,805.0,805.0,900,0,0
2020-05-20,755.0,960.0,755.0,900.0,1200,0,0
2020-05-26,900.0,995.0,850.0,850.0,900,0,0
2020-05-27,850.0,890.0,795.0,795.0,2200,0,0
2020-05-28,795.0,850.0,750.0,750.0,5000,0,0
2020-05-29,750.0,750.0,705.0,705.0,1600,0,0
2020-06-02,700.0,700.0,700.0,700.0,600,0,0
2020-06-03,700.0,700.0,700.0,700.0,100,0,0
2020-06-04,670.0,800.0,670.0,800.0,700,0,0
2020-06-05,910.0,910.0,800.0,800.0,600,0,0
2020-06-08,800.0,800.0,750.0,750.0,2400,0,0
2020-06-09,750.0,820.0,750.0,820.0,3200,0,0
2020-06-10,850.0,850.0,800.0,800.0,1000,0,0
2020-06-11,800.0,800.0,800.0,800.0,0,0,0
2020-06-12,800.0,800.0,790.0,790.0,600,0,0
2020-06-15,760.0,760.0,760.0,760.0,100,0,0
2020-06-16,765.0,770.0,760.0,760.0,5200,0,0
2020-06-17,715.0,730.0,715.0,730.0,200,0,0
2020-06-18,730.0,730.0,730.0,730.0,0,0,0
2020-06-19,685.0,715.0,685.0,715.0,300,0,0
2020-06-22,710.0,720.0,710.0,720.0,1400,0,0
2020-06-23,895.0,895.0,675.0,820.0,3900,0,0
2020-06-24,1020.0,1020.0,840.0,850.0,4700,0,0
2020-06-25,795.0,800.0,795.0,795.0,2100,0,0
2020-06-26,795.0,985.0,750.0,900.0,3200,0,0
