Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-06-13,600.0,700.0,600.0,700.0,15625,0,0.0
2002-06-14,700.0,700.0,700.0,700.0,31375,0,0.0
2002-06-17,700.0,700.0,700.0,700.0,50550,0,0.0
2002-06-18,700.0,800.0,700.0,800.0,6775,0,0.0
2002-06-19,700.0,700.0,700.0,700.0,12500,0,0.0
2002-06-20,700.0,700.0,700.0,700.0,15000,0,0.0
2002-06-21,700.0,700.0,700.0,700.0,6250,0,0.0
2002-06-24,700.0,700.0,700.0,700.0,0,0,0.0
2002-06-25,700.0,700.0,700.0,700.0,0,0,0.0
2002-06-26,700.0,700.0,700.0,700.0,0,0,0.0
2002-06-27,600.0,600.0,600.0,600.0,54900,0,0.0
2002-06-28,600.0,600.0,600.0,600.0,0,0,0.0
2002-07-01,600.0,600.0,600.0,600.0,88750,0,0.0
2002-07-02,500.0,600.0,500.0,500.0,75,0,0.0
2002-07-03,600.0,600.0,600.0,600.0,12025,0,0.0
2002-07-04,600.0,600.0,600.0,600.0,14875,0,0.0
2002-07-05,600.0,600.0,600.0,600.0,8750,0,0.0
2002-07-08,600.0,600.0,600.0,600.0,12800,0,0.0
2002-07-09,600.0,600.0,600.0,600.0,5000,0,0.0
2002-07-10,600.0,600.0,600.0,600.0,2500,0,0.0
2002-07-11,700.0,700.0,700.0,700.0,25,0,0.0
2002-07-12,600.0,600.0,600.0,600.0,2500,0,0.0
2002-07-15,600.0,600.0,600.0,600.0,0,0,0.0
2002-07-16,600.0,600.0,600.0,600.0,25000,0,0.0
2002-07-17,600.0,600.0,600.0,600.0,2000,0,0.0
2002-07-18,600.0,600.0,600.0,600.0,0,0,0.0
2002-07-19,500.0,500.0,500.0,500.0,50,0,0.0
2002-07-22,500.0,500.0,500.0,500.0,3100,0,0.0
2002-07-23,500.0,500.0,500.0,500.0,0,0,0.0
2002-07-24,500.0,500.0,500.0,500.0,3100,0,0.0
2002-07-25,500.0,500.0,500.0,500.0,0,0,0.0
2002-07-26,500.0,500.0,500.0,500.0,5000,0,0.0
2002-07-29,500.0,500.0,500.0,500.0,0,0,0.0
2002-07-30,500.0,500.0,500.0,500.0,0,0,0.0
2002-07-31,500.0,500.0,500.0,500.0,250,0,0.0
2002-08-01,500.0,500.0,500.0,500.0,25,0,0.0
2002-08-02,500.0,500.0,500.0,500.0,0,0,0.0
2002-08-05,500.0,500.0,500.0,500.0,0,0,0.0
2002-08-06,500.0,500.0,500.0,500.0,1375,0,0.0
2002-08-07,500.0,500.0,500.0,500.0,0,0,0.0
2002-08-08,500.0,500.0,500.0,500.0,0,0,0.0
2002-08-09,600.0,600.0,600.0,600.0,25,0,0.0
2002-08-12,600.0,600.0,600.0,600.0,0,0,0.0
2002-08-13,600.0,600.0,600.0,600.0,0,0,0.0
2002-08-14,600.0,600.0,600.0,600.0,0,0,0.0
2002-08-15,600.0,600.0,600.0,600.0,0,0,0.0
