Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-11-25,178.0,178.0,178.0,178.0,58000,0,0
2019-11-26,240.0,240.0,178.0,240.0,340285700,0,0
2019-11-27,260.0,270.0,204.0,218.0,97798400,0,0
2019-11-28,220.0,224.0,183.0,194.0,35933300,0,0
2019-11-29,194.0,206.0,180.0,191.0,4817600,0,0
2019-12-02,192.0,196.0,184.0,193.0,8011200,0,0
2019-12-03,193.0,224.0,190.0,204.0,12963600,0,0
2019-12-04,208.0,230.0,206.0,214.0,24024200,0,0
2019-12-05,218.0,220.0,204.0,216.0,7691500,0,0
2019-12-06,206.0,214.0,204.0,204.0,3345700,0,0
2019-12-09,202.0,208.0,197.0,202.0,5609000,0,0
2019-12-10,200.0,216.0,199.0,206.0,10255100,0,0
2019-12-11,206.0,210.0,199.0,202.0,3150800,0,0
2019-12-12,200.0,202.0,196.0,199.0,1435700,0,0
2019-12-13,199.0,199.0,185.0,189.0,1993800,0,0
2019-12-16,192.0,194.0,185.0,192.0,1137900,0,0
2019-12-17,192.0,200.0,180.0,200.0,3838700,0,0
2019-12-18,200.0,200.0,190.0,199.0,1530200,0,0
2019-12-19,198.0,198.0,192.0,192.0,458200,0,0
2019-12-20,192.0,192.0,182.0,191.0,649800,0,0
2019-12-23,191.0,198.0,185.0,190.0,2066200,0,0
2019-12-26,190.0,190.0,180.0,189.0,805400,0,0
2019-12-27,183.0,193.0,180.0,193.0,1091000,0,0
2019-12-30,193.0,200.0,184.0,200.0,5587900,0,0
2020-01-02,198.0,200.0,190.0,190.0,181600,0,0
2020-01-03,190.0,196.0,190.0,193.0,183600,0,0
2020-01-06,193.0,193.0,187.0,187.0,59200,0,0
2020-01-07,187.0,190.0,180.0,190.0,474500,0,0
2020-01-08,183.0,184.0,183.0,183.0,79500,0,0
2020-01-09,186.0,186.0,176.0,178.0,573500,0,0
2020-01-10,178.0,204.0,178.0,184.0,3676200,0,0
2020-01-13,184.0,198.0,183.0,184.0,1640500,0,0
2020-01-14,184.0,188.0,181.0,184.0,998200,0,0
2020-01-15,181.0,185.0,179.0,183.0,624000,0,0
2020-01-16,185.0,185.0,175.0,182.0,706500,0,0
2020-01-17,177.0,180.0,172.0,173.0,380800,0,0
2020-01-20,173.0,180.0,171.0,175.0,304100,0,0
2020-01-21,175.0,175.0,171.0,171.0,55400,0,0
2020-01-22,171.0,175.0,157.0,174.0,679400,0,0
2020-01-23,175.0,175.0,160.0,170.0,160600,0,0
2020-01-24,163.0,168.0,160.0,166.0,253300,0,0
2020-01-27,168.0,168.0,155.0,159.0,1064600,0,0
2020-01-28,158.0,158.0,152.0,152.0,84400,0,0
2020-01-29,150.0,160.0,146.0,159.0,276600,0,0
2020-01-30,159.0,164.0,151.0,157.0,87400,0,0
2020-01-31,157.0,157.0,142.0,149.0,163900,0,0
2020-02-03,146.0,149.0,130.0,135.0,272900,0,0
2020-02-04,136.0,142.0,136.0,142.0,54600,0,0
2020-02-05,144.0,144.0,139.0,142.0,11100,0,0
2020-02-06,142.0,142.0,136.0,138.0,60400,0,0
2020-02-07,136.0,136.0,130.0,135.0,37100,0,0
2020-02-10,135.0,135.0,129.0,133.0,172400,0,0
2020-02-11,132.0,136.0,129.0,136.0,149200,0,0
2020-02-12,136.0,136.0,133.0,136.0,284600,0,0
2020-02-13,133.0,133.0,127.0,127.0,24500,0,0
2020-02-14,125.0,128.0,110.0,128.0,139500,0,0
2020-02-17,128.0,128.0,128.0,128.0,200,0,0
2020-02-18,120.0,135.0,84.0,133.0,580400,0,0
2020-02-19,133.0,133.0,133.0,133.0,0,0,0
2020-02-20,133.0,133.0,133.0,133.0,0,0,0
2020-02-21,120.0,140.0,111.0,135.0,185100,0,0
2020-02-24,134.0,134.0,125.0,125.0,27300,0,0
2020-02-25,124.0,124.0,124.0,124.0,600,0,0
2020-02-26,124.0,124.0,123.0,123.0,1900,0,0
2020-02-27,120.0,120.0,109.0,112.0,184400,0,0
2020-02-28,112.0,112.0,90.0,112.0,496300,0,0
2020-03-02,110.0,110.0,99.0,99.0,900,0,0
2020-03-03,99.0,130.0,99.0,130.0,131800,0,0
2020-03-04,129.0,135.0,126.0,135.0,114800,0,0
2020-03-05,134.0,134.0,116.0,117.0,2500,0,0
2020-03-06,117.0,117.0,110.0,117.0,127000,0,0
2020-03-09,110.0,113.0,103.0,113.0,24000,0,0
2020-03-10,112.0,112.0,102.0,110.0,299600,0,0
2020-03-11,110.0,130.0,99.0,108.0,286600,0,0
2020-03-12,98.0,110.0,98.0,105.0,172300,0,0
2020-03-13,100.0,114.0,98.0,113.0,734800,0,0
2020-03-16,110.0,110.0,110.0,110.0,800,0,0
2020-03-17,110.0,110.0,110.0,110.0,0,0,0
2020-03-18,103.0,105.0,103.0,103.0,180300,0,0
2020-03-19,100.0,100.0,100.0,100.0,500,0,0
2020-03-20,99.0,100.0,97.0,100.0,81300,0,0
2020-03-23,100.0,100.0,100.0,100.0,0,0,0
2020-03-24,99.0,99.0,93.0,93.0,22200,0,0
2020-03-26,95.0,105.0,95.0,105.0,71900,0,0
2020-03-27,105.0,105.0,98.0,100.0,3700,0,0
2020-03-30,100.0,100.0,100.0,100.0,1200,0,0
2020-03-31,94.0,115.0,94.0,115.0,800,0,0
2020-04-01,107.0,107.0,107.0,107.0,10100,0,0
2020-04-02,107.0,110.0,100.0,110.0,1300,0,0
2020-04-03,112.0,112.0,111.0,111.0,200,0,0
2020-04-06,121.0,121.0,109.0,109.0,24000,0,0
2020-04-07,143.0,143.0,104.0,109.0,43700,0,0
2020-04-08,119.0,125.0,102.0,118.0,12500,0,0
2020-04-09,120.0,120.0,110.0,119.0,11400,0,0
2020-04-13,118.0,118.0,111.0,117.0,10700,0,0
2020-04-14,118.0,118.0,109.0,109.0,15500,0,0
2020-04-15,109.0,120.0,105.0,114.0,1300,0,0
2020-04-16,114.0,120.0,107.0,116.0,2300,0,0
2020-04-17,126.0,126.0,109.0,118.0,1600,0,0
2020-04-20,118.0,118.0,110.0,110.0,7400,0,0
2020-04-21,105.0,115.0,105.0,115.0,14500,0,0
2020-04-22,120.0,120.0,108.0,108.0,4700,0,0
2020-04-23,110.0,110.0,101.0,101.0,28500,0,0
2020-04-24,116.0,116.0,110.0,110.0,200,0,0
2020-04-27,103.0,112.0,103.0,111.0,21700,0,0
2020-04-28,110.0,112.0,104.0,109.0,11600,0,0
2020-04-29,119.0,119.0,108.0,108.0,6500,0,0
2020-04-30,113.0,113.0,101.0,108.0,18100,0,0
2020-05-04,101.0,107.0,101.0,101.0,13600,0,0
2020-05-05,101.0,110.0,101.0,108.0,6800,0,0
2020-05-06,113.0,113.0,112.0,112.0,200,0,0
2020-05-08,111.0,111.0,105.0,105.0,7000,0,0
2020-05-11,113.0,113.0,100.0,105.0,30900,0,0
2020-05-12,101.0,110.0,98.0,110.0,7300,0,0
2020-05-13,110.0,120.0,110.0,117.0,600,0,0
2020-05-14,117.0,117.0,109.0,109.0,6100,0,0
2020-05-15,102.0,110.0,102.0,102.0,10300,0,0
2020-05-18,95.0,105.0,95.0,105.0,12200,0,0
2020-05-19,105.0,105.0,105.0,105.0,12400,0,0
2020-05-20,105.0,108.0,105.0,108.0,11300,0,0
2020-05-26,108.0,111.0,106.0,109.0,25600,0,0
2020-05-27,109.0,112.0,102.0,109.0,137100,0,0
2020-05-28,112.0,112.0,102.0,110.0,105800,0,0
2020-05-29,103.0,110.0,103.0,110.0,55100,0,0
2020-06-02,103.0,109.0,103.0,107.0,34600,0,0
2020-06-03,106.0,110.0,100.0,110.0,17100,0,0
2020-06-04,104.0,112.0,103.0,103.0,117300,0,0
2020-06-05,97.0,107.0,97.0,107.0,2800,0,0
2020-06-08,107.0,120.0,107.0,115.0,13500,0,0
2020-06-09,115.0,120.0,107.0,107.0,25600,0,0
2020-06-10,107.0,107.0,100.0,100.0,30400,0,0
2020-06-11,110.0,110.0,93.0,93.0,493600,0,0
2020-06-12,98.0,104.0,96.0,102.0,10200,0,0
2020-06-15,100.0,103.0,95.0,95.0,89900,0,0
2020-06-16,101.0,101.0,94.0,96.0,90400,0,0
2020-06-17,101.0,101.0,90.0,99.0,834800,0,0
2020-06-18,99.0,99.0,93.0,95.0,1289800,0,0
2020-06-19,93.0,94.0,89.0,89.0,467500,0,0
2020-06-22,92.0,105.0,92.0,100.0,343200,0,0
2020-06-23,100.0,101.0,94.0,100.0,299800,0,0
2020-06-24,100.0,100.0,96.0,96.0,5400,0,0
2020-06-25,96.0,99.0,96.0,99.0,83700,0,0
2020-06-26,99.0,99.0,95.0,95.0,116100,0,0
2020-06-29,100.0,100.0,99.0,99.0,57100,0,0
2020-06-30,95.0,98.0,95.0,98.0,53000,0,0
2020-07-01,98.0,98.0,95.0,95.0,700,0,0
2020-07-02,96.0,96.0,95.0,95.0,12900,0,0
2020-07-03,95.0,105.0,95.0,99.0,360200,0,0
