Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-10,1675.0,1675.0,1675.0,1675.0,42900,0,0
2020-09-11,1930.0,2090.0,1930.0,2090.0,133800,0,0
2020-09-14,2350.0,2610.0,1945.0,1945.0,889700,0,0
2020-09-15,1895.0,1895.0,1810.0,1810.0,42800,0,0
2020-09-16,1685.0,1685.0,1685.0,1685.0,76800,0,0
2020-09-17,1570.0,1570.0,1570.0,1570.0,1600,0,0
2020-09-18,1465.0,1465.0,1465.0,1465.0,6200,0,0
2020-09-21,1440.0,1460.0,1365.0,1395.0,9800,0,0
2020-09-22,1300.0,1300.0,1300.0,1300.0,3200,0,0
2020-09-23,1280.0,1625.0,1210.0,1625.0,882900,0,0
2020-09-24,1675.0,2000.0,1515.0,1515.0,1184800,0,0
2020-09-25,1450.0,1450.0,1410.0,1410.0,29800,0,0
2020-09-28,1315.0,1580.0,1315.0,1330.0,420900,0,0
2020-09-29,1330.0,1330.0,1240.0,1240.0,121500,0,0
2020-09-30,1240.0,1390.0,1155.0,1160.0,226000,0,0
2020-10-01,1160.0,1280.0,1145.0,1190.0,34300,0,0
2020-10-02,1185.0,1400.0,1110.0,1350.0,449900,0,0
2020-10-05,1355.0,1395.0,1270.0,1345.0,1162100,0,0
2020-10-06,1345.0,1550.0,1345.0,1345.0,1260000,0,0
2020-10-07,1345.0,1345.0,1255.0,1255.0,136300,0,0
2020-10-08,1210.0,1275.0,1170.0,1170.0,222600,0,0
2020-10-09,1170.0,1260.0,1155.0,1240.0,160000,0,0
2020-10-12,1200.0,1240.0,1155.0,1155.0,142500,0,0
2020-10-13,1155.0,1220.0,1150.0,1150.0,331800,0,0
2020-10-14,1150.0,1150.0,1105.0,1130.0,141200,0,0
2020-10-15,1110.0,1145.0,1065.0,1130.0,91500,0,0
2020-10-16,1130.0,1145.0,1100.0,1125.0,26800,0,0
2020-10-19,1125.0,1135.0,1120.0,1130.0,36200,0,0
2020-10-20,1130.0,1135.0,1115.0,1135.0,120800,0,0
2020-10-21,1120.0,1120.0,1065.0,1065.0,17500,0,0
2020-10-22,1065.0,1200.0,995.0,1195.0,29200,0,0
2020-10-23,1135.0,1190.0,1135.0,1185.0,300,0,0
2020-10-26,1185.0,1185.0,1185.0,1185.0,0,0,0
2020-10-27,1170.0,1170.0,1105.0,1105.0,12600,0,0
2020-11-02,1105.0,1105.0,1105.0,1105.0,200,0,0
2020-11-03,1105.0,1105.0,1105.0,1105.0,0,0,0
2020-11-04,1105.0,1150.0,1030.0,1030.0,4300,0,0
2020-11-05,1000.0,1070.0,965.0,975.0,7300,0,0
2020-11-06,1000.0,1070.0,1000.0,1070.0,1100,0,0
2020-11-09,1070.0,1070.0,1015.0,1015.0,700,0,0
2020-11-10,1070.0,1110.0,980.0,980.0,6100,0,0
2020-11-11,1000.0,1015.0,915.0,980.0,10400,0,0
2020-11-12,935.0,980.0,935.0,980.0,2700,0,0
2020-11-13,980.0,980.0,915.0,920.0,21200,0,0
2020-11-16,920.0,920.0,860.0,860.0,43200,0,0
2020-11-17,895.0,895.0,895.0,895.0,2900,0,0
2020-11-18,935.0,950.0,935.0,940.0,8400,0,0
2020-11-19,895.0,900.0,895.0,895.0,1100,0,0
2020-11-20,895.0,925.0,880.0,925.0,5000,0,0
2020-11-23,925.0,945.0,925.0,930.0,9600,0,0
2020-11-24,930.0,970.0,905.0,905.0,28800,0,0
2020-11-25,905.0,930.0,905.0,930.0,2100,0,0
2020-11-26,930.0,940.0,890.0,935.0,3000,0,0
2020-11-27,900.0,920.0,900.0,900.0,4600,0,0
2020-11-30,900.0,900.0,840.0,900.0,18100,0,0
2020-12-01,850.0,895.0,850.0,895.0,900,0,0
2020-12-02,895.0,895.0,835.0,840.0,52900,0,0
2020-12-03,840.0,840.0,785.0,800.0,17300,0,0
2020-12-04,820.0,855.0,800.0,855.0,22200,0,0
2020-12-07,855.0,855.0,800.0,840.0,90800,0,0
2020-12-08,840.0,840.0,805.0,840.0,6700,0,0
2020-12-10,810.0,835.0,800.0,830.0,10800,0,0
2020-12-11,840.0,840.0,815.0,815.0,6700,0,0
2020-12-14,815.0,840.0,815.0,820.0,22500,0,0
2020-12-15,815.0,815.0,815.0,815.0,4200,0,0
2020-12-16,840.0,885.0,825.0,825.0,25800,0,0
2020-12-17,825.0,860.0,810.0,860.0,19500,0,0
2020-12-18,810.0,925.0,805.0,820.0,3600,0,0
2020-12-21,810.0,900.0,765.0,900.0,15300,0,0
2020-12-22,890.0,890.0,850.0,850.0,6700,0,0
2020-12-23,850.0,900.0,795.0,845.0,4800,0,0
2020-12-28,845.0,845.0,790.0,820.0,8800,0,0
2020-12-29,820.0,975.0,775.0,975.0,9900,0,0
2020-12-30,975.0,975.0,910.0,910.0,8600,0,0
2021-01-04,895.0,895.0,890.0,890.0,2800,0,0
2021-01-05,890.0,890.0,890.0,890.0,0,0,0
2021-01-06,920.0,950.0,890.0,900.0,23600,0,0
2021-01-07,885.0,890.0,885.0,890.0,2200,0,0
2021-01-08,890.0,905.0,830.0,830.0,13100,0,0
2021-01-11,830.0,970.0,795.0,970.0,12700,0,0
2021-01-12,965.0,965.0,905.0,905.0,21600,0,0
2021-01-13,905.0,905.0,845.0,845.0,900,0,0
2021-01-14,795.0,835.0,795.0,835.0,7000,0,0
2021-01-15,785.0,845.0,785.0,845.0,20200,0,0
2021-01-18,845.0,845.0,790.0,830.0,9800,0,0
2021-01-19,775.0,780.0,775.0,775.0,4600,0,0
2021-01-20,800.0,800.0,735.0,780.0,2800,0,0
2021-01-21,780.0,780.0,780.0,780.0,600,0,0
2021-01-22,775.0,775.0,775.0,775.0,500,0,0
2021-01-25,775.0,775.0,750.0,750.0,200,0,0
2021-01-26,750.0,905.0,750.0,850.0,28800,0,0
2021-01-27,850.0,850.0,795.0,840.0,6000,0,0
2021-01-28,840.0,840.0,785.0,785.0,600,0,0
2021-01-29,735.0,935.0,735.0,735.0,67600,0,0
2021-02-01,685.0,800.0,685.0,775.0,60900,0,0
2021-02-02,830.0,900.0,730.0,880.0,57500,0,0
2021-02-03,850.0,850.0,835.0,840.0,23500,0,0
2021-02-04,840.0,840.0,840.0,840.0,100,0,0
2021-02-05,785.0,785.0,785.0,785.0,23000,0,0
2021-02-08,785.0,920.0,785.0,850.0,13800,0,0
2021-02-09,830.0,830.0,795.0,795.0,3200,0,0
2021-02-10,790.0,790.0,750.0,785.0,2000,0,0
2021-02-11,785.0,785.0,785.0,785.0,0,0,0
2021-02-15,785.0,850.0,785.0,795.0,23500,0,0
2021-02-16,795.0,795.0,760.0,785.0,24000,0,0
2021-02-17,755.0,780.0,735.0,735.0,7800,0,0
2021-02-18,735.0,785.0,735.0,770.0,13600,0,0
2021-02-19,780.0,780.0,775.0,780.0,2700,0,0
2021-02-22,750.0,760.0,735.0,735.0,15900,0,0
2021-02-23,735.0,745.0,710.0,745.0,1000,0,0
2021-02-24,720.0,740.0,705.0,740.0,2600,0,0
2021-02-25,715.0,745.0,700.0,730.0,14900,0,0
2021-02-26,730.0,730.0,730.0,730.0,2300,0,0
2021-03-01,730.0,745.0,730.0,745.0,1900,0,0
2021-03-02,695.0,755.0,695.0,750.0,3200,0,0
2021-03-03,745.0,745.0,700.0,745.0,2000,0,0
2021-03-04,745.0,760.0,695.0,750.0,3400,0,0
2021-03-05,745.0,745.0,700.0,745.0,3200,0,0
2021-03-08,740.0,780.0,740.0,780.0,2200,0,0
2021-03-09,780.0,780.0,780.0,780.0,0,0,0
2021-03-10,770.0,780.0,730.0,735.0,2900,0,0
2021-03-12,785.0,785.0,735.0,770.0,4400,0,0
2021-03-15,765.0,765.0,765.0,765.0,100,0,0
2021-03-16,775.0,775.0,770.0,770.0,200,0,0
2021-03-17,720.0,735.0,720.0,720.0,7200,0,0
2021-03-18,695.0,730.0,670.0,670.0,11300,0,0
2021-03-19,680.0,690.0,670.0,670.0,6100,0,0
2021-03-22,675.0,675.0,670.0,670.0,2400,0,0
2021-03-23,680.0,745.0,680.0,685.0,3800,0,0
2021-03-24,685.0,700.0,670.0,670.0,9200,0,0
2021-03-25,675.0,710.0,670.0,670.0,8700,0,0
2021-03-26,670.0,670.0,670.0,670.0,35000,0,0
2021-03-29,670.0,700.0,665.0,695.0,14200,0,0
2021-03-30,695.0,695.0,690.0,690.0,2000,0,0
2021-03-31,670.0,670.0,645.0,645.0,6800,0,0
2021-04-01,645.0,670.0,645.0,670.0,900,0,0
2021-04-05,665.0,665.0,665.0,665.0,600,0,0
2021-04-06,665.0,830.0,660.0,750.0,27400,0,0
2021-04-07,700.0,710.0,700.0,700.0,14900,0,0
2021-04-08,700.0,700.0,655.0,695.0,2100,0,0
2021-04-09,660.0,660.0,650.0,650.0,2700,0,0
2021-04-12,650.0,680.0,620.0,675.0,6400,0,0
2021-04-13,630.0,645.0,630.0,645.0,2800,0,0
2021-04-14,635.0,670.0,635.0,670.0,300,0,0
2021-04-15,665.0,665.0,635.0,640.0,6400,0,0
2021-04-16,605.0,650.0,600.0,650.0,6400,0,0
2021-04-19,650.0,650.0,650.0,650.0,200,0,0
2021-04-20,610.0,615.0,605.0,605.0,9600,0,0
2021-04-21,610.0,615.0,610.0,615.0,800,0,0
2021-04-22,605.0,640.0,605.0,605.0,2600,0,0
2021-04-23,635.0,640.0,610.0,610.0,1100,0,0
2021-04-26,640.0,660.0,640.0,660.0,15400,0,0
2021-04-27,670.0,670.0,655.0,655.0,5200,0,0
2021-04-28,630.0,635.0,610.0,620.0,2400,0,0
2021-04-29,620.0,620.0,610.0,615.0,3300,0,0
2021-04-30,615.0,640.0,615.0,615.0,600,0,0
2021-05-03,580.0,615.0,580.0,615.0,200,0,0
2021-05-04,580.0,620.0,580.0,620.0,200,0,0
2021-05-05,620.0,620.0,600.0,615.0,800,0,0
2021-05-06,575.0,615.0,575.0,615.0,1100,0,0
2021-05-07,615.0,615.0,600.0,600.0,3900,0,0
2021-05-10,600.0,600.0,560.0,560.0,5000,0,0
2021-05-11,560.0,600.0,550.0,550.0,3400,0,0
2021-05-17,560.0,560.0,520.0,550.0,2900,0,0
2021-05-18,520.0,540.0,520.0,540.0,3800,0,0
2021-05-19,515.0,550.0,515.0,545.0,2800,0,0
2021-05-20,545.0,555.0,545.0,555.0,200,0,0
2021-05-21,525.0,600.0,520.0,520.0,10300,0,0
2021-05-24,520.0,520.0,520.0,520.0,1200,0,0
2021-05-25,520.0,555.0,520.0,555.0,13800,0,0
2021-05-27,595.0,595.0,520.0,520.0,2400,0,0
2021-05-28,484.0,540.0,484.0,515.0,1500,0,0
2021-05-31,515.0,550.0,480.0,490.0,4100,0,0
2021-06-02,492.0,494.0,492.0,494.0,700,0,0
2021-06-03,496.0,500.0,494.0,500.0,11400,0,0
2021-06-04,496.0,535.0,494.0,505.0,1400,0,0
2021-06-07,480.0,480.0,480.0,480.0,4000,0,0
2021-06-08,480.0,480.0,480.0,480.0,0,0,0
2021-06-09,480.0,480.0,480.0,480.0,0,0,0
2021-06-10,484.0,580.0,484.0,580.0,8300,0,0
2021-06-11,590.0,600.0,540.0,540.0,5900,0,0
2021-06-14,585.0,670.0,585.0,610.0,11100,0,0
2021-06-15,610.0,760.0,610.0,760.0,232500,0,0
2021-06-16,840.0,950.0,710.0,710.0,300900,0,0
2021-06-17,710.0,710.0,665.0,665.0,17700,0,0
2021-06-18,665.0,665.0,620.0,620.0,4700,0,0
2021-06-21,620.0,620.0,580.0,580.0,13600,0,0
2021-06-22,540.0,575.0,540.0,540.0,16900,0,0
2021-06-23,550.0,560.0,505.0,505.0,17000,0,0
2021-06-24,480.0,630.0,480.0,630.0,33500,0,0
2021-06-25,680.0,780.0,630.0,660.0,144900,0,0
2021-06-28,675.0,675.0,615.0,615.0,22700,0,0
2021-06-29,575.0,655.0,575.0,575.0,13700,0,0
2021-06-30,555.0,650.0,535.0,610.0,12400,0,0
2021-07-01,610.0,750.0,610.0,715.0,109500,0,0
2021-07-02,715.0,715.0,665.0,700.0,22900,0,0
2021-07-05,665.0,700.0,655.0,655.0,14300,0,0
2021-07-06,655.0,660.0,650.0,655.0,6300,0,0
2021-07-07,655.0,655.0,610.0,615.0,14100,0,0
2021-07-08,600.0,620.0,580.0,620.0,16700,0,0
2021-07-09,620.0,630.0,585.0,585.0,5200,0,0
2021-07-12,585.0,655.0,545.0,645.0,46600,0,0
2021-07-13,645.0,720.0,615.0,615.0,10000,0,0
2021-07-14,615.0,740.0,615.0,700.0,22200,0,0
2021-07-15,700.0,700.0,655.0,660.0,16200,0,0
2021-07-16,705.0,710.0,690.0,690.0,6600,0,0
2021-07-19,690.0,735.0,645.0,645.0,21800,0,0
2021-07-21,650.0,650.0,650.0,650.0,5500,0,0
2021-07-22,635.0,700.0,605.0,695.0,7100,0,0
2021-07-23,695.0,695.0,695.0,695.0,0,0,0
2021-07-26,690.0,690.0,655.0,690.0,2000,0,0
2021-07-27,650.0,650.0,645.0,645.0,1700,0,0
2021-07-28,640.0,710.0,640.0,710.0,7300,0,0
2021-07-29,710.0,720.0,665.0,665.0,3300,0,0
2021-07-30,665.0,665.0,630.0,660.0,300,0,0
2021-08-02,660.0,660.0,660.0,660.0,0,0,0
2021-08-03,705.0,705.0,695.0,695.0,1100,0,0
2021-08-04,650.0,685.0,650.0,685.0,700,0,0
2021-08-05,645.0,685.0,640.0,660.0,12700,0,0
2021-08-06,660.0,670.0,660.0,670.0,2300,0,0
2021-08-09,670.0,670.0,670.0,670.0,0,0,0
2021-08-10,670.0,690.0,670.0,690.0,6700,0,0
2021-08-12,690.0,690.0,690.0,690.0,0,0,0
2021-08-13,690.0,690.0,690.0,690.0,100,0,0
2021-08-16,690.0,690.0,690.0,690.0,0,0,0
2021-08-18,690.0,690.0,690.0,690.0,0,0,0
2021-08-19,685.0,685.0,685.0,685.0,300,0,0
2021-08-20,645.0,675.0,645.0,675.0,600,0,0
2021-08-23,630.0,675.0,630.0,640.0,9400,0,0
2021-08-24,640.0,675.0,600.0,670.0,6900,0,0
2021-08-25,660.0,660.0,660.0,660.0,100,0,0
2021-08-26,655.0,695.0,655.0,695.0,10000,0,0
2021-08-27,670.0,670.0,670.0,670.0,700,0,0
2021-08-30,670.0,670.0,670.0,670.0,0,0,0
2021-08-31,680.0,680.0,680.0,680.0,100,0,0
2021-09-01,680.0,680.0,680.0,680.0,0,0,0
2021-09-02,670.0,670.0,645.0,645.0,2000,0,0
2021-09-03,645.0,645.0,645.0,645.0,0,0,0
2021-09-06,645.0,645.0,645.0,645.0,0,0,0
2021-09-07,645.0,645.0,645.0,645.0,600,0,0
2021-09-08,650.0,650.0,640.0,640.0,1800,0,0
2021-09-09,625.0,670.0,600.0,670.0,6300,0,0
2021-09-10,670.0,670.0,670.0,670.0,0,0,0
2021-09-13,625.0,660.0,625.0,625.0,5600,0,0
2021-09-14,625.0,625.0,625.0,625.0,1700,0,0
2021-09-15,590.0,625.0,585.0,585.0,8600,0,0
2021-09-16,585.0,585.0,545.0,545.0,5500,0,0
2021-09-17,525.0,580.0,525.0,575.0,700,0,0
