Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-08,200.0,242.0,200.0,242.0,19118900,0,0
2021-09-09,282.0,302.0,282.0,302.0,18508200,0,0
2021-09-10,342.0,376.0,282.0,376.0,274815300,0,0
2021-09-13,400.0,470.0,354.0,470.0,217616300,0,0
2021-09-14,480.0,560.0,448.0,500.0,246644500,0,0
2021-09-15,484.0,525.0,466.0,466.0,119124000,0,0
2021-09-16,460.0,460.0,434.0,434.0,3319900,0,0
2021-09-17,404.0,468.0,404.0,434.0,139672400,0,0
2021-09-20,434.0,454.0,424.0,434.0,26771200,0,0
2021-09-21,430.0,448.0,418.0,440.0,13707800,0,0
2021-09-22,442.0,452.0,426.0,426.0,29812500,0,0
2021-09-23,426.0,426.0,410.0,412.0,5323500,0,0
2021-09-24,412.0,426.0,396.0,400.0,12207500,0,0
2021-09-27,400.0,426.0,386.0,418.0,21319600,0,0
2021-09-28,418.0,420.0,396.0,414.0,7302200,0,0
2021-09-29,412.0,430.0,400.0,410.0,29046300,0,0
2021-09-30,410.0,420.0,410.0,414.0,3290700,0,0
2021-10-01,414.0,448.0,414.0,448.0,42942200,0,0
2021-10-04,450.0,490.0,430.0,466.0,65436300,0,0
2021-10-05,468.0,486.0,460.0,480.0,51781700,0,0
2021-10-06,484.0,515.0,468.0,470.0,147424400,0,0
2021-10-07,470.0,476.0,438.0,438.0,22426800,0,0
2021-10-08,436.0,436.0,408.0,408.0,14032700,0,0
2021-10-11,380.0,420.0,380.0,412.0,43984500,0,0
2021-10-12,412.0,424.0,400.0,414.0,25558600,0,0
2021-10-13,414.0,414.0,394.0,394.0,6950500,0,0
2021-10-14,394.0,400.0,388.0,392.0,14658100,0,0
2021-10-15,392.0,414.0,388.0,400.0,25692200,0,0
2021-10-18,400.0,402.0,386.0,392.0,16155100,0,0
2021-10-19,392.0,394.0,386.0,392.0,7333500,0,0
2021-10-21,392.0,394.0,378.0,380.0,11509700,0,0
2021-10-22,380.0,390.0,376.0,382.0,3865800,0,0
2021-10-25,390.0,390.0,356.0,356.0,7215200,0,0
2021-10-26,356.0,356.0,332.0,334.0,8588500,0,0
2021-10-27,334.0,404.0,328.0,400.0,32894200,0,0
2021-10-28,420.0,420.0,372.0,404.0,38611000,0,0
2021-10-29,404.0,458.0,382.0,456.0,69275900,0,0
2021-11-01,450.0,525.0,426.0,510.0,44038100,0,0
2021-11-02,500.0,510.0,476.0,476.0,2836300,0,0
2021-11-03,460.0,460.0,444.0,444.0,5085500,0,0
2021-11-04,440.0,440.0,420.0,424.0,3442400,0,0
2021-11-05,424.0,426.0,412.0,414.0,4526300,0,0
2021-11-08,414.0,448.0,406.0,440.0,7881600,0,0
2021-11-09,448.0,448.0,420.0,424.0,3345900,0,0
2021-11-10,424.0,424.0,412.0,416.0,1123900,0,0
2021-11-11,416.0,416.0,410.0,416.0,731200,0,0
2021-11-12,416.0,436.0,400.0,426.0,6511100,0,0
2021-11-15,426.0,426.0,412.0,422.0,2770800,0,0
2021-11-16,422.0,422.0,410.0,412.0,402200,0,0
2021-11-17,412.0,412.0,410.0,410.0,1372400,0,0
2021-11-18,410.0,418.0,406.0,414.0,1075700,0,0
2021-11-19,414.0,416.0,406.0,416.0,888200,0,0
2021-11-22,416.0,416.0,406.0,408.0,488300,0,0
2021-11-23,408.0,410.0,404.0,404.0,639400,0,0
2021-11-24,404.0,406.0,400.0,404.0,546800,0,0
2021-11-25,404.0,404.0,400.0,402.0,614900,0,0
2021-11-26,402.0,402.0,398.0,402.0,736800,0,0
2021-11-29,402.0,402.0,396.0,402.0,497600,0,0
2021-11-30,402.0,402.0,392.0,392.0,1326900,0,0
2021-12-01,392.0,392.0,388.0,390.0,936500,0,0
2021-12-02,390.0,390.0,384.0,384.0,2967800,0,0
2021-12-03,384.0,386.0,380.0,386.0,370500,0,0
2021-12-06,386.0,386.0,382.0,386.0,493700,0,0
2021-12-07,386.0,386.0,382.0,384.0,500400,0,0
2021-12-08,382.0,384.0,380.0,382.0,516800,0,0
2021-12-09,380.0,400.0,376.0,384.0,272100,0,0
2021-12-10,384.0,396.0,382.0,394.0,2588700,0,0
2021-12-13,394.0,408.0,374.0,408.0,4503900,0,0
2021-12-14,408.0,448.0,400.0,440.0,11459800,0,0
2021-12-15,440.0,492.0,424.0,492.0,44327500,0,0
2021-12-16,494.0,498.0,458.0,458.0,62924400,0,0
2021-12-17,458.0,488.0,426.0,470.0,38569900,0,0
2021-12-20,468.0,476.0,450.0,472.0,26121900,0,0
2021-12-21,470.0,472.0,440.0,440.0,2811900,0,0
2021-12-22,440.0,440.0,410.0,410.0,4906300,0,0
2021-12-23,404.0,404.0,382.0,382.0,11624200,0,0
2021-12-24,380.0,382.0,356.0,356.0,6145100,0,0
2021-12-27,356.0,410.0,350.0,408.0,29483900,0,0
2021-12-28,410.0,416.0,380.0,410.0,17888000,0,0
2021-12-29,412.0,416.0,386.0,416.0,4676300,0,0
2021-12-30,416.0,424.0,404.0,420.0,14636500,0,0
2022-01-03,420.0,424.0,398.0,404.0,1165000,0,0
2022-01-04,404.0,406.0,376.0,384.0,35170600,0,0
2022-01-05,362.0,404.0,358.0,402.0,54704500,0,0
2022-01-06,404.0,404.0,374.0,374.0,35988400,0,0
2022-01-07,372.0,390.0,348.0,348.0,22060600,0,0
2022-01-10,348.0,348.0,342.0,342.0,2016400,0,0
2022-01-11,342.0,360.0,340.0,358.0,5656400,0,0
2022-01-12,358.0,424.0,344.0,422.0,37850100,0,0
2022-01-13,430.0,432.0,394.0,432.0,22921600,0,0
2022-01-14,432.0,434.0,402.0,402.0,3175000,0,0
2022-01-17,400.0,400.0,374.0,374.0,2258300,0,0
2022-01-18,372.0,388.0,350.0,350.0,4843900,0,0
2022-01-19,352.0,376.0,326.0,326.0,11783400,0,0
2022-01-20,330.0,348.0,304.0,306.0,6968000,0,0
2022-01-21,310.0,310.0,286.0,286.0,3204800,0,0
2022-01-24,290.0,302.0,266.0,266.0,2994000,0,0
2022-01-25,268.0,274.0,248.0,248.0,3058600,0,0
2022-01-26,250.0,286.0,232.0,232.0,35767600,0,0
2022-01-27,232.0,242.0,216.0,216.0,10389700,0,0
2022-01-28,218.0,230.0,202.0,202.0,23160000,0,0
2022-01-31,204.0,248.0,202.0,218.0,46418700,0,0
2022-02-02,222.0,250.0,218.0,250.0,49358500,0,0
2022-02-03,270.0,270.0,238.0,256.0,19595300,0,0
2022-02-04,256.0,260.0,240.0,260.0,31521300,0,0
2022-02-07,260.0,324.0,252.0,324.0,71538000,0,0
2022-02-08,342.0,346.0,306.0,330.0,34257500,0,0
