Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-07-07,450.0,560.0,450.0,560.0,51202000,0,0
2010-07-08,560.0,700.0,560.0,690.0,65617500,0,0
2010-07-09,700.0,710.0,530.0,570.0,17454500,0,0
2010-07-12,570.0,600.0,510.0,520.0,2670000,0,0
2010-07-13,520.0,530.0,500.0,520.0,3233500,0,0
2010-07-14,520.0,530.0,500.0,530.0,841500,0,0
2010-07-15,520.0,520.0,500.0,500.0,354500,0,0
2010-07-16,500.0,510.0,500.0,500.0,457500,0,0
2010-07-19,500.0,610.0,500.0,570.0,3134500,0,0
2010-07-20,570.0,570.0,540.0,540.0,648500,0,0
2010-07-21,530.0,550.0,520.0,530.0,222500,0,0
2010-07-22,530.0,540.0,520.0,530.0,199000,0,0
2010-07-23,530.0,550.0,530.0,530.0,327500,0,0
2010-07-26,520.0,540.0,520.0,520.0,441500,0,0
2010-07-27,510.0,520.0,500.0,520.0,57500,0,0
2010-07-28,510.0,510.0,500.0,510.0,194000,0,0
2010-07-29,500.0,520.0,500.0,500.0,247500,0,0
2010-07-30,500.0,510.0,500.0,510.0,143000,0,0
2010-08-02,510.0,510.0,500.0,500.0,447500,0,0
2010-08-03,500.0,510.0,500.0,500.0,494500,0,0
2010-08-04,500.0,530.0,500.0,510.0,737000,0,0
2010-08-05,510.0,530.0,510.0,530.0,179000,0,0
2010-08-06,520.0,520.0,500.0,510.0,899000,0,0
2010-08-09,500.0,520.0,500.0,520.0,888000,0,0
2010-08-10,510.0,510.0,500.0,510.0,114000,0,0
2010-08-11,500.0,510.0,500.0,510.0,637500,0,0
2010-08-12,500.0,510.0,500.0,510.0,343500,0,0
2010-08-13,510.0,520.0,500.0,520.0,17500,0,0
2010-08-16,500.0,510.0,500.0,500.0,30000,0,0
2010-08-18,500.0,500.0,500.0,500.0,40000,0,0
2010-08-19,500.0,510.0,500.0,500.0,554500,0,0
2010-08-20,500.0,500.0,500.0,500.0,216500,0,0
2010-08-23,500.0,500.0,500.0,500.0,160500,0,0
2010-08-24,500.0,500.0,500.0,500.0,121500,0,0
2010-08-25,500.0,500.0,500.0,500.0,115000,0,0
2010-08-26,510.0,510.0,500.0,510.0,165000,0,0
2010-08-27,500.0,500.0,500.0,500.0,117000,0,0
2010-08-30,500.0,510.0,500.0,500.0,963000,0,0
2010-08-31,500.0,500.0,500.0,500.0,100500,0,0
2010-09-01,520.0,520.0,500.0,520.0,511500,0,0
2010-09-02,520.0,520.0,500.0,520.0,139500,0,0
2010-09-03,500.0,510.0,500.0,500.0,429000,0,0
2010-09-06,510.0,550.0,510.0,510.0,274000,0,0
2010-09-07,530.0,530.0,500.0,530.0,116500,0,0
2010-09-15,530.0,530.0,510.0,530.0,74000,0,0
2010-09-16,540.0,540.0,510.0,540.0,242000,0,0
2010-09-17,550.0,560.0,540.0,550.0,110000,0,0
2010-09-20,540.0,540.0,520.0,540.0,24500,0,0
2010-09-21,520.0,520.0,510.0,520.0,15500,0,0
2010-09-22,510.0,530.0,510.0,510.0,13500,0,0
2010-09-23,510.0,510.0,510.0,510.0,27000,0,0
2010-09-24,510.0,510.0,510.0,510.0,27000,0,0
2010-09-27,500.0,530.0,500.0,500.0,12000,0,0
2010-09-28,500.0,500.0,500.0,500.0,20000,0,0
2010-09-29,510.0,510.0,500.0,510.0,5500,0,0
2010-09-30,530.0,530.0,510.0,530.0,66500,0,0
2010-10-01,530.0,540.0,520.0,530.0,109500,0,0
2010-10-04,530.0,550.0,530.0,530.0,123000,0,0
2010-10-05,520.0,520.0,510.0,520.0,65500,0,0
2010-10-06,520.0,520.0,520.0,520.0,65500,0,0
2010-10-07,510.0,520.0,510.0,510.0,96500,0,0
2010-10-08,500.0,510.0,500.0,500.0,12000,0,0
2010-10-11,500.0,520.0,500.0,500.0,123500,0,0
2010-10-12,520.0,520.0,500.0,520.0,245500,0,0
2010-10-13,510.0,510.0,510.0,510.0,500,0,0
2010-10-14,510.0,510.0,510.0,510.0,105000,0,0
2010-10-15,510.0,510.0,510.0,510.0,80000,0,0
2010-10-18,500.0,500.0,500.0,500.0,1000,0,0
2010-10-19,500.0,500.0,500.0,500.0,12000,0,0
2010-10-20,500.0,500.0,500.0,500.0,75500,0,0
2010-10-21,500.0,500.0,500.0,500.0,80000,0,0
2010-10-22,510.0,510.0,500.0,510.0,27500,0,0
2010-10-25,500.0,520.0,500.0,500.0,45500,0,0
2010-10-26,500.0,500.0,500.0,500.0,38500,0,0
2010-10-27,530.0,530.0,500.0,530.0,150500,0,0
2010-10-28,530.0,530.0,500.0,530.0,167500,0,0
2010-10-29,510.0,510.0,510.0,510.0,10500,0,0
2010-11-01,500.0,500.0,500.0,500.0,10000,0,0
2010-11-02,500.0,500.0,500.0,500.0,68000,0,0
2010-11-03,500.0,500.0,500.0,500.0,11500,0,0
2010-11-04,510.0,510.0,500.0,510.0,26000,0,0
2010-11-05,510.0,510.0,510.0,510.0,100000,0,0
2010-11-08,510.0,510.0,510.0,510.0,100000,0,0
2010-11-09,520.0,520.0,495.0,520.0,162500,0,0
2010-11-10,510.0,510.0,495.0,510.0,211000,0,0
2010-11-11,500.0,500.0,500.0,500.0,90000,0,0
2010-11-12,510.0,510.0,500.0,510.0,61500,0,0
2010-11-15,500.0,500.0,500.0,500.0,12500,0,0
2010-11-16,500.0,500.0,500.0,500.0,1000,0,0
2010-11-18,500.0,500.0,500.0,500.0,12500,0,0
2010-11-19,500.0,500.0,500.0,500.0,17500,0,0
2010-11-22,500.0,500.0,500.0,500.0,17500,0,0
2010-11-23,500.0,500.0,500.0,500.0,500,0,0
2010-11-24,500.0,500.0,500.0,500.0,62000,0,0
2010-11-25,510.0,510.0,510.0,510.0,86500,0,0
2010-11-26,500.0,500.0,500.0,500.0,12500,0,0
2010-11-29,500.0,510.0,495.0,500.0,57000,0,0
2010-11-30,500.0,510.0,500.0,500.0,35500,0,0
2010-12-01,500.0,510.0,500.0,500.0,31000,0,0
2010-12-02,510.0,530.0,510.0,510.0,135000,0,0
2010-12-03,510.0,510.0,500.0,510.0,105000,0,0
2010-12-06,510.0,510.0,500.0,510.0,24500,0,0
2010-12-08,500.0,500.0,500.0,500.0,49000,0,0
2010-12-09,510.0,520.0,510.0,510.0,57500,0,0
2010-12-10,510.0,510.0,510.0,510.0,31000,0,0
2010-12-13,510.0,510.0,510.0,510.0,25500,0,0
2010-12-14,520.0,520.0,500.0,520.0,15500,0,0
2010-12-15,500.0,510.0,500.0,500.0,100000,0,0
2010-12-16,510.0,510.0,510.0,510.0,20000,0,0
2010-12-17,500.0,500.0,500.0,500.0,12500,0,0
2010-12-20,510.0,510.0,500.0,510.0,45000,0,0
2010-12-21,510.0,510.0,500.0,510.0,19000,0,0
2010-12-22,510.0,510.0,510.0,510.0,19000,0,0
2010-12-23,500.0,500.0,500.0,500.0,4000,0,0
2010-12-27,500.0,500.0,500.0,500.0,1500,0,0
2010-12-28,510.0,510.0,500.0,510.0,6000,0,0
2010-12-29,510.0,510.0,500.0,510.0,69000,0,0
2010-12-30,550.0,550.0,500.0,550.0,172000,0,0
2011-01-03,520.0,530.0,520.0,520.0,3000,0,0
2011-01-04,520.0,520.0,520.0,520.0,3000,0,0
2011-01-05,500.0,500.0,500.0,500.0,7500,0,0
2011-01-06,510.0,510.0,510.0,510.0,3000,0,0
2011-01-07,510.0,510.0,510.0,510.0,3000,0,0
2011-01-10,520.0,520.0,495.0,520.0,51000,0,0
2011-01-11,520.0,520.0,520.0,520.0,51000,0,0
2011-01-12,510.0,510.0,495.0,510.0,32000,0,0
2011-01-13,510.0,510.0,510.0,510.0,32000,0,0
2011-01-14,510.0,510.0,510.0,510.0,32000,0,0
2011-01-17,510.0,510.0,510.0,510.0,32000,0,0
2011-01-18,510.0,510.0,510.0,510.0,32000,0,0
2011-01-19,510.0,510.0,495.0,510.0,31000,0,0
2011-01-20,500.0,500.0,500.0,500.0,5000,0,0
2011-01-21,500.0,500.0,500.0,500.0,5000,0,0
2011-01-24,500.0,510.0,495.0,500.0,508500,0,0
2011-01-25,500.0,500.0,500.0,500.0,508500,0,0
2011-01-26,500.0,500.0,495.0,500.0,18000,0,0
2011-01-27,500.0,500.0,500.0,500.0,5000,0,0
2011-01-28,500.0,510.0,500.0,500.0,69000,0,0
2011-01-31,500.0,500.0,500.0,500.0,69000,0,0
2011-02-01,500.0,500.0,500.0,500.0,69000,0,0
2011-02-02,500.0,500.0,500.0,500.0,69000,0,0
2011-02-04,500.0,500.0,500.0,500.0,69000,0,0
2011-02-07,500.0,500.0,500.0,500.0,69000,0,0
2011-02-08,500.0,500.0,500.0,500.0,1000,0,0
2011-02-09,500.0,500.0,500.0,500.0,5000,0,0
2011-02-10,530.0,530.0,500.0,530.0,59000,0,0
2011-02-11,540.0,540.0,500.0,540.0,29000,0,0
2011-02-14,530.0,530.0,530.0,530.0,20000,0,0
2011-02-16,495.0,520.0,495.0,495.0,34000,0,0
2011-02-17,520.0,520.0,520.0,520.0,1000,0,0
2011-02-18,520.0,520.0,520.0,520.0,1000,0,0
2011-02-21,495.0,500.0,495.0,495.0,25000,0,0
2011-02-22,510.0,510.0,510.0,510.0,1000,0,0
2011-02-23,510.0,510.0,510.0,510.0,1000,0,0
2011-02-24,510.0,510.0,495.0,510.0,31500,0,0
2011-02-25,510.0,510.0,510.0,510.0,2500,0,0
2011-02-28,510.0,510.0,510.0,510.0,2500,0,0
2011-03-01,510.0,510.0,500.0,510.0,89500,0,0
2011-03-02,500.0,500.0,500.0,500.0,13500,0,0
2011-03-03,500.0,500.0,500.0,500.0,13500,0,0
2011-03-04,520.0,520.0,500.0,520.0,69000,0,0
2011-03-07,500.0,510.0,495.0,500.0,73500,0,0
2011-03-08,510.0,510.0,510.0,510.0,500,0,0
2011-03-09,510.0,510.0,495.0,510.0,7000,0,0
2011-03-10,510.0,510.0,510.0,510.0,7000,0,0
2011-03-11,510.0,510.0,495.0,510.0,15000,0,0
2011-03-14,495.0,495.0,495.0,495.0,10000,0,0
2011-03-15,495.0,495.0,495.0,495.0,10000,0,0
2011-03-16,500.0,510.0,495.0,500.0,69500,0,0
2011-03-17,510.0,510.0,510.0,510.0,1500,0,0
2011-03-18,510.0,510.0,510.0,510.0,1500,0,0
2011-03-21,510.0,510.0,510.0,510.0,1500,0,0
2011-03-22,510.0,510.0,510.0,510.0,1500,0,0
2011-03-23,510.0,510.0,510.0,510.0,1500,0,0
2011-03-24,510.0,510.0,510.0,510.0,2000,0,0
2011-03-25,510.0,510.0,510.0,510.0,2000,0,0
2011-03-28,500.0,500.0,495.0,500.0,45000,0,0
2011-03-29,530.0,540.0,510.0,530.0,430000,0,0
2011-03-30,540.0,540.0,520.0,540.0,83000,0,0
2011-03-31,540.0,540.0,530.0,540.0,20500,0,0
2011-04-01,540.0,540.0,540.0,540.0,20500,0,0
2011-04-04,540.0,540.0,540.0,540.0,20500,0,0
2011-04-05,540.0,540.0,495.0,540.0,32000,0,0
2011-04-06,530.0,530.0,530.0,530.0,1000,0,0
2011-04-07,530.0,570.0,520.0,530.0,91000,0,0
2011-04-08,530.0,530.0,530.0,530.0,91000,0,0
2011-04-11,540.0,540.0,500.0,540.0,53000,0,0
2011-04-12,540.0,540.0,510.0,540.0,55000,0,0
2011-04-13,510.0,510.0,510.0,510.0,500,0,0
2011-04-14,510.0,510.0,510.0,510.0,500,0,0
2011-04-15,550.0,550.0,540.0,550.0,3500,0,0
2011-04-18,520.0,520.0,520.0,520.0,25000,0,0
2011-04-19,520.0,520.0,520.0,520.0,25000,0,0
2011-04-20,530.0,530.0,530.0,530.0,10000,0,0
2011-04-21,540.0,540.0,520.0,540.0,80000,0,0
2011-04-25,550.0,550.0,520.0,550.0,138500,0,0
2011-04-26,550.0,550.0,550.0,550.0,7000,0,0
2011-04-27,550.0,550.0,540.0,550.0,1500,0,0
2011-04-28,550.0,550.0,540.0,550.0,57000,0,0
2011-04-29,540.0,540.0,540.0,540.0,50000,0,0
2011-05-02,560.0,560.0,560.0,560.0,5000,0,0
2011-05-03,560.0,560.0,560.0,560.0,5000,0,0
2011-05-04,560.0,560.0,540.0,560.0,51000,0,0
2011-05-05,570.0,570.0,550.0,570.0,59500,0,0
2011-05-06,560.0,560.0,520.0,560.0,4000,0,0
2011-05-09,570.0,580.0,570.0,570.0,161000,0,0
2011-05-10,550.0,550.0,550.0,550.0,1000,0,0
2011-05-11,580.0,580.0,550.0,580.0,47500,0,0
2011-05-12,570.0,570.0,570.0,570.0,17500,0,0
2011-05-13,590.0,590.0,580.0,590.0,75000,0,0
2011-05-16,590.0,590.0,590.0,590.0,75000,0,0
2011-05-19,600.0,600.0,580.0,600.0,75000,0,0
2011-05-20,600.0,600.0,580.0,600.0,96000,0,0
2011-05-23,580.0,580.0,580.0,580.0,10500,0,0
2011-05-24,600.0,600.0,600.0,600.0,12500,0,0
2011-05-25,600.0,600.0,600.0,600.0,12500,0,0
2011-05-26,600.0,600.0,600.0,600.0,12500,0,0
2011-05-27,600.0,600.0,600.0,600.0,500,0,0
2011-05-30,610.0,610.0,590.0,610.0,128500,0,0
2011-05-31,610.0,610.0,550.0,610.0,113500,0,0
2011-06-01,620.0,620.0,590.0,620.0,137000,0,0
2011-06-03,620.0,620.0,620.0,620.0,137000,0,0
2011-06-06,600.0,650.0,600.0,600.0,52500,0,0
2011-06-07,610.0,650.0,600.0,610.0,209000,0,0
2011-06-08,600.0,600.0,590.0,600.0,3000,0,0
2011-06-09,590.0,590.0,590.0,590.0,4000,0,0
2011-06-10,610.0,610.0,600.0,610.0,63500,0,0
2011-06-13,610.0,610.0,610.0,610.0,63500,0,0
2011-06-14,600.0,600.0,580.0,600.0,17500,0,0
2011-06-15,600.0,600.0,580.0,600.0,8000,0,0
2011-06-16,580.0,580.0,580.0,580.0,5000,0,0
2011-06-17,580.0,580.0,580.0,580.0,50000,0,0
2011-06-20,570.0,570.0,570.0,570.0,1000,0,0
2011-06-21,570.0,570.0,570.0,570.0,1000,0,0
2011-06-22,580.0,580.0,570.0,580.0,54000,0,0
