Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-04-27,100.0,100.0,30.0,30.0,0,0,0
2001-04-30,55.0,55.0,55.0,55.0,1500,0,0
2001-05-01,55.0,55.0,55.0,55.0,0,0,0
2001-05-02,55.0,55.0,55.0,55.0,0,0,0
2001-05-03,55.0,55.0,55.0,55.0,0,0,0
2001-05-04,55.0,55.0,55.0,55.0,0,0,0
2001-05-07,55.0,55.0,55.0,55.0,0,0,0
2001-05-08,55.0,55.0,55.0,55.0,0,0,0
2001-05-09,55.0,55.0,55.0,55.0,0,0,0
2001-05-10,75.0,75.0,75.0,75.0,2500,0,0
2001-05-11,75.0,75.0,75.0,75.0,0,0,0
2001-05-14,75.0,75.0,75.0,75.0,0,0,0
2001-05-15,75.0,75.0,75.0,75.0,0,0,0
2001-05-16,95.0,100.0,65.0,65.0,5000,0,0
2001-05-17,65.0,65.0,65.0,65.0,0,0,0
2001-05-18,65.0,65.0,65.0,65.0,0,0,0
2001-05-21,65.0,65.0,65.0,65.0,0,0,0
2001-05-22,65.0,65.0,65.0,65.0,0,0,0
2001-05-23,65.0,65.0,65.0,65.0,10000,0,0
2001-05-24,65.0,65.0,65.0,65.0,0,0,0
2001-05-25,75.0,75.0,75.0,75.0,5000,0,0
2001-05-28,75.0,75.0,75.0,75.0,0,0,0
2001-05-29,75.0,75.0,75.0,75.0,0,0,0
2001-05-30,75.0,75.0,75.0,75.0,0,0,0
2001-05-31,75.0,75.0,75.0,75.0,0,0,0
2001-06-01,75.0,75.0,75.0,75.0,0,0,0
2001-06-04,75.0,75.0,75.0,75.0,0,0,0
2001-06-05,75.0,75.0,75.0,75.0,0,0,0
2001-06-06,75.0,75.0,75.0,75.0,0,0,0
2001-06-07,75.0,75.0,75.0,75.0,0,0,0
2001-06-08,70.0,70.0,70.0,70.0,12500,0,0
2001-06-11,70.0,70.0,70.0,70.0,0,0,0
2001-06-12,70.0,70.0,70.0,70.0,0,0,0
2001-06-13,70.0,70.0,70.0,70.0,16500,0,0
2001-06-14,70.0,70.0,70.0,70.0,0,0,0
2001-06-15,70.0,70.0,70.0,70.0,0,0,0
2001-06-18,70.0,70.0,70.0,70.0,0,0,0
2001-06-19,70.0,70.0,70.0,70.0,0,0,0
2001-06-20,75.0,75.0,75.0,75.0,10500,0,0
2001-06-21,75.0,75.0,75.0,75.0,0,0,0
2001-06-22,75.0,75.0,75.0,75.0,0,0,0
2001-06-25,75.0,75.0,75.0,75.0,0,0,0
2001-06-26,85.0,85.0,85.0,85.0,7000,0,0
2001-06-27,85.0,85.0,75.0,75.0,12500,0,0
2001-06-28,75.0,75.0,75.0,75.0,0,0,0
2001-06-29,75.0,75.0,75.0,75.0,0,0,0
2001-07-02,75.0,75.0,75.0,75.0,0,0,0
2001-07-03,75.0,75.0,75.0,75.0,0,0,0
2001-07-04,75.0,75.0,75.0,75.0,0,0,0
2001-07-05,70.0,70.0,70.0,70.0,2500,0,0
2001-07-06,70.0,70.0,70.0,70.0,0,0,0
