Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-07,110.0,110.0,110.0,110.0,6300,0,0
2020-07-08,121.0,121.0,114.0,114.0,59449400,0,0
2020-07-09,120.0,120.0,105.0,111.0,13704500,0,0
2020-07-10,119.0,119.0,100.0,100.0,12979900,0,0
2020-07-13,90.0,100.0,90.0,90.0,3754000,0,0
2020-07-14,89.0,92.0,81.0,84.0,23129000,0,0
2020-07-15,76.0,85.0,76.0,81.0,3305300,0,0
2020-07-16,73.0,89.0,73.0,89.0,7690500,0,0
2020-07-17,93.0,96.0,83.0,86.0,11949900,0,0
2020-07-20,78.0,88.0,78.0,82.0,1889800,0,0
2020-07-21,83.0,88.0,83.0,85.0,3215600,0,0
2020-07-22,85.0,86.0,83.0,84.0,1036000,0,0
2020-07-23,84.0,85.0,81.0,84.0,1079300,0,0
2020-07-24,82.0,84.0,79.0,80.0,2485800,0,0
2020-07-27,80.0,81.0,77.0,78.0,2113800,0,0
2020-07-28,71.0,82.0,71.0,78.0,2340400,0,0
2020-07-29,78.0,78.0,75.0,75.0,1013400,0,0
2020-07-30,75.0,75.0,73.0,73.0,1449200,0,0
2020-08-03,73.0,73.0,67.0,68.0,1935500,0,0
2020-08-04,64.0,74.0,64.0,73.0,2289100,0,0
2020-08-05,72.0,76.0,71.0,74.0,552600,0,0
2020-08-06,74.0,78.0,70.0,74.0,1405100,0,0
2020-08-07,74.0,75.0,72.0,74.0,600100,0,0
2020-08-10,74.0,74.0,71.0,73.0,342100,0,0
2020-08-11,72.0,78.0,69.0,75.0,3980100,0,0
2020-08-12,75.0,75.0,73.0,74.0,236200,0,0
2020-08-13,73.0,75.0,72.0,74.0,239800,0,0
2020-08-14,73.0,74.0,72.0,72.0,263600,0,0
2020-08-18,73.0,73.0,71.0,73.0,860900,0,0
2020-08-19,73.0,73.0,71.0,73.0,450800,0,0
2020-08-24,73.0,73.0,70.0,72.0,653700,0,0
2020-08-25,72.0,74.0,70.0,73.0,1727100,0,0
2020-08-26,73.0,73.0,71.0,73.0,250300,0,0
2020-08-27,75.0,75.0,71.0,73.0,987100,0,0
2020-08-28,73.0,75.0,71.0,74.0,3035800,0,0
2020-08-31,74.0,75.0,72.0,72.0,595900,0,0
2020-09-01,74.0,74.0,72.0,73.0,720100,0,0
2020-09-02,72.0,74.0,72.0,73.0,309700,0,0
2020-09-03,75.0,75.0,72.0,73.0,41500,0,0
2020-09-04,73.0,73.0,72.0,73.0,97100,0,0
2020-09-07,73.0,73.0,70.0,73.0,266100,0,0
2020-09-08,71.0,73.0,70.0,70.0,215800,0,0
2020-09-09,70.0,72.0,68.0,69.0,514900,0,0
2020-09-10,69.0,70.0,69.0,70.0,6828800,0,0
2020-09-11,71.0,71.0,69.0,70.0,648500,0,0
2020-09-14,71.0,71.0,70.0,70.0,253500,0,0
2020-09-15,71.0,71.0,70.0,70.0,121700,0,0
2020-09-16,70.0,71.0,70.0,70.0,266100,0,0
2020-09-17,71.0,71.0,70.0,71.0,304200,0,0
2020-09-18,71.0,71.0,68.0,70.0,631800,0,0
2020-09-21,70.0,71.0,70.0,70.0,268300,0,0
2020-09-22,68.0,70.0,66.0,67.0,101200,0,0
2020-09-23,63.0,71.0,63.0,69.0,216700,0,0
2020-09-24,69.0,69.0,66.0,67.0,393700,0,0
2020-09-25,67.0,73.0,67.0,73.0,3122100,0,0
2020-09-28,77.0,80.0,73.0,80.0,1925500,0,0
2020-09-29,82.0,88.0,81.0,88.0,6003000,0,0
2020-09-30,89.0,96.0,89.0,96.0,4405000,0,0
2020-10-01,97.0,99.0,95.0,96.0,2265800,0,0
2020-10-02,96.0,96.0,87.0,88.0,666600,0,0
2020-10-05,88.0,95.0,84.0,92.0,3179200,0,0
2020-10-06,92.0,92.0,88.0,89.0,26000,0,0
2020-10-07,89.0,97.0,83.0,97.0,1585800,0,0
2020-10-08,102.0,102.0,98.0,100.0,993600,0,0
2020-10-09,102.0,102.0,100.0,100.0,566200,0,0
2020-10-12,100.0,101.0,100.0,100.0,278600,0,0
2020-10-13,100.0,104.0,100.0,103.0,859100,0,0
2020-10-14,104.0,104.0,102.0,102.0,319200,0,0
2020-10-15,103.0,103.0,100.0,100.0,606500,0,0
2020-10-16,100.0,101.0,100.0,100.0,48800,0,0
2020-10-19,100.0,102.0,100.0,101.0,441000,0,0
2020-10-20,100.0,101.0,100.0,100.0,112400,0,0
2020-10-21,100.0,101.0,100.0,100.0,525400,0,0
2020-10-22,100.0,100.0,100.0,100.0,35200,0,0
2020-10-23,100.0,101.0,100.0,100.0,272400,0,0
2020-10-26,101.0,101.0,100.0,100.0,90200,0,0
2020-10-27,103.0,110.0,101.0,107.0,893600,0,0
2020-11-02,107.0,107.0,105.0,106.0,87400,0,0
2020-11-03,110.0,110.0,105.0,109.0,34500,0,0
2020-11-04,109.0,118.0,107.0,107.0,48900,0,0
2020-11-05,101.0,106.0,101.0,105.0,127300,0,0
2020-11-06,104.0,110.0,104.0,109.0,27400,0,0
2020-11-09,106.0,106.0,104.0,104.0,149500,0,0
2020-11-10,109.0,109.0,100.0,109.0,115500,0,0
2020-11-11,109.0,109.0,104.0,109.0,25400,0,0
2020-11-12,109.0,109.0,102.0,104.0,103300,0,0
2020-11-13,102.0,107.0,101.0,106.0,42100,0,0
2020-11-16,103.0,106.0,103.0,103.0,55600,0,0
2020-11-17,104.0,105.0,100.0,101.0,5100,0,0
2020-11-18,106.0,106.0,105.0,105.0,17300,0,0
2020-11-19,106.0,106.0,100.0,105.0,57400,0,0
2020-11-20,106.0,109.0,104.0,104.0,14400,0,0
2020-11-23,104.0,109.0,101.0,104.0,39700,0,0
2020-11-24,104.0,107.0,104.0,104.0,109100,0,0
2020-11-25,104.0,107.0,101.0,107.0,1664700,0,0
2020-11-26,107.0,107.0,101.0,106.0,28100,0,0
2020-11-27,105.0,106.0,105.0,106.0,400,0,0
2020-11-30,106.0,106.0,101.0,104.0,24000,0,0
2020-12-01,100.0,103.0,99.0,103.0,214900,0,0
2020-12-02,104.0,104.0,100.0,102.0,15200,0,0
2020-12-03,99.0,102.0,99.0,102.0,50700,0,0
2020-12-04,102.0,102.0,99.0,100.0,36100,0,0
2020-12-07,100.0,105.0,98.0,104.0,312700,0,0
2020-12-08,99.0,103.0,99.0,103.0,26200,0,0
2020-12-10,103.0,103.0,103.0,103.0,0,0,0
2020-12-11,99.0,104.0,99.0,103.0,400,0,0
2020-12-14,102.0,103.0,100.0,103.0,22100,0,0
2020-12-15,98.0,104.0,98.0,103.0,24600,0,0
2020-12-16,100.0,108.0,100.0,103.0,15600,0,0
2020-12-17,104.0,110.0,99.0,104.0,142300,0,0
2020-12-18,104.0,104.0,99.0,103.0,107500,0,0
2020-12-21,103.0,103.0,99.0,101.0,65600,0,0
2020-12-22,101.0,110.0,99.0,103.0,88600,0,0
2020-12-23,99.0,106.0,99.0,106.0,95400,0,0
2020-12-28,106.0,106.0,105.0,105.0,5200,0,0
2020-12-29,100.0,105.0,99.0,104.0,79700,0,0
2020-12-30,104.0,108.0,101.0,108.0,40900,0,0
2021-01-04,104.0,107.0,104.0,105.0,1400,0,0
2021-01-05,108.0,108.0,99.0,103.0,40900,0,0
2021-01-06,107.0,107.0,99.0,105.0,29300,0,0
2021-01-07,105.0,105.0,95.0,102.0,1509600,0,0
2021-01-08,100.0,102.0,99.0,102.0,3400,0,0
2021-01-11,100.0,100.0,99.0,100.0,184600,0,0
2021-01-12,102.0,102.0,99.0,100.0,62000,0,0
2021-01-13,100.0,100.0,99.0,100.0,1017900,0,0
2021-01-14,95.0,100.0,95.0,97.0,17800,0,0
2021-01-15,98.0,98.0,97.0,98.0,8000,0,0
2021-01-18,99.0,103.0,98.0,101.0,90400,0,0
2021-01-19,102.0,102.0,95.0,95.0,9500,0,0
2021-01-20,103.0,103.0,86.0,101.0,12000,0,0
2021-01-21,101.0,102.0,97.0,101.0,1900,0,0
2021-01-22,110.0,110.0,97.0,105.0,106500,0,0
2021-01-25,114.0,114.0,95.0,102.0,7700,0,0
2021-01-26,111.0,111.0,97.0,101.0,6800,0,0
2021-01-27,95.0,100.0,91.0,100.0,13400,0,0
2021-01-28,109.0,109.0,90.0,99.0,13800,0,0
2021-01-29,99.0,99.0,90.0,98.0,8700,0,0
2021-02-01,106.0,106.0,90.0,98.0,13600,0,0
2021-02-02,106.0,106.0,90.0,100.0,13400,0,0
2021-02-03,109.0,109.0,94.0,94.0,49200,0,0
2021-02-04,102.0,102.0,85.0,86.0,163500,0,0
2021-02-05,93.0,93.0,86.0,90.0,37500,0,0
2021-02-08,98.0,99.0,81.0,92.0,40700,0,0
2021-02-09,100.0,100.0,83.0,84.0,97000,0,0
2021-02-10,91.0,91.0,77.0,85.0,34300,0,0
2021-02-11,92.0,92.0,81.0,85.0,16600,0,0
2021-02-15,92.0,92.0,82.0,88.0,10600,0,0
2021-02-16,95.0,95.0,83.0,86.0,17800,0,0
2021-02-17,93.0,93.0,81.0,84.0,64400,0,0
2021-02-18,84.0,84.0,80.0,83.0,16700,0,0
2021-02-19,84.0,89.0,83.0,88.0,36700,0,0
2021-02-22,95.0,95.0,85.0,88.0,111200,0,0
2021-02-23,95.0,96.0,90.0,91.0,95300,0,0
2021-02-24,91.0,96.0,86.0,93.0,42900,0,0
2021-02-25,102.0,102.0,89.0,99.0,259300,0,0
2021-02-26,107.0,107.0,93.0,96.0,17000,0,0
2021-03-01,104.0,105.0,96.0,99.0,12300,0,0
2021-03-02,100.0,108.0,90.0,96.0,323400,0,0
2021-03-03,96.0,105.0,93.0,100.0,148500,0,0
2021-03-04,109.0,109.0,90.0,91.0,75600,0,0
2021-03-05,99.0,100.0,86.0,99.0,568200,0,0
2021-03-08,107.0,108.0,93.0,100.0,403900,0,0
