Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-05,262.0,262.0,262.0,262.0,11300,0,0
2018-10-08,326.0,326.0,326.0,326.0,2400,0,0
2018-10-09,406.0,406.0,406.0,406.0,44700,0,0
2018-10-10,470.0,505.0,470.0,505.0,698500,0,0
2018-10-11,550.0,630.0,550.0,630.0,213339100,0,0
2018-10-12,700.0,785.0,690.0,785.0,1002300,0,0
2018-10-15,790.0,980.0,790.0,970.0,1381900,0,0
2018-10-16,970.0,970.0,970.0,970.0,0,0,0
2018-10-17,1000.0,1210.0,980.0,1210.0,4260200,0,0
2018-10-18,1290.0,1510.0,1290.0,1510.0,2687400,0,0
2018-10-19,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-10-22,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-10-23,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-10-24,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-10-25,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-10-26,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-10-29,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-10-30,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-10-31,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-01,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-02,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-05,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-06,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-07,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-08,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-09,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-12,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-13,1510.0,1510.0,1510.0,1510.0,0,0,0
2018-11-14,1510.0,1885.0,1210.0,1885.0,1766800,0,0
2018-11-15,2080.0,2350.0,2080.0,2350.0,1369300,0,0
2018-11-16,2400.0,2930.0,2350.0,2930.0,398700,0,0
2018-11-19,3250.0,3660.0,3250.0,3660.0,136100,0,0
2018-11-20,3660.0,3660.0,3660.0,3660.0,0,0,0
2018-11-21,3700.0,4570.0,2750.0,3330.0,4283900,0,0
2018-11-22,3330.0,3330.0,2850.0,3330.0,2525900,0,0
2018-11-23,3300.0,3610.0,3030.0,3300.0,1181900,0,0
2018-11-26,3150.0,3250.0,2910.0,2990.0,439400,0,0
2018-11-27,2990.0,2990.0,2260.0,2420.0,1122400,0,0
2018-11-28,2420.0,2420.0,1850.0,1900.0,712300,0,0
2018-11-29,1900.0,2120.0,1875.0,1935.0,547900,0,0
2018-11-30,1930.0,2410.0,1925.0,2410.0,851000,0,0
2018-12-03,2710.0,3010.0,2710.0,3010.0,742000,0,0
2018-12-04,3710.0,3760.0,2800.0,2930.0,2663900,0,0
2018-12-05,2930.0,2930.0,2630.0,2710.0,332700,0,0
2018-12-06,2710.0,2950.0,2560.0,2700.0,380500,0,0
2018-12-07,2700.0,2890.0,2580.0,2590.0,212100,0,0
2018-12-10,2590.0,2750.0,2320.0,2740.0,246800,0,0
2018-12-11,2780.0,2780.0,2500.0,2620.0,414300,0,0
2018-12-12,2550.0,2650.0,2390.0,2550.0,3404700,0,0
2018-12-13,2550.0,2590.0,2420.0,2550.0,3436700,0,0
