Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-06,436.0,436.0,436.0,436.0,4800,0,0
2020-08-07,545.0,545.0,545.0,545.0,18900,0,0
2020-08-10,680.0,680.0,680.0,680.0,1018200,0,0
2020-08-11,845.0,850.0,660.0,685.0,19563300,0,0
2020-08-12,680.0,685.0,640.0,640.0,7665900,0,0
2020-08-13,640.0,640.0,600.0,600.0,489000,0,0
2020-08-14,560.0,620.0,560.0,575.0,7530600,0,0
2020-08-18,570.0,595.0,560.0,580.0,5910100,0,0
2020-08-19,580.0,580.0,555.0,565.0,4397800,0,0
2020-08-24,555.0,570.0,550.0,560.0,2010700,0,0
2020-08-25,565.0,575.0,560.0,570.0,2800500,0,0
2020-08-26,570.0,570.0,555.0,560.0,2408900,0,0
2020-08-27,560.0,565.0,550.0,555.0,3154200,0,0
2020-08-28,560.0,560.0,550.0,555.0,1637100,0,0
2020-08-31,560.0,570.0,550.0,555.0,2356300,0,0
2020-09-01,555.0,565.0,555.0,565.0,2426300,0,0
2020-09-02,560.0,565.0,555.0,555.0,2072900,0,0
2020-09-03,560.0,560.0,545.0,545.0,1719400,0,0
2020-09-04,545.0,545.0,535.0,540.0,2371200,0,0
2020-09-07,540.0,545.0,535.0,540.0,1546800,0,0
2020-09-08,540.0,540.0,535.0,535.0,2644700,0,0
2020-09-09,535.0,535.0,530.0,530.0,2121400,0,0
2020-09-10,530.0,540.0,520.0,520.0,2192100,0,0
2020-09-11,515.0,575.0,515.0,575.0,3140100,0,0
2020-09-14,575.0,605.0,570.0,595.0,3079000,0,0
2020-09-15,595.0,595.0,575.0,585.0,2175100,0,0
2020-09-16,585.0,590.0,570.0,570.0,1839200,0,0
2020-09-17,570.0,585.0,560.0,560.0,2234100,0,0
2020-09-18,560.0,570.0,560.0,565.0,2442900,0,0
2020-09-21,565.0,565.0,555.0,555.0,2068600,0,0
2020-09-22,555.0,555.0,545.0,550.0,1909900,0,0
2020-09-23,555.0,560.0,545.0,555.0,2117400,0,0
2020-09-24,550.0,555.0,545.0,545.0,1915800,0,0
2020-09-25,550.0,565.0,550.0,560.0,2593600,0,0
2020-09-28,560.0,575.0,560.0,575.0,2165700,0,0
2020-09-29,575.0,580.0,560.0,560.0,2595900,0,0
2020-09-30,560.0,565.0,550.0,550.0,1810700,0,0
2020-10-01,550.0,575.0,550.0,570.0,2147700,0,0
2020-10-02,570.0,570.0,550.0,555.0,2034200,0,0
2020-10-05,555.0,570.0,555.0,565.0,1962000,0,0
2020-10-06,565.0,575.0,565.0,570.0,2209200,0,0
2020-10-07,560.0,570.0,555.0,560.0,2000100,0,0
2020-10-08,560.0,565.0,555.0,560.0,1807500,0,0
2020-10-09,560.0,570.0,555.0,560.0,2350000,0,0
2020-10-12,560.0,570.0,560.0,565.0,1932900,0,0
2020-10-13,565.0,570.0,555.0,570.0,2252500,0,0
2020-10-14,570.0,570.0,560.0,570.0,2106600,0,0
2020-10-15,565.0,565.0,545.0,550.0,2094100,0,0
2020-10-16,550.0,550.0,535.0,545.0,2127700,0,0
2020-10-19,545.0,550.0,530.0,530.0,1986100,0,0
2020-10-20,525.0,535.0,520.0,525.0,2009700,0,0
2020-10-21,525.0,530.0,515.0,515.0,1961200,0,0
2020-10-22,520.0,520.0,505.0,515.0,2037900,0,0
2020-10-23,515.0,520.0,510.0,510.0,2156700,0,0
2020-10-26,515.0,530.0,515.0,520.0,2226700,0,0
2020-10-27,515.0,520.0,505.0,520.0,1930900,0,0
2020-11-02,515.0,520.0,505.0,520.0,2030900,0,0
2020-11-03,520.0,525.0,515.0,520.0,2253900,0,0
2020-11-04,520.0,525.0,510.0,510.0,2086400,0,0
2020-11-05,510.0,530.0,510.0,525.0,2247600,0,0
2020-11-06,530.0,535.0,520.0,525.0,1803500,0,0
2020-11-09,525.0,530.0,520.0,525.0,2034200,0,0
2020-11-10,520.0,535.0,515.0,535.0,2070900,0,0
2020-11-11,535.0,550.0,535.0,550.0,2142100,0,0
2020-11-12,550.0,550.0,540.0,545.0,2018000,0,0
2020-11-13,545.0,560.0,545.0,555.0,1805800,0,0
2020-11-16,550.0,575.0,545.0,570.0,2851100,0,0
2020-11-17,570.0,595.0,565.0,595.0,2456200,0,0
2020-11-18,595.0,630.0,590.0,625.0,3862600,0,0
2020-11-19,625.0,655.0,620.0,655.0,3510000,0,0
2020-11-20,655.0,680.0,650.0,675.0,5715600,0,0
2020-11-23,675.0,710.0,675.0,700.0,5033600,0,0
2020-11-24,705.0,730.0,700.0,715.0,5186000,0,0
2020-11-25,715.0,720.0,695.0,695.0,3585300,0,0
2020-11-26,695.0,725.0,690.0,720.0,4136800,0,0
2020-11-27,720.0,755.0,720.0,745.0,5827400,0,0
2020-11-30,745.0,745.0,715.0,720.0,2536500,0,0
2020-12-01,715.0,730.0,715.0,720.0,1752600,0,0
2020-12-02,720.0,740.0,720.0,735.0,3248200,0,0
2020-12-03,740.0,740.0,695.0,695.0,4374200,0,0
2020-12-04,695.0,695.0,670.0,685.0,2632200,0,0
2020-12-07,685.0,750.0,685.0,735.0,4654400,0,0
2020-12-08,735.0,805.0,735.0,780.0,12395200,0,0
2020-12-10,780.0,835.0,760.0,800.0,9722500,0,0
2020-12-11,800.0,815.0,770.0,780.0,6783600,0,0
2020-12-14,780.0,780.0,755.0,765.0,2605900,0,0
2020-12-15,760.0,770.0,740.0,750.0,2304700,0,0
2020-12-16,750.0,810.0,725.0,725.0,11636000,0,0
2020-12-17,725.0,740.0,690.0,690.0,5258900,0,0
2020-12-18,690.0,720.0,690.0,690.0,4648300,0,0
2020-12-21,690.0,710.0,685.0,695.0,2793700,0,0
2020-12-22,695.0,695.0,660.0,660.0,3056100,0,0
2020-12-23,655.0,665.0,640.0,640.0,1591000,0,0
2020-12-28,640.0,670.0,630.0,640.0,3691200,0,0
2020-12-29,640.0,650.0,615.0,615.0,2531400,0,0
2020-12-30,615.0,645.0,605.0,615.0,3283000,0,0
2021-01-04,615.0,630.0,610.0,630.0,3034400,0,0
2021-01-05,630.0,655.0,625.0,655.0,3273300,0,0
2021-01-06,655.0,660.0,645.0,650.0,3188000,0,0
2021-01-07,650.0,655.0,640.0,655.0,3013700,0,0
2021-01-08,655.0,680.0,655.0,680.0,3485500,0,0
2021-01-11,680.0,720.0,635.0,635.0,7862900,0,0
2021-01-12,630.0,630.0,595.0,595.0,641700,0,0
2021-01-13,570.0,575.0,555.0,560.0,777000,0,0
2021-01-14,545.0,585.0,535.0,585.0,3568000,0,0
2021-01-15,590.0,595.0,575.0,580.0,2399600,0,0
2021-01-18,580.0,590.0,540.0,540.0,4684300,0,0
2021-01-19,540.0,565.0,505.0,505.0,1206100,0,0
2021-01-20,500.0,515.0,480.0,505.0,4460500,0,0
2021-01-21,505.0,525.0,498.0,510.0,6237100,0,0
2021-01-22,505.0,510.0,484.0,486.0,3897800,0,0
2021-01-25,486.0,490.0,470.0,470.0,4399700,0,0
2021-01-26,468.0,474.0,460.0,460.0,3267100,0,0
2021-01-27,462.0,498.0,452.0,492.0,11151000,0,0
2021-01-28,492.0,492.0,468.0,468.0,1065200,0,0
2021-01-29,466.0,480.0,464.0,464.0,2543100,0,0
2021-02-01,464.0,478.0,460.0,476.0,1988900,0,0
2021-02-02,476.0,486.0,474.0,476.0,2849200,0,0
2021-02-03,476.0,486.0,474.0,478.0,2840200,0,0
2021-02-04,478.0,482.0,466.0,468.0,3085400,0,0
2021-02-05,468.0,472.0,458.0,460.0,1910400,0,0
2021-02-08,458.0,472.0,456.0,462.0,3026300,0,0
2021-02-09,462.0,482.0,456.0,456.0,7050800,0,0
2021-02-10,456.0,468.0,448.0,448.0,3766400,0,0
2021-02-11,448.0,456.0,446.0,452.0,1771300,0,0
2021-02-15,450.0,456.0,436.0,438.0,3424100,0,0
2021-02-16,438.0,442.0,436.0,438.0,1101200,0,0
2021-02-17,438.0,438.0,426.0,430.0,1881100,0,0
2021-02-18,428.0,430.0,420.0,420.0,1269200,0,0
2021-02-19,416.0,418.0,412.0,412.0,761900,0,0
2021-02-22,412.0,412.0,408.0,408.0,736700,0,0
2021-02-23,408.0,434.0,406.0,418.0,14237400,0,0
2021-02-24,418.0,436.0,416.0,418.0,6477500,0,0
2021-02-25,420.0,426.0,416.0,418.0,2334600,0,0
2021-02-26,416.0,416.0,404.0,406.0,1892300,0,0
2021-03-01,404.0,404.0,392.0,394.0,1266700,0,0
2021-03-02,394.0,394.0,388.0,390.0,1591800,0,0
2021-03-03,390.0,390.0,388.0,388.0,944200,0,0
2021-03-04,386.0,388.0,384.0,384.0,915400,0,0
2021-03-05,384.0,384.0,376.0,380.0,721300,0,0
2021-03-08,380.0,382.0,378.0,380.0,926800,0,0
2021-03-09,380.0,430.0,370.0,370.0,14775200,0,0
2021-03-10,372.0,378.0,368.0,374.0,1501400,0,0
2021-03-12,374.0,374.0,368.0,374.0,1143900,0,0
2021-03-15,374.0,386.0,374.0,378.0,7938400,0,0
2021-03-16,378.0,404.0,378.0,404.0,11237200,0,0
2021-03-17,408.0,440.0,376.0,376.0,61572600,0,0
2021-03-18,376.0,380.0,350.0,366.0,14139700,0,0
2021-03-19,366.0,372.0,354.0,354.0,7075100,0,0
2021-03-22,352.0,354.0,336.0,336.0,6184900,0,0
2021-03-23,336.0,354.0,332.0,344.0,18146900,0,0
2021-03-24,344.0,350.0,328.0,328.0,5649600,0,0
2021-03-25,328.0,350.0,306.0,306.0,19093500,0,0
2021-03-26,308.0,312.0,304.0,306.0,1916200,0,0
2021-03-29,306.0,310.0,294.0,294.0,5076500,0,0
2021-03-30,294.0,304.0,284.0,290.0,8542500,0,0
2021-03-31,290.0,290.0,282.0,282.0,2587700,0,0
2021-04-01,282.0,284.0,278.0,280.0,2012900,0,0
2021-04-05,280.0,290.0,280.0,286.0,2857100,0,0
2021-04-06,286.0,322.0,266.0,266.0,39072000,0,0
2021-04-07,266.0,266.0,248.0,252.0,4830100,0,0
2021-04-08,252.0,252.0,244.0,252.0,2337800,0,0
2021-04-09,252.0,266.0,250.0,252.0,7116300,0,0
2021-04-12,252.0,296.0,252.0,270.0,48832600,0,0
2021-04-13,272.0,276.0,252.0,252.0,51039700,0,0
2021-04-14,250.0,258.0,236.0,236.0,21125100,0,0
2021-04-15,234.0,236.0,220.0,220.0,4052400,0,0
2021-04-16,218.0,244.0,206.0,236.0,46204600,0,0
2021-04-19,236.0,250.0,220.0,220.0,57372500,0,0
2021-04-20,220.0,224.0,206.0,218.0,19529600,0,0
2021-04-21,218.0,222.0,210.0,210.0,9128800,0,0
2021-04-22,210.0,220.0,204.0,204.0,14979900,0,0
2021-04-23,204.0,208.0,198.0,202.0,9958000,0,0
2021-04-26,202.0,212.0,193.0,196.0,28098500,0,0
2021-04-27,196.0,200.0,192.0,198.0,16731100,0,0
2021-04-28,198.0,202.0,190.0,192.0,33009100,0,0
2021-04-29,192.0,195.0,190.0,194.0,35518600,0,0
2021-04-30,194.0,198.0,184.0,189.0,33618000,0,0
2021-05-03,189.0,192.0,183.0,184.0,16312300,0,0
2021-05-04,184.0,186.0,178.0,180.0,7372400,0,0
2021-05-05,180.0,187.0,179.0,183.0,6408800,0,0
2021-05-06,183.0,185.0,181.0,184.0,3594800,0,0
2021-05-07,184.0,190.0,178.0,181.0,29162800,0,0
2021-05-10,181.0,188.0,169.0,169.0,39840300,0,0
2021-05-11,169.0,175.0,158.0,158.0,38075500,0,0
2021-05-17,158.0,159.0,147.0,149.0,8999100,0,0
2021-05-18,149.0,157.0,147.0,157.0,19771400,0,0
2021-05-19,157.0,166.0,147.0,147.0,69227300,0,0
2021-05-20,141.0,148.0,140.0,148.0,7762800,0,0
2021-05-21,148.0,148.0,144.0,147.0,4248500,0,0
2021-05-24,147.0,152.0,145.0,149.0,18605400,0,0
2021-05-25,149.0,154.0,148.0,150.0,12366300,0,0
