Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-03-08,200.0,238.0,190.0,236.0,579752300,0,0
2023-03-09,238.0,276.0,232.0,272.0,569466200,0,0
2023-03-10,274.0,292.0,258.0,286.0,385603400,0,0
2023-03-13,288.0,294.0,266.0,266.0,204662400,0,0
2023-03-14,262.0,280.0,254.0,270.0,246142900,0,0
2023-03-15,272.0,290.0,270.0,288.0,294689900,0,0
2023-03-16,290.0,302.0,278.0,288.0,327100600,0,0
2023-03-17,288.0,304.0,268.0,268.0,278908400,0,0
2023-03-20,254.0,270.0,250.0,268.0,115385000,0,0
2023-03-21,270.0,282.0,268.0,276.0,195581000,0,0
2023-03-24,278.0,296.0,276.0,292.0,169338500,0,0
