Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-08,115.0,141.0,101.0,101.0,689999800,0,0
2023-02-09,94.0,105.0,94.0,96.0,86919900,0,0
2023-02-10,97.0,122.0,96.0,120.0,495230200,0,0
2023-02-13,122.0,126.0,112.0,112.0,126197800,0,0
2023-02-14,105.0,116.0,105.0,108.0,189617800,0,0
2023-02-15,102.0,111.0,102.0,105.0,40157300,0,0
2023-02-16,106.0,113.0,106.0,108.0,75866500,0,0
2023-02-17,109.0,112.0,101.0,101.0,108390900,0,0
2023-02-20,94.0,99.0,94.0,94.0,54415300,0,0
2023-02-21,95.0,95.0,88.0,88.0,38689300,0,0
2023-02-22,82.0,96.0,82.0,90.0,61377000,0,0
2023-02-23,91.0,91.0,86.0,87.0,22850400,0,0
2023-02-24,88.0,90.0,85.0,87.0,15276500,0,0
2023-02-27,88.0,93.0,87.0,90.0,26281000,0,0
2023-02-28,91.0,92.0,88.0,88.0,10669600,0,0
2023-03-01,89.0,102.0,89.0,100.0,165816500,0,0
2023-03-02,101.0,106.0,94.0,95.0,140082500,0,0
2023-03-03,95.0,99.0,92.0,96.0,31665100,0,0
2023-03-06,97.0,102.0,96.0,100.0,47633000,0,0
2023-03-07,100.0,103.0,98.0,99.0,34860500,0,0
2023-03-08,99.0,104.0,96.0,97.0,30379700,0,0
2023-03-09,98.0,116.0,98.0,112.0,235982800,0,0
2023-03-10,114.0,118.0,106.0,110.0,155823000,0,0
2023-03-13,110.0,111.0,103.0,104.0,41676000,0,0
2023-03-14,103.0,106.0,97.0,98.0,48782900,0,0
2023-03-15,99.0,104.0,96.0,102.0,43903200,0,0
2023-03-16,102.0,105.0,98.0,99.0,50896700,0,0
2023-03-17,100.0,106.0,98.0,101.0,76529300,0,0
2023-03-20,102.0,111.0,101.0,110.0,153802700,0,0
2023-03-21,110.0,123.0,109.0,112.0,280615600,0,0
2023-03-24,112.0,116.0,107.0,111.0,43676900,0,0
