Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-15,450.0,450.0,342.0,396.0,184666800,0,0
2022-12-16,412.0,412.0,374.0,378.0,72809100,0,0
2022-12-19,378.0,382.0,368.0,378.0,24366400,0,0
2022-12-20,376.0,412.0,374.0,390.0,51840600,0,0
2022-12-21,390.0,402.0,380.0,402.0,36468000,0,0
2022-12-22,402.0,408.0,382.0,408.0,43381800,0,0
2022-12-23,408.0,418.0,398.0,400.0,34820100,0,0
2022-12-26,394.0,402.0,376.0,400.0,28556300,0,0
2022-12-27,400.0,492.0,400.0,464.0,41327900,0,0
2022-12-28,466.0,474.0,432.0,434.0,42520100,0,0
2022-12-29,438.0,505.0,438.0,462.0,38841700,0,0
2022-12-30,466.0,496.0,440.0,450.0,39023000,0,0
2023-01-02,446.0,470.0,436.0,444.0,22524800,0,0
2023-01-03,442.0,454.0,424.0,446.0,31068800,0,0
2023-01-04,450.0,472.0,442.0,446.0,34120400,0,0
2023-01-05,448.0,456.0,424.0,440.0,38332600,0,0
2023-01-06,436.0,458.0,420.0,444.0,32971400,0,0
2023-01-09,442.0,450.0,426.0,446.0,43957600,0,0
2023-01-10,446.0,454.0,430.0,440.0,35494900,0,0
2023-01-11,440.0,460.0,432.0,440.0,23084800,0,0
2023-01-12,440.0,456.0,436.0,442.0,29335100,0,0
2023-01-13,442.0,450.0,424.0,424.0,35205800,0,0
2023-01-16,424.0,430.0,404.0,404.0,28117000,0,0
2023-01-17,404.0,450.0,398.0,408.0,44189900,0,0
2023-01-18,408.0,412.0,394.0,400.0,25888700,0,0
2023-01-19,400.0,406.0,400.0,402.0,29888500,0,0
2023-01-20,404.0,424.0,400.0,410.0,22011900,0,0
2023-01-24,412.0,414.0,406.0,408.0,16523300,0,0
2023-01-25,410.0,412.0,402.0,404.0,18782300,0,0
2023-01-26,408.0,412.0,404.0,410.0,16274300,0,0
2023-01-27,410.0,432.0,408.0,412.0,28033900,0,0
2023-01-30,410.0,414.0,402.0,404.0,18966000,0,0
2023-01-31,404.0,404.0,398.0,400.0,23593600,0,0
2023-02-01,400.0,406.0,398.0,400.0,16906500,0,0
2023-02-02,400.0,412.0,396.0,402.0,20746400,0,0
2023-02-03,402.0,406.0,398.0,404.0,22870500,0,0
2023-02-06,404.0,404.0,398.0,400.0,23612800,0,0
2023-02-07,400.0,402.0,398.0,400.0,15165600,0,0
2023-02-08,400.0,402.0,398.0,400.0,13782200,0,0
2023-02-09,400.0,402.0,396.0,400.0,10325000,0,0
2023-02-10,400.0,400.0,372.0,400.0,50703900,0,0
2023-02-13,390.0,400.0,372.0,400.0,45644600,0,0
2023-02-14,400.0,400.0,380.0,400.0,13845000,0,0
2023-02-15,400.0,402.0,372.0,400.0,21371200,0,0
2023-02-16,390.0,400.0,386.0,400.0,21545300,0,0
2023-02-17,398.0,400.0,376.0,400.0,53858300,0,0
2023-02-20,398.0,414.0,398.0,400.0,8733200,0,0
2023-02-21,400.0,418.0,400.0,414.0,24677400,0,0
2023-02-22,414.0,418.0,408.0,408.0,24550700,0,0
2023-02-23,408.0,420.0,408.0,412.0,24377000,0,0
2023-02-24,414.0,414.0,406.0,410.0,24628500,0,0
2023-02-27,410.0,420.0,410.0,412.0,24660700,0,0
2023-02-28,414.0,430.0,412.0,420.0,24577600,0,0
2023-03-01,420.0,436.0,420.0,426.0,23721100,0,0
2023-03-02,426.0,450.0,418.0,436.0,23862400,0,0
2023-03-03,438.0,450.0,426.0,426.0,23119200,0,0
2023-03-06,426.0,442.0,424.0,432.0,24069600,0,0
2023-03-07,432.0,438.0,422.0,438.0,23587700,0,0
2023-03-08,438.0,438.0,426.0,434.0,24196900,0,0
2023-03-09,432.0,440.0,428.0,436.0,24364900,0,0
2023-03-10,436.0,440.0,430.0,436.0,23073900,0,0
2023-03-13,432.0,438.0,414.0,414.0,24181500,0,0
2023-03-14,416.0,434.0,416.0,426.0,23537800,0,0
2023-03-15,426.0,430.0,418.0,426.0,23628100,0,0
2023-03-16,426.0,446.0,422.0,442.0,23120300,0,0
2023-03-17,444.0,456.0,428.0,444.0,24347900,0,0
2023-03-20,444.0,444.0,434.0,440.0,23155000,0,0
2023-03-21,438.0,442.0,430.0,442.0,27401900,0,0
2023-03-24,436.0,440.0,434.0,436.0,23545300,0,0
