Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-10,170.0,174.0,147.0,174.0,173385100,0,0
2023-01-11,190.0,234.0,190.0,234.0,191657300,0,0
2023-01-12,250.0,292.0,250.0,292.0,112962100,0,0
2023-01-13,310.0,346.0,292.0,324.0,194000600,0,0
2023-01-16,336.0,336.0,302.0,302.0,6000700,0,0
2023-01-17,282.0,282.0,282.0,282.0,610800,0,0
2023-01-18,264.0,302.0,264.0,264.0,109345700,0,0
2023-01-19,264.0,266.0,246.0,250.0,30190200,0,0
2023-01-20,252.0,270.0,240.0,250.0,14817800,0,0
2023-01-24,250.0,264.0,250.0,262.0,8856800,0,0
2023-01-25,262.0,266.0,254.0,256.0,6728600,0,0
2023-01-26,256.0,288.0,250.0,288.0,28871400,0,0
2023-01-27,288.0,308.0,282.0,306.0,15613700,0,0
2023-01-30,306.0,318.0,286.0,304.0,19752900,0,0
2023-01-31,304.0,372.0,300.0,342.0,63609200,0,0
2023-02-01,344.0,384.0,334.0,358.0,34886600,0,0
2023-02-02,358.0,374.0,350.0,350.0,12305400,0,0
2023-02-03,350.0,360.0,342.0,342.0,5087600,0,0
2023-02-06,344.0,364.0,342.0,362.0,6931500,0,0
2023-02-07,364.0,394.0,364.0,372.0,23840000,0,0
2023-02-08,374.0,388.0,370.0,372.0,10161400,0,0
2023-02-09,370.0,376.0,366.0,368.0,4507600,0,0
2023-02-10,370.0,374.0,344.0,344.0,12683300,0,0
2023-02-13,326.0,358.0,320.0,324.0,7019300,0,0
2023-02-14,324.0,326.0,302.0,304.0,8604600,0,0
2023-02-15,304.0,322.0,296.0,322.0,8693300,0,0
2023-02-16,326.0,334.0,310.0,316.0,6900100,0,0
2023-02-17,316.0,322.0,308.0,312.0,2103800,0,0
2023-02-20,312.0,316.0,300.0,310.0,2518500,0,0
2023-02-21,310.0,328.0,310.0,326.0,6528300,0,0
2023-02-22,324.0,328.0,304.0,308.0,7191100,0,0
2023-02-23,312.0,324.0,308.0,312.0,4014500,0,0
2023-02-24,314.0,332.0,312.0,328.0,7929100,0,0
2023-02-27,328.0,342.0,324.0,340.0,3730000,0,0
2023-02-28,342.0,342.0,326.0,328.0,4451000,0,0
2023-03-01,326.0,328.0,306.0,306.0,5285000,0,0
2023-03-02,306.0,306.0,286.0,290.0,7127300,0,0
2023-03-03,290.0,296.0,274.0,282.0,6317600,0,0
2023-03-06,280.0,306.0,278.0,300.0,5398000,0,0
2023-03-07,302.0,328.0,302.0,320.0,9695800,0,0
2023-03-08,322.0,330.0,314.0,320.0,6310000,0,0
2023-03-09,320.0,328.0,316.0,320.0,3291500,0,0
2023-03-10,322.0,328.0,312.0,324.0,3134300,0,0
2023-03-13,324.0,328.0,316.0,324.0,1559400,0,0
2023-03-14,322.0,338.0,316.0,318.0,2682000,0,0
2023-03-15,322.0,328.0,320.0,326.0,9293700,0,0
2023-03-16,324.0,326.0,316.0,318.0,2452400,0,0
2023-03-17,318.0,322.0,314.0,320.0,1479000,0,0
2023-03-20,318.0,326.0,318.0,318.0,9186400,0,0
2023-03-21,318.0,324.0,302.0,302.0,5743100,0,0
2023-03-24,298.0,322.0,282.0,312.0,2892800,0,0
